tz16_code,tz16_name,sa2_name16,sa2_main16,sa2_5dig16,sa3_name16,sa3_code16,sa4_name16,sa4_code16,lga_name16,lga_code16,gcc_name16,gcc_code16,gsc_distri,mb_cat16,albers_ha,Metro Stage,GIC_AreaName,GIC_Precinct_190919,PIFGA_Precinct,SGS_CoDBC_UrbanType190924,SGS_CoDBC_Precincts190924,SGS_CoDBC_SubPrecinct190924,ERP_2016,ERP_2021,ERP_2026,ERP_2031,ERP_2036,ERP_2041,ERP_2046,ERP_2051,ERP_2056,EMP_2016,EMP_2021,EMP_2026,EMP_2031,EMP_2036,EMP_2041,EMP_2046,EMP_2051,EMP_2056
1,Barangaroo_Headland Park,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,6.500024892,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,1,1,1,1,1,1,1,1,1,270,278,279,294,308,324,338,348,358
2,Barangaroo_Northern Cove,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,7.462184929,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,1,63,65,64,64,64,64,64,64,310,666,679,727,778,831,880,923,968
3,Barangaroo_Southern Cove,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,3.08498325,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,1,1,2,7,11,14,16,18,20,126,255,278,296,314,336,360,376,393
4,Barangaroo_Jenkins Lane,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.398941327,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,58,136,156,284,409,488,551,607,667,"3,203","8,561","9,127","9,834","10,940","11,283","11,647","11,846","12,143"
5,Barangaroo_Ferry Terminal,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,3.386450274,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,141,176,179,203,242,280,319,358,401,"7,764","11,249","11,896","12,631","13,331","14,258","15,064","15,694","16,394"
6,Sydney CBD_Moores Wharf,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Residential,2.344733821,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,14,14,14,14,14,14,14,14,14,22,23,23,24,25,26,28,28,29
7,Sydney CBD_Hickson Road_Western End,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,2.677278528,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,177,178,178,178,179,179,180,180,181,"1,551","1,675","1,801","1,925","2,032","2,184","2,326","2,446","2,585"
8,Sydney CBD_The Rocks_Argyle Place,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Residential,2.541180607,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,50,50,50,50,50,51,51,51,51,681,739,798,856,906,977,"1,044","1,102","1,168"
9,Walsh Bay,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Residential,6.696732996,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,378,388,392,406,418,429,439,450,461,"1,474","1,557","1,620","1,715","1,808","1,916","2,016","2,104","2,200"
10,Sydney CBD_Hickson Road_Eastern End,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Residential,3.284355238,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,93,94,94,94,95,95,96,96,96,205,218,227,240,253,268,282,294,307
11,Sydney CBD_Dawes Point Park,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Parkland,4.182259298,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,2,5,6,6,6,6,6,627,664,691,733,772,818,862,898,939
12,Sydney CBD_The Rocks_Trinity Ave,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Residential,3.048886497,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,24,24,24,24,24,24,25,25,25,135,137,142,150,157,165,173,180,187
13,Sydney CBD_Gloucester Walk,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.280277878,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,16,17,18,21,22,23,24,26,27,728,751,784,829,869,920,966,"1,003","1,046"
14,Sydney CBD_The Rocks_Argyle Centre,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,2.05963446,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,16,17,17,19,20,22,23,24,25,917,973,998,"1,051","1,100","1,157","1,212","1,259","1,307"
15,Sydney CBD_Hickson Rd Reserve,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,2.06096001,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,23,24,25,28,29,31,33,34,36,407,435,439,460,480,502,523,541,559
16,Sydney CBD_Sydney Cove Overseas Passenger Terminal,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,2.637540534,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,462,493,505,533,559,587,613,636,660
17,Sydney Opera House,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,4.089768238,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,"1,595","1,624","1,655","1,757","1,867","1,979","2,087","2,188","2,292"
18,Sydney CBD_Kent St_Northern Section,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Residential,3.165604153,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,59,80,82,85,88,91,94,97,100,312,336,347,366,384,406,426,445,463
19,Sydney CBD_Sydney Observatory,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,11.85280627,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,380,384,386,393,398,403,407,412,417,304,329,342,364,384,408,430,449,470
20,Sydney CBD_The Rocks_King George V Recreation Centre,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,2.78193713,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,76,92,95,102,108,114,119,125,131,752,794,828,878,924,981,"1,035","1,083","1,134"
21,Sydney CBD_The Rocks_Sydney Harbour Foreshore Authority,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.601162772,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,13,14,14,16,17,18,19,20,21,"1,322","1,406","1,464","1,551","1,631","1,727","1,812","1,882","1,960"
22,Sydney CBD_Museum of Contemporary Art,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,2.055577881,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,410,428,444,473,502,535,565,592,622
23,Sydney CBD_Circular Quay East_The Toaster,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Residential,2.404601406,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,314,390,395,403,410,416,423,429,436,855,909,930,977,"1,023","1,074","1,121","1,159","1,200"
24,Sydney CBD_The Rocks_Shangri La Hotel,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.267075157,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,182,190,194,209,221,232,243,254,266,734,789,807,848,886,930,973,"1,010","1,047"
25,Sydney CBD_The Rocks_Four Seasons Hotel,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.000971703,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,35,37,38,41,43,45,47,49,51,522,553,559,584,608,634,659,681,702
26,Sydney CBD_Circular Quay Station-Wharves,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,2.734714738,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,1,1,1,1,1,1,1,1,913,957,969,"1,005","1,038","1,064","1,089","1,108","1,125"
27,Sydney CBD_The Rocks_Science House,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,0.724255992,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,210,220,226,255,284,310,335,360,386,"1,031","1,120","1,213","1,301","1,375","1,483","1,585","1,673","1,774"
28,Sydney CBD_The Rocks_Cove Apartments,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Residential,0.939843772,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,265,278,284,305,323,339,355,372,389,86,94,102,109,116,125,134,142,150
29,Sydney CBD_Grosvenor Place,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.199676415,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,3,4,4,4,4,4,4,5,5,"6,239","6,701","7,256","7,562","7,868","8,170","8,394","8,528","8,652"
30,Sydney CBD_Circular Quay_Herald Square,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,3.214768776,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,25,140,151,208,279,339,396,452,512,"9,657","10,325","10,960","11,668","12,306","13,166","13,948","14,589","15,317"
31,Sydney CBD_Circular Quay_Gateway Quayside,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,2.906776397,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,26,27,28,30,32,34,36,38,39,"4,395","4,700","4,924","5,201","5,460","5,787","6,076","6,306","6,557"
32,Sydney CBD_Circular Quay_Customs House,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.271823785,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,207,267,274,292,308,322,336,351,366,"1,232","1,284","1,337","1,416","1,488","1,577","1,660","1,731","1,809"
33,Sydney CBD_Circular Quay_AMP Centre,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.313543152,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,"5,821","6,208","6,570","6,951","7,317","7,813","8,241","8,578","8,956"
34,Sydney CBD_Sir Stamford and InterContinental Hotels,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.408976542,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,54,57,59,64,68,71,75,79,82,"1,166","1,260","1,324","1,406","1,479","1,575","1,667","1,746","1,833"
35,Royal Botanic Gardens,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Parkland,43.24221282,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,315,359,366,394,419,444,469,492,516
36,Sydney CBD_Maritime Trade Towers,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.998589337,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,"6,442","6,816","7,127","7,562","7,961","8,467","8,922","9,287","9,698"
37,Sydney CBD_35 Clarence St,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.28496825,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,"4,068","4,360","4,626","4,919","5,179","5,526","5,842","6,106","6,405"
38,Sydney CBD_1 York St,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,0.764319822,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,3,4,4,4,4,4,5,5,5,"1,347","1,420","1,483","1,562","1,625","1,711","1,787","1,849","1,917"
39,Sydney CBD_AAP Centre,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.952576444,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,"6,425","6,812","7,180","7,585","7,983","8,499","8,932","9,266","9,631"
40,Sydney CBD_10 Bond St and 20 Bond St,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.459869227,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,63,75,77,82,87,91,95,100,104,"3,462","3,665","3,821","4,029","4,226","4,462","4,671","4,842","5,029"
41,Sydney CBD_Royal Exchange Building,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,0.715958975,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,"2,045","2,158","2,274","2,410","2,534","2,694","2,839","2,958","3,093"
42,Sydney CBD_Lands Dept Building_Bridge St,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,0.636910215,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,478,526,549,580,609,640,664,682,704
43,Sydney CBD_Department of Education Building,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,0.641019082,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,704,785,812,860,906,952,990,"1,022","1,057"
44,Sydney CBD_Governor Macquarie Tower_Governor Phillip Tower,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.164342437,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,"4,199","4,507","4,762","5,009","5,260","5,764","5,951","6,077","6,207"
45,Sydney CBD_ABN Amro Tower_Aurora Place,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,2.222372663,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,174,184,188,204,217,229,241,253,265,"4,126","4,413","4,661","4,953","5,216","5,562","5,877","6,141","6,434"
46,Sydney CBD_The York Apartment Hotel,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,0.614056475,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,87,91,93,101,107,113,119,125,131,830,883,934,991,"1,042","1,110","1,172","1,223","1,280"
47,Sydney CBD_Metcentre,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Residential,1.391281581,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,222,233,239,258,275,289,304,319,334,"3,947","4,147","4,325","4,577","4,817","5,115","5,381","5,598","5,840"
48,Sydney CBD_Australia Square,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.342387268,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,31,33,34,36,39,41,43,45,47,"5,002","5,311","5,603","6,073","6,362","6,654","6,889","7,063","7,251"
49,Sydney CBD_Radisson Plaza Hotel,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.300083987,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,43,45,46,50,53,56,59,62,65,"3,706","3,944","4,157","4,410","4,641","4,941","5,215","5,444","5,701"
