SGS_CoDBC_Precincts190924,ERP_2016,ERP_2021,ERP_2026,ERP_2031,ERP_2036,ERP_2041,ERP_2046,ERP_2051,ERP_2056,EMP_2016,EMP_2021,EMP_2026,EMP_2031,EMP_2036,EMP_2041,EMP_2046,EMP_2051,EMP_2056
Ingleburn,10196.0,10579.0,11036.0,11394.0,11881.0,12098.0,12231.0,12340.0,12450.0,11962.0,12717.0,13108.0,13375.0,13850.0,14316.0,14745.0,15649.0,17043.0
Jordan Springs,5303.0,8025.0,9652.0,10546.0,11572.0,11574.0,11575.0,11579.0,11580.0,621.0,676.0,624.0,615.0,617.0,620.0,606.0,608.0,632.0
Kingswood and Werrington,19306.0,22763.0,26296.0,29040.0,33279.0,34568.0,36030.0,37711.0,39403.0,9506.0,10439.0,11383.0,12591.0,13858.0,15483.0,17232.0,19204.0,21309.0
Leumeah,8285.0,8438.0,8205.0,8105.0,8077.0,8706.0,9317.0,9938.0,10566.0,2597.0,2707.0,2753.0,2758.0,2786.0,2880.0,2933.0,3081.0,3271.0
Liverpool,27043.0,36689.0,42364.0,46261.0,47433.0,53756.0,60560.0,68706.0,72528.0,23513.0,25409.0,27443.0,29641.0,31364.0,34416.0,38208.0,42679.0,47221.0
Macquarie Fields,7549.0,7794.0,7997.0,8127.0,8292.0,8414.0,8474.0,8503.0,8535.0,1740.0,1850.0,1968.0,1983.0,2073.0,2241.0,2350.0,2577.0,2839.0
Marayong,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,5219.0,5277.0,5360.0,5513.0,5758.0,6055.0,6384.0,6689.0,7039.0
Menagle Park,308.0,431.0,3029.0,4800.0,5857.0,6159.0,6283.0,6350.0,6417.0,109.0,187.0,469.0,580.0,738.0,841.0,959.0,995.0,1036.0
Middleton Grange,1840.0,2612.0,5633.0,6686.0,6744.0,6467.0,7471.0,8845.0,12360.0,461.0,552.0,746.0,872.0,1021.0,1036.0,1005.0,960.0,1035.0
Miller,3346.0,3549.0,4343.0,5188.0,5807.0,9009.0,12661.0,16895.0,16910.0,924.0,1007.0,1390.0,1732.0,2127.0,2312.0,2453.0,2585.0,2915.0
Minto,2266.0,2356.0,2742.0,3060.0,3469.0,3513.0,3537.0,3554.0,3571.0,7569.0,8093.0,8376.0,8505.0,8852.0,9074.0,9292.0,9719.0,10607.0
Moorebank,2626.0,3368.0,4321.0,5253.0,6151.0,7210.0,8382.0,9765.0,9745.0,811.0,869.0,890.0,919.0,929.0,952.0,1019.0,1104.0,1184.0
Moorebank Intermodal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771.0,2723.0,2994.0,3262.0,3676.0,3413.0,3169.0,2934.0,3159.0
Mount Annan,19415.0,19826.0,20231.0,20464.0,20666.0,20730.0,20807.0,20870.0,20928.0,2673.0,3026.0,3257.0,3468.0,3713.0,3969.0,4224.0,4821.0,5248.0
Mount Druitt,61421.0,63290.0,64678.0,65701.0,66889.0,68237.0,70267.0,72698.0,75517.0,5290.0,5581.0,5729.0,5992.0,6422.0,6789.0,7179.0,7549.0,7901.0
Mount Druitt Centre and Rooty Hill,39160.0,42210.0,45675.0,48112.0,50865.0,52675.0,55073.0,57849.0,59993.0,17591.0,18042.0,18561.0,19154.0,20901.0,22256.0,23711.0,25021.0,26495.0
Mount Vernon,1248.0,1261.0,1266.0,1272.0,1277.0,1286.0,1286.0,1287.0,1287.0,218.0,221.0,234.0,249.0,262.0,291.0,313.0,340.0,366.0
NWGA,20228.0,48483.0,87371.0,125865.0,165795.0,183386.0,197730.0,208308.0,222696.0,8569.0,14369.0,22314.0,29658.0,36206.0,40992.0,46274.0,49970.0,53291.0
Narellan,4607.0,5857.0,6739.0,7105.0,7422.0,11143.0,15648.0,20522.0,25449.0,5078.0,5620.0,5965.0,6388.0,6884.0,8480.0,10296.0,13058.0,15180.0
North Appin,2637.0,2707.0,2140.0,2908.0,4745.0,5849.0,6608.0,7180.0,7756.0,888.0,1242.0,2289.0,2716.0,3396.0,4218.0,5239.0,5553.0,5684.0
Orchard Hills,4536.0,4889.0,7308.0,10294.0,12737.0,18826.0,24809.0,30812.0,36347.0,1290.0,1457.0,1743.0,2934.0,3526.0,5061.0,5784.0,6225.0,6584.0
OutWSPP,3280572.0,3559694.0,3812667.0,4066708.0,4329913.0,4588478.0,4847500.0,5103176.0,5360947.0,1983885.0,2153838.0,2298800.0,2457465.0,2620804.0,2772845.0,2915786.0,3044417.0,3177413.0
Penrith Centre,9336.0,14238.0,17526.0,19568.0,19086.0,21748.0,24459.0,27281.0,30127.0,16004.0,17995.0,18606.0,19571.0,20561.0,21277.0,22228.0,23643.0,25533.0
Penrith Lakes,1731.0,1905.0,2295.0,3689.0,5952.0,5953.0,5954.0,5955.0,5956.0,318.0,346.0,362.0,371.0,377.0,384.0,389.0,402.0,419.0
Penrith Riverside,3655.0,3936.0,4111.0,4267.0,4378.0,4715.0,5069.0,5447.0,5829.0,11273.0,12219.0,13350.0,14333.0,15007.0,15510.0,16114.0,17100.0,18240.0
Picton,4627.0,4810.0,4964.0,5044.0,5113.0,5387.0,5799.0,6324.0,6854.0,2834.0,3052.0,3494.0,3809.0,4213.0,4581.0,4971.0,5149.0,5253.0
Prairiewood,8689.0,8879.0,9003.0,9116.0,9273.0,10142.0,10890.0,11699.0,12514.0,4057.0,4204.0,4252.0,4363.0,4612.0,5206.0,5606.0,6094.0,6730.0
Quakers Hill,5644.0,6089.0,6480.0,7266.0,7919.0,8813.0,9829.0,10874.0,11476.0,744.0,877.0,1195.0,1434.0,1706.0,1856.0,1966.0,2052.0,2191.0
Richmond,1921.0,1943.0,1959.0,1988.0,2041.0,2438.0,2847.0,3296.0,3749.0,2645.0,2680.0,2714.0,2775.0,2853.0,3024.0,3173.0,3328.0,3523.0
Ropes Crossing,6324.0,6582.0,6686.0,6732.0,7311.0,9035.0,10594.0,11865.0,13617.0,552.0,563.0,568.0,583.0,616.0,645.0,676.0,705.0,734.0
Rural,110183.0,116343.0,121850.0,124669.0,128475.0,133698.0,139069.0,145091.0,151071.0,31735.0,34341.0,37859.0,40102.0,43247.0,46914.0,50714.0,53607.0,56842.0
SWGA,19894.0,37468.0,64245.0,103020.0,145688.0,166859.0,186349.0,200631.0,219565.0,5514.0,9326.0,15525.0,20854.0,29220.0,38982.0,47738.0,54689.0,61851.0
Seven Hills,4989.0,5762.0,6644.0,7525.0,8661.0,9350.0,10374.0,11680.0,11880.0,15388.0,15572.0,15595.0,15812.0,16229.0,16464.0,16816.0,17211.0,17616.0
Smeaton Grange,65.0,440.0,1073.0,1532.0,1730.0,1782.0,1830.0,1861.0,1892.0,7506.0,8051.0,8233.0,8550.0,9155.0,9793.0,10432.0,11804.0,12990.0
Smithfield,2928.0,2994.0,3143.0,3295.0,3501.0,3923.0,4394.0,4909.0,5428.0,2638.0,2702.0,2716.0,2833.0,2923.0,3040.0,3126.0,3269.0,3480.0
South Penrith and Glenmore Park,38868.0,40694.0,41833.0,43341.0,45584.0,48298.0,50921.0,53463.0,55978.0,4680.0,5160.0,5521.0,5946.0,6359.0,6694.0,7080.0,7606.0,8205.0
Spring Farm,6499.0,9103.0,12559.0,14522.0,16148.0,20151.0,29999.0,43579.0,57304.0,1145.0,1284.0,1353.0,1431.0,1546.0,1746.0,1956.0,2324.0,2621.0
St Clair,27209.0,27720.0,28182.0,28736.0,29397.0,33620.0,37787.0,41895.0,46040.0,2975.0,3078.0,3293.0,3522.0,3745.0,4035.0,4230.0,4451.0,4696.0
St Marys,28422.0,30647.0,32470.0,34499.0,36193.0,43466.0,50771.0,58017.0,65327.0,13173.0,13549.0,15435.0,17473.0,19632.0,22371.0,25021.0,28085.0,31140.0
Tahmoor,5100.0,5497.0,5711.0,5853.0,5986.0,6446.0,7120.0,7976.0,8836.0,1422.0,1532.0,1783.0,1929.0,2130.0,2317.0,2518.0,2598.0,2664.0
Thirlmere,3862.0,4050.0,4611.0,4974.0,5309.0,6331.0,7796.0,9636.0,11492.0,533.0,547.0,633.0,703.0,787.0,854.0,919.0,953.0,951.0
Villawood,210.0,555.0,614.0,770.0,1000.0,1587.0,2237.0,2926.0,3621.0,140.0,152.0,168.0,180.0,196.0,210.0,221.0,233.0,248.0
WS Parkland,7977.0,8889.0,10161.0,9744.0,9870.0,9673.0,9868.0,10091.0,10367.0,3100.0,3530.0,3777.0,4071.0,4476.0,4772.0,4928.0,5140.0,5538.0
WSEA,142.0,150.0,330.0,539.0,818.0,1272.0,1372.0,1475.0,1574.0,14947.0,19296.0,24482.0,28670.0,30414.0,32226.0,33989.0,35978.0,38455.0
Wakely,3223.0,3270.0,3383.0,3467.0,3570.0,3650.0,3738.0,3834.0,3930.0,331.0,350.0,372.0,420.0,456.0,488.0,512.0,543.0,577.0
Warwick Farm,288.0,293.0,435.0,493.0,501.0,521.0,585.0,664.0,864.0,2279.0,2331.0,2252.0,2320.0,2318.0,2370.0,2545.0,2775.0,3047.0
Wattle Grove,3362.0,3404.0,3526.0,3577.0,3613.0,3674.0,3758.0,3864.0,3975.0,12.0,13.0,14.0,15.0,15.0,16.0,17.0,18.0,20.0
Wetherill Park,2306.0,2368.0,2397.0,2428.0,2471.0,2526.0,2586.0,2650.0,2715.0,421.0,452.0,465.0,492.0,523.0,564.0,596.0,631.0,675.0
Wetherill Park North,35.0,36.0,38.0,39.0,40.0,42.0,45.0,47.0,49.0,22551.0,22898.0,22926.0,23942.0,24429.0,25197.0,25793.0,26976.0,28795.0
Wilton,3612.0,4305.0,11258.0,19126.0,27824.0,32457.0,35728.0,38323.0,40940.0,825.0,1079.0,2087.0,2479.0,3080.0,3760.0,4590.0,5506.0,5676.0
Windsor,1228.0,1279.0,1290.0,1307.0,1332.0,1913.0,2496.0,3129.0,3767.0,3188.0,3301.0,3390.0,3491.0,3615.0,3858.0,4073.0,4313.0,4592.0
