Locality,ERP_2016,ERP_2021,ERP_2026,ERP_2031,ERP_2036,ERP_2041,ERP_2046,ERP_2051,ERP_2056,EMP_2016,EMP_2021,EMP_2026,EMP_2031,EMP_2036,EMP_2041,EMP_2046,EMP_2051,EMP_2056
ABBOTSBURY,6297.0,6410.0,6377.0,6374.0,6395.0,6549.0,6722.0,6911.0,7102.0,723.0,723.0,744.0,792.0,833.0,893.0,937.0,1012.0,1087.0
ABBOTSFORD,5601.0,5719.0,6011.0,6284.0,6484.0,6578.0,6687.0,6811.0,6849.0,803.0,889.0,976.0,1031.0,1087.0,1153.0,1221.0,1285.0,1354.0
ACACIA GARDENS,3958.0,4002.0,4079.0,4098.0,4212.0,4554.0,4873.0,5138.0,5502.0,289.0,332.0,431.0,511.0,595.0,640.0,665.0,678.0,721.0
AGNES BANKS,1392.0,1410.0,1420.0,1435.0,1467.0,1472.0,1478.0,1484.0,1490.0,421.0,414.0,412.0,417.0,428.0,448.0,466.0,482.0,508.0
AIRDS,2999.0,3623.0,4375.0,4875.0,5190.0,5250.0,5276.0,5291.0,5305.0,592.0,639.0,709.0,760.0,813.0,835.0,841.0,871.0,906.0
ALEXANDRIA,8655.0,9166.0,9559.0,9976.0,10381.0,10862.0,11372.0,11926.0,12466.0,26386.0,28205.0,28665.0,30005.0,31140.0,32293.0,33412.0,34342.0,35254.0
ALFORDS POINT,3265.0,3267.0,3269.0,3270.0,3300.0,3431.0,3542.0,3626.0,3849.0,300.0,324.0,340.0,361.0,387.0,410.0,432.0,452.0,473.0
ALLAMBIE HEIGHTS,7358.0,7390.0,7412.0,7424.0,7445.0,7585.0,7717.0,7827.0,8009.0,1985.0,1966.0,2022.0,2191.0,2389.0,2568.0,2736.0,2890.0,3051.0
ALLAWAH,6419.0,6508.0,6664.0,6832.0,7071.0,7294.0,7483.0,7638.0,7790.0,327.0,338.0,361.0,377.0,404.0,424.0,443.0,459.0,478.0
AMBARVALE,6613.0,6796.0,7010.0,7163.0,7366.0,7990.0,8749.0,9636.0,10529.0,527.0,561.0,611.0,647.0,683.0,707.0,724.0,753.0,786.0
ANNANDALE,9828.0,10049.0,10115.0,10326.0,11675.0,13418.0,14266.0,14563.0,14913.0,3051.0,3237.0,3353.0,3723.0,3969.0,4196.0,4408.0,4597.0,4783.0
ANNANGROVE,874.0,901.0,908.0,912.0,914.0,915.0,916.0,915.0,920.0,406.0,434.0,436.0,456.0,485.0,514.0,544.0,567.0,593.0
APPIN,2720.0,2792.0,2227.0,3046.0,4963.0,6111.0,6900.0,7496.0,8096.0,1610.0,2252.0,4175.0,4963.0,6215.0,7728.0,9608.0,10181.0,10425.0
ARCADIA,2016.0,2039.0,2048.0,2055.0,2194.0,2654.0,3093.0,3438.0,3622.0,643.0,681.0,692.0,726.0,768.0,812.0,854.0,889.0,925.0
ARNCLIFFE,9870.0,13648.0,16978.0,19647.0,21862.0,23763.0,25261.0,26878.0,28618.0,2276.0,2468.0,2703.0,2807.0,2910.0,3093.0,3279.0,3452.0,3632.0
ARNDELL PARK,35.0,39.0,45.0,49.0,55.0,58.0,61.0,64.0,68.0,6414.0,6486.0,6287.0,6206.0,6697.0,7131.0,7585.0,8011.0,8574.0
ARTARMON,9978.0,10020.0,10065.0,10129.0,10234.0,10388.0,10549.0,10706.0,11117.0,12092.0,12438.0,12701.0,12967.0,13287.0,13516.0,13706.0,13895.0,14167.0
ASHBURY,3351.0,3371.0,3458.0,3522.0,3589.0,3774.0,3962.0,4169.0,4373.0,417.0,441.0,476.0,511.0,540.0,568.0,596.0,620.0,645.0
ASHCROFT,3685.0,3817.0,4019.0,4229.0,4386.0,5131.0,5968.0,6936.0,6940.0,289.0,338.0,467.0,584.0,716.0,777.0,797.0,832.0,937.0
ASHFIELD,25598.0,27607.0,28381.0,28947.0,29594.0,30960.0,32214.0,33764.0,35334.0,8740.0,9414.0,10421.0,10992.0,11789.0,12451.0,13060.0,13606.0,14177.0
ASQUITH,3864.0,5864.0,6666.0,7217.0,7631.0,8289.0,8951.0,9662.0,10195.0,1637.0,1691.0,1741.0,1784.0,1877.0,1982.0,2081.0,2170.0,2259.0
AUBURN,38933.0,43758.0,45919.0,48326.0,51154.0,54904.0,59882.0,64678.0,68175.0,14591.0,15861.0,17684.0,19251.0,20610.0,21812.0,22989.0,24125.0,25304.0
AUSTRAL,2962.0,4109.0,7623.0,14883.0,23773.0,25849.0,32543.0,39285.0,49904.0,1259.0,2037.0,3411.0,5212.0,7723.0,11718.0,13833.0,15573.0,18182.0
AVALON BEACH,9692.0,9814.0,9942.0,10146.0,10770.0,11347.0,11877.0,12365.0,12851.0,3089.0,3269.0,3470.0,3747.0,4061.0,4310.0,4538.0,4737.0,4944.0
BADGERYS CREEK,237.0,220.0,207.0,108.0,198.0,304.0,310.0,309.0,311.0,356.0,550.0,6933.0,9843.0,12035.0,26088.0,40389.0,57633.0,58589.0
BALGOWLAH,8168.0,8244.0,8231.0,8281.0,8333.0,8534.0,8736.0,8936.0,9138.0,3550.0,3663.0,3682.0,3693.0,3707.0,3757.0,3787.0,3805.0,3828.0
BALGOWLAH HEIGHTS,2731.0,2752.0,2746.0,2776.0,2807.0,3015.0,3223.0,3429.0,3635.0,325.0,348.0,360.0,372.0,384.0,396.0,407.0,415.0,424.0
BALMAIN,11172.0,11609.0,11619.0,11622.0,11644.0,11671.0,12041.0,12705.0,13563.0,4778.0,4954.0,5116.0,6390.0,6793.0,7147.0,7471.0,7763.0,8062.0
BALMAIN EAST,2057.0,2077.0,2077.0,2077.0,2078.0,2081.0,2098.0,2131.0,2175.0,666.0,706.0,714.0,1188.0,1244.0,1287.0,1325.0,1361.0,1397.0
BANGOR,6359.0,6417.0,6487.0,6600.0,6769.0,7071.0,7385.0,7714.0,8016.0,1062.0,1166.0,1226.0,1313.0,1413.0,1503.0,1593.0,1674.0,1759.0
BANKSIA,3809.0,3837.0,3996.0,4191.0,4392.0,5343.0,6646.0,7671.0,8494.0,617.0,658.0,719.0,744.0,772.0,821.0,870.0,915.0,965.0
BANKSMEADOW,21.0,46.0,101.0,154.0,187.0,188.0,190.0,191.0,192.0,6956.0,7358.0,7660.0,7901.0,8070.0,8190.0,8308.0,8392.0,8517.0
