Locality,LGA,Split_id,ERP_2016,ERP_2056,EMP_2016,EMP_2056
BALGOWLAH HEIGHTS,Northern Beaches (A),182,2731.0,3635.0,325.0,424.0
BALMAIN,Inner West (A),785,11175.0,13568.0,4817.0,8119.0
BALMAIN EAST,Inner West (A),577,2057.0,2175.0,666.0,1397.0
BANGOR,Sutherland Shire (A),1261,6359.0,8016.0,1062.0,1759.0
BANKSIA,Rockdale (C),177,3809.0,8494.0,617.0,965.0
BANKSMEADOW,Botany Bay (C),673,21.0,192.0,6956.0,8517.0
BANKSTOWN,Canterbury-Bankstown (A),452,32353.0,62979.0,16767.0,28897.0
BANKSTOWN AERODROME,Canterbury-Bankstown (A),1286,0.0,0.0,2897.0,3298.0
BARANGAROO,Sydney (C),1229,202.0,1153.0,11673.0,30256.0
BARDEN RIDGE,Sutherland Shire (A),658,4291.0,5554.0,611.0,1058.0
BARDIA,Campbelltown (C) (NSW),1080,1663.0,6396.0,106.0,161.0
BARDWELL PARK,Rockdale (C),377,2367.0,4735.0,317.0,532.0
BARDWELL VALLEY,Rockdale (C),378,4532.0,6865.0,411.0,682.0
BARGO,Wollondilly (A),809,5833.0,8895.0,1449.0,2276.0
BASS HILL,Canterbury-Bankstown (A),679,6691.0,11686.0,1696.0,2311.0
BAULKHAM HILLS,The Hills Shire (A),421,34659.0,59991.0,6017.0,11048.0
BAYVIEW,Northern Beaches (A),1279,3035.0,4957.0,648.0,1086.0
BEACON HILL,Northern Beaches (A),893,9055.0,13497.0,977.0,1564.0
BEACONSFIELD,Sydney (C),938,1091.0,1448.0,1230.0,1721.0
BEAUMONT HILLS,The Hills Shire (A),1210,8803.0,13425.0,887.0,2474.0
BEECROFT,Hornsby (A),644,6878.0,10086.0,1665.0,2762.0
BEECROFT,Parramatta (C),645,1991.0,2142.0,223.0,339.0
BELFIELD,Canterbury-Bankstown (A),19,5130.0,6433.0,583.0,968.0
BELFIELD,Strathfield (A),20,1488.0,3194.0,298.0,415.0
