lga_name16,ERP_2016,ERP_2021,ERP_2026,ERP_2031,ERP_2036,ERP_2041,ERP_2046,ERP_2051,ERP_2056,EMP_2016,EMP_2021,EMP_2026,EMP_2031,EMP_2036,EMP_2041,EMP_2046,EMP_2051,EMP_2056
Hornsby (A),144689.0,154952.0,161828.0,168606.0,176286.0,186336.0,197078.0,208336.0,219317.0,48623.0,51927.0,54971.0,57876.0,61263.0,65141.0,68698.0,71977.0,75423.0
Hunters Hill (A),14669.0,14557.0,14646.0,14727.0,15015.0,15731.0,16450.0,17154.0,18039.0,5113.0,5530.0,5902.0,6256.0,6638.0,7090.0,7524.0,7916.0,8328.0
Inner West (A),190373.0,205141.0,216143.0,224776.0,237699.0,251382.0,265019.0,278840.0,292960.0,73099.0,80012.0,86881.0,99515.0,106016.0,110983.0,115611.0,119800.0,124050.0
Ku-ring-gai (A),122800.0,130712.0,138158.0,145394.0,150225.0,158716.0,167240.0,175708.0,184230.0,35263.0,37700.0,40657.0,42937.0,44632.0,47419.0,49980.0,52328.0,54844.0
Lane Cove (A),37117.0,41527.0,44683.0,48677.0,53217.0,56929.0,60465.0,64311.0,67954.0,21173.0,21979.0,22723.0,23447.0,24314.0,25000.0,25609.0,26221.0,26944.0
Liverpool (C),211504.0,241251.0,277643.0,309686.0,348258.0,397261.0,446164.0,500822.0,555932.0,80684.0,90385.0,107892.0,124345.0,142866.0,175088.0,205465.0,237358.0,258406.0
Mosman (A),30260.0,30504.0,30643.0,30943.0,31557.0,33362.0,35177.0,36979.0,38796.0,10319.0,10876.0,11332.0,12026.0,12837.0,13626.0,14346.0,14962.0,15595.0
North Sydney (A),71363.0,77150.0,82471.0,88447.0,94315.0,100281.0,106293.0,112306.0,118362.0,83301.0,89568.0,94443.0,100247.0,106345.0,112250.0,117465.0,121666.0,126140.0
Northern Beaches (A),265463.0,269040.0,274827.0,285219.0,297325.0,312843.0,328402.0,343861.0,359421.0,105328.0,109958.0,112772.0,119148.0,127011.0,134000.0,140296.0,145706.0,151452.0
Parramatta (C),233812.0,276426.0,315142.0,353885.0,391688.0,417236.0,440694.0,462103.0,485335.0,161874.0,177494.0,205885.0,225727.0,246124.0,266387.0,286814.0,307779.0,324268.0
Penrith (C),201043.0,220190.0,239480.0,259381.0,281578.0,317293.0,353039.0,388988.0,425235.0,80810.0,88236.0,104799.0,120139.0,133707.0,147780.0,162694.0,181840.0,197044.0
Randwick (C),148922.0,155586.0,164200.0,171688.0,179862.0,190194.0,202062.0,214220.0,226525.0,52668.0,57027.0,61382.0,64371.0,67845.0,72129.0,76837.0,81318.0,86035.0
Rockdale (C),115743.0,130689.0,142587.0,151178.0,158179.0,166973.0,175811.0,184775.0,194605.0,31487.0,34855.0,37725.0,39690.0,41273.0,43545.0,45743.0,47744.0,49922.0
Ryde (C),121840.0,141975.0,160525.0,172022.0,183284.0,193439.0,203650.0,213840.0,223531.0,99579.0,111035.0,117386.0,123316.0,130303.0,136879.0,143161.0,148653.0,154988.0
Strathfield (A),42051.0,52258.0,60488.0,63932.0,67134.0,69445.0,72502.0,75631.0,78770.0,26010.0,28614.0,31554.0,33518.0,34959.0,35976.0,37037.0,37956.0,38784.0
Sutherland Shire (A),225850.0,235593.0,242965.0,252613.0,263701.0,279412.0,295174.0,310764.0,326410.0,79026.0,84109.0,86709.0,91798.0,98113.0,103642.0,109009.0,113657.0,118725.0
Sydney (C),222782.0,236811.0,243519.0,266755.0,285661.0,302621.0,319564.0,336873.0,354481.0,586358.0,642326.0,675556.0,722452.0,770336.0,816658.0,857470.0,891887.0,928671.0
The Hills Shire (A),164320.0,192818.0,228657.0,259461.0,294932.0,316068.0,336701.0,355401.0,376173.0,75396.0,89024.0,99647.0,114181.0,130210.0,140671.0,151410.0,161247.0,172162.0
Waverley (A),72013.0,74328.0,75305.0,76292.0,77792.0,82217.0,86648.0,91189.0,95772.0,28519.0,30470.0,31520.0,33160.0,35284.0,37472.0,39456.0,41182.0,42963.0
Willoughby (C),78806.0,80581.0,82680.0,85335.0,89336.0,94427.0,99703.0,104620.0,109757.0,71788.0,74922.0,77347.0,79944.0,82790.0,84851.0,87204.0,89231.0,91190.0
Wollondilly (A),49920.0,52442.0,60234.0,69296.0,79983.0,88498.0,97024.0,106246.0,115544.0,13431.0,15259.0,20407.0,22903.0,26537.0,30463.0,35137.0,37367.0,38170.0
Woollahra (A),57730.0,58014.0,58364.0,58990.0,59503.0,63191.0,64620.0,66145.0,67449.0,23349.0,24886.0,25672.0,26862.0,28178.0,30079.0,30942.0,31640.0,32402.0
