"MB_ID","JobsT10","JobsT15","JobsT20","JobsT25","JobsT30","JobsT35","JobsT40","JobsT45","JobsT5_","JobsT50","JobsT55","JobsT60"
10019316,0,16,48,91,157,306,535,837,0,1047,1181,1421
10019317,0,2,42,102,182,278,401,1404,0,1582,2078,3400
10019318,0,6,56,116,198,292,415,601,0,1607,2120,3298
10019319,1,10,44,98,182,296,463,607,0,776,1476,2246
10019320,2,28,56,101,168,300,527,818,0,1038,1222,1457
10019321,4,22,58,94,174,302,515,800,0,1036,1230,1498
10019322,0,0,44,115,228,421,1196,2422,0,7159,12864,33959
10019323,2,16,54,96,164,287,494,802,0,1038,1223,1325
10019324,3,14,51,110,215,328,494,605,0,782,1080,2266
10019325,2,13,45,98,203,337,480,615,0,791,1081,1786
10019326,6,32,64,91,143,292,553,784,0,999,1205,1446
10019327,12,48,64,90,162,352,582,820,0,1024,1298,1412
10019328,12,66,145,220,309,381,484,576,0,716,1694,2250
10019329,24,83,176,256,342,401,483,572,0,669,1704,1909
10019330,2,13,74,153,232,337,512,763,0,1013,1273,1528
10019331,0,14,73,149,231,344,508,727,0,989,1277,1497
10019332,0,13,76,159,234,352,510,800,0,1060,1293,1516
10019333,22,62,129,193,273,364,443,923,0,1516,2738,3274
10019334,13,60,142,223,314,380,487,579,0,659,1228,1969
10019335,28,84,153,227,313,403,457,1420,0,1547,2595,3160
10019336,32,85,152,245,329,409,457,551,0,1562,1927,3110
10019337,24,82,153,242,329,415,454,563,0,1097,1960,3050
10019338,4,10,29,76,141,235,384,627,0,917,1155,1382
10019339,31,97,197,285,360,426,512,592,0,687,1231,1947
10019340,6,33,107,176,264,372,537,699,0,931,1217,1474
10019341,6,21,81,159,235,347,491,659,0,871,1163,1432
10019342,0,21,72,135,211,346,573,860,0,1082,1291,1663
10019343,0,21,65,145,213,353,559,855,0,1083,1289,1663
10019344,6,62,136,208,300,375,460,565,0,1078,1680,2864
10019345,6,16,51,119,216,347,565,864,0,1107,1298,1561
10019346,8,17,49,102,190,361,605,847,0,1060,1421,1626
10019347,12,22,48,104,201,378,626,845,0,1066,1406,1605
10019348,2,14,47,106,207,328,553,853,0,1112,1291,1557
10019349,19,87,177,260,344,420,474,564,0,659,1217,2115
10019350,8,71,149,230,317,403,451,539,0,1062,1667,2840
10019351,2,21,96,169,254,367,544,747,0,1001,1279,1527
10019352,3,16,88,160,243,348,521,727,0,965,1263,1528
10019353,5,41,108,193,297,382,440,560,0,672,1662,1893
10019354,20,59,125,195,276,368,441,1410,0,1772,2805,3440
10019355,17,56,127,195,280,375,440,1410,0,1814,2827,3486
10019356,0,11,54,142,222,334,506,809,0,1061,1284,1469
10019357,2,10,38,105,206,306,491,782,0,1081,1266,1387
10019358,0,8,57,137,221,337,492,750,0,1013,1280,1489
10019359,12,60,138,214,301,372,478,579,0,721,1720,2262
10019360,6,36,83,162,254,371,501,644,0,851,1143,1443
10019361,3,20,63,132,232,357,494,637,0,841,1139,1415
10019362,0,8,46,129,222,402,669,2134,0,6295,10610,19389
10019363,15,62,135,201,290,387,442,1393,0,1550,2039,3180
10019364,0,16,58,138,237,355,508,691,0,912,1218,1469
10019365,0,4,25,119,213,313,475,685,0,933,1226,1438
10019366,0,9,42,134,232,341,488,699,0,949,1254,1465
10019367,0,13,59,142,204,333,520,813,0,1053,1283,1641
10019368,0,9,57,137,227,337,500,744,0,992,1259,1479
10019369,12,28,50,101,196,393,628,829,2,1041,1419,1601
10019370,12,32,50,108,226,420,646,853,4,1061,1428,1604
10019371,0,15,61,139,220,342,544,858,0,1087,1293,1628
10019372,0,17,58,134,217,341,560,874,0,1096,1299,1610
10019373,4,12,57,129,221,346,579,881,0,1101,1299,1599
10019374,5,56,127,192,285,368,439,541,0,1545,1753,2983
10019375,1,38,113,193,294,383,446,550,0,699,1664,2135
