"location","Cal_15","Cal_30","Cal_45","Cal_60"
"BUSBY",195090.037102473,1250274.72879859,2807606.51678445,4164216.87941696
"MILLER",227111.21516284,1447124.55045382,3084119.09040755,4186639.18384054
"CASULA",255958.546244412,1429424.47339923,3594531.64628848,4199108.91254801
"CARTWRIGHT",237912.722242715,1453822.03356695,3321999.08336407,4191861.37255625
"HECKENBERG",187517.687619048,1300638.28412698,2876393.03365079,4170818.89460317
"SADLEIR",190029.839536303,1234263.14338011,2844942.68669921,4160059.33465528
"LURNEA",239264.063239807,1406726.50745287,3563524.79811486,4196998.02213941
"ASHCROFT",203941.734245106,1407809.55135425,3192971.85304371,4184113.82783588
"LIVERPOOL",250222.339636212,1577169.50697481,3702027.62248973,4203483.66274866
"MOOREBANK",246013.071220871,1588221.35094401,3802298.29516321,4204062.88868411
"WARWICK FARM",205919.564559805,1401824.59745063,3641231.52915924,4201212.65425005
"WATTLE GROVE",202106.177159406,1361101.61029967,3682739.35494838,4197375.72664316
"CHIPPING NORTON",202632.709464082,1332082.38529076,3596285.63671608,4191334.08107184
"HOLSWORTHY",169229.650686152,1198550.42559259,3440271.22527179,4171879.86829442
"HAMMONDVILLE",216538.420492992,1428623.62783954,3725189.86901885,4200420.29362011
"MOUNT PRITCHARD",201456.60326087,1498029.44384058,3403549.5326087,4194180.34782609
"PRESTONS",227423.402692595,1381278.81106956,3279483.36095737,4187810.89087509
"VOYAGER POINT",183550.476905312,1360528.1795612,3765478.41224018,4196222.99249423
"PLEASURE POINT",125979.496402878,1011450.96223022,3322816.5647482,4162211.73381295
"WEST HOXTON",195198.505561497,1464569.37593583,3108449.94919786,4189332.58128342
"CECIL HILLS",242834.076385725,1676268.85102506,3640107.80470767,4210695.66241458
"HOXTON PARK",240161.450430603,1609423.07850991,3363681.61766473,4199192.35189265
"HINCHINBROOK",220537.901821668,1505063.99060403,3192958.73624161,4191615.01725791
"GREEN VALLEY",200348.111413521,1385661.13634767,2981412.90079017,4180239.19604917
"HORNINGSEA PARK",182494.961734011,1270055.91249666,2845185.17741504,4170946.28472036
"MIDDLETON GRANGE",226209.278829604,1624451.63375953,3408535.73518564,4202331.97098598
"DENHAM COURT",105571.186160338,842050.201012658,2384153.92168776,4088184.54025316
"EDMONDSON PARK",219580.777439135,1253599.5733464,3010706.32099706,4172789.28003338
"LUDDENHAM",142829.518881119,777335.461538462,2105662.55524476,4049670.86993007
"CARNES HILL",203500.655335628,1424252.34337349,3051955.55378657,4186169.04302926
"ELIZABETH HILLS",255621.039668229,1689757.98052651,3603928.33898305,4209058.78254598
"CECIL PARK",243804,1599697,3597417,4209734
"LEN WATERS ESTATE",NA,NA,NA,NA
"LEPPINGTON",177863.476808905,1039390.26345083,2566122.71243043,4119293.16697588
"ROSSMORE",189538.861591271,1148997.14502881,2568808.97940419,4148129.20791958
"BRINGELLY",145841.419737309,740829.607383742,1935356.09747959,3832015.92800852
"GREENDALE",29534.8333333333,395945.666666667,1300399.75,2823052.66666667
"BADGERYS CREEK",176712.48,881235.88,2155090.92,4056850.24
"KEMPS CREEK",219989.091628462,1342807.06939647,2920977.61144257,4182149.96954092
"WALLACIA",45065.8814159292,516970.566371681,1744661.48495575,3741105.28141593
"AUSTRAL",222309.147658549,1408567.51118603,2979525.54177941,4187058.84292242
"SILVERDALE",4525.51724137931,273350.103448276,1133821.75862069,2454913.82758621
