"location","Cal_15","Cal_30","Cal_45","Cal_60"
"BUSBY",194865.820229682,1249166.72879859,2806498.51678445,4163108.87941696
"MILLER",226385.31197722,1446016.55045382,3083011.09040755,4185531.18384054
"CASULA",255774.458162816,1428316.47339923,3593423.64628848,4198000.91254801
"CARTWRIGHT",237451.734046477,1452714.03356695,3320891.08336407,4190753.37255625
"HECKENBERG",187313.544126984,1299530.28412698,2875285.03365079,4169710.89460317
"SADLEIR",189865.151006711,1233155.14338011,2843834.68669921,4158951.33465528
"LURNEA",239110.247150373,1405618.50745287,3562416.79811486,4195890.02213941
"ASHCROFT",203611.006167873,1406701.55135425,3191863.85304371,4183005.82783588
"LIVERPOOL",250028.241250733,1576061.50697481,3700919.62248973,4202375.66274866
"MOOREBANK",245955.060244911,1587113.35094401,3801190.29516321,4202954.88868411
"WARWICK FARM",205919.564559805,1400716.59745063,3640123.52915924,4200104.65425005
"WATTLE GROVE",202009.500755477,1359993.61029967,3681631.35494838,4196267.72664316
"CHIPPING NORTON",202630.717217788,1330974.38529076,3595177.63671608,4190226.08107184
"HOLSWORTHY",169195.378542149,1197517.3822848,3439163.22527179,4170771.86829442
"HAMMONDVILLE",216470.31222813,1427515.62783954,3724081.86901885,4199312.29362011
"MOUNT PRITCHARD",201257.697463768,1496921.44384058,3402441.5326087,4193072.34782609
"PRESTONS",227026.793717277,1380170.81106956,3278375.36095737,4186702.89087509
"VOYAGER POINT",183550.476905312,1359420.1795612,3764370.41224018,4195114.99249423
"PLEASURE POINT",125979.496402878,1010342.96223022,3321708.5647482,4161103.73381295
"WEST HOXTON",194197.009090909,1463461.37593583,3107341.94919786,4188224.58128342
"CECIL HILLS",241734.274563402,1675160.85102506,3638999.80470767,4209587.66241458
"HOXTON PARK",239052.271580212,1608315.07850991,3362573.61766473,4198084.35189265
"HINCHINBROOK",219698.336912752,1503955.99060403,3191850.73624161,4190507.01725791
"GREEN VALLEY",199735.091571554,1384553.13634767,2980304.90079017,4179131.19604917
"HORNINGSEA PARK",181837.3537597,1268947.91249666,2844077.17741504,4169838.28472036
"MIDDLETON GRANGE",225101.278829604,1623343.63375953,3407427.73518564,4201223.97098598
"DENHAM COURT",105340.850295359,840942.201012658,2383045.92168776,4087076.54025316
"EDMONDSON PARK",219101.938971735,1252491.5733464,3009598.32099706,4171681.28003338
"LUDDENHAM",142230.33006993,776227.461538462,2104554.55524476,4048562.86993007
"CARNES HILL",202504.832616179,1423144.34337349,3050847.55378657,4185061.04302926
"ELIZABETH HILLS",254513.039668229,1688649.98052651,3602820.33898305,4207950.78254598
"CECIL PARK",242696,1598589,3596309,4208626
"LEN WATERS ESTATE",NA,NA,NA,NA
"LEPPINGTON",177297.163265306,1038282.26345083,2565014.71243043,4118185.16697588
"ROSSMORE",187973.668865606,1148702.12508084,2567495.54611305,4147019.92523606
"BRINGELLY",145052.425275115,739721.607383742,1934248.09747959,3830907.92800852
"GREENDALE",29534.8333333333,394750.833333333,1299291.75,2821944.66666667
"BADGERYS CREEK",175605.28,880127.88,2153982.92,4055742.24
"KEMPS CREEK",217301.107076286,1333759.66751812,2904732.48325854,4179909.26938212
"WALLACIA",45065.0902654867,515862.566371681,1743553.48495575,3739997.28141593
"AUSTRAL",220221.862357703,1400289.83671143,2968483.36457161,4185577.27781269
"SILVERDALE",4525.51724137931,272414.379310345,1132713.75862069,2453805.82758621
