Area,Data type,Year,Number,Unnamed: 4,LGA
City of Sydney,Total Population,2016,224211,,City of Sydney
City of Sydney,Total Population,2017,233067,,City of Sydney
City of Sydney,Total Population,2018,240960,,City of Sydney
City of Sydney,Total Population,2019,249676,,City of Sydney
City of Sydney,Total Population,2020,259273,,City of Sydney
City of Sydney,Total Population,2021,267014,,City of Sydney
City of Sydney,Total Population,2022,275370,,City of Sydney
City of Sydney,Total Population,2023,282477,,City of Sydney
City of Sydney,Total Population,2024,288567,,City of Sydney
City of Sydney,Total Population,2025,294624,,City of Sydney
City of Sydney,Total Population,2026,299879,,City of Sydney
City of Sydney,Total Population,2027,305287,,City of Sydney
City of Sydney,Total Population,2028,309992,,City of Sydney
City of Sydney,Total Population,2029,314773,,City of Sydney
City of Sydney,Total Population,2030,318827,,City of Sydney
City of Sydney,Total Population,2031,322514,,City of Sydney
City of Sydney,Total Population,2032,325992,,City of Sydney
City of Sydney,Total Population,2033,329480,,City of Sydney
City of Sydney,Total Population,2034,332798,,City of Sydney
City of Sydney,Total Population,2035,336370,,City of Sydney
City of Sydney,Total Population,2036,339498,,City of Sydney
City of Sydney,Total Population,2037,342553,,City of Sydney
City of Sydney,Total Population,2038,345533,,City of Sydney
City of Sydney,Total Population,2039,348487,,City of Sydney
City of Sydney,Total Population,2040,351375,,City of Sydney
City of Sydney,Total Population,2041,354255,,City of Sydney
CBD - Harbour,Total Population,2016,8789,,City of Sydney
CBD - Harbour,Total Population,2017,9119,,City of Sydney
CBD - Harbour,Total Population,2018,9569,,City of Sydney
CBD - Harbour,Total Population,2019,10122,,City of Sydney
CBD - Harbour,Total Population,2020,11176,,City of Sydney
CBD - Harbour,Total Population,2021,12242,,City of Sydney
CBD - Harbour,Total Population,2022,13242,,City of Sydney
CBD - Harbour,Total Population,2023,14153,,City of Sydney
CBD - Harbour,Total Population,2024,14956,,City of Sydney
CBD - Harbour,Total Population,2025,15793,,City of Sydney
CBD - Harbour,Total Population,2026,16391,,City of Sydney
CBD - Harbour,Total Population,2027,16961,,City of Sydney
CBD - Harbour,Total Population,2028,17564,,City of Sydney
CBD - Harbour,Total Population,2029,17991,,City of Sydney
CBD - Harbour,Total Population,2030,18202,,City of Sydney
CBD - Harbour,Total Population,2031,18421,,City of Sydney
CBD - Harbour,Total Population,2032,18603,,City of Sydney
CBD - Harbour,Total Population,2033,18787,,City of Sydney
CBD - Harbour,Total Population,2034,18975,,City of Sydney
CBD - Harbour,Total Population,2035,19165,,City of Sydney
CBD - Harbour,Total Population,2036,19359,,City of Sydney
CBD - Harbour,Total Population,2037,19507,,City of Sydney
CBD - Harbour,Total Population,2038,19658,,City of Sydney
CBD - Harbour,Total Population,2039,19811,,City of Sydney
CBD - Harbour,Total Population,2040,19965,,City of Sydney
CBD - Harbour,Total Population,2041,20121,,City of Sydney
Chinatown - CBD South,Total Population,2016,21181,,City of Sydney
Chinatown - CBD South,Total Population,2017,23213,,City of Sydney
Chinatown - CBD South,Total Population,2018,24289,,City of Sydney
Chinatown - CBD South,Total Population,2019,25532,,City of Sydney
Chinatown - CBD South,Total Population,2020,27330,,City of Sydney
Chinatown - CBD South,Total Population,2021,28452,,City of Sydney
Chinatown - CBD South,Total Population,2022,30373,,City of Sydney
Chinatown - CBD South,Total Population,2023,31414,,City of Sydney
Chinatown - CBD South,Total Population,2024,31944,,City of Sydney
Chinatown - CBD South,Total Population,2025,32340,,City of Sydney
