Area,Data type,Year,Number,Unnamed: 4,LGA
Liverpool City,Total Population,2016,212232,,Liverpool City
Liverpool City,Total Population,2017,217413,,Liverpool City
Liverpool City,Total Population,2018,223032,,Liverpool City
Liverpool City,Total Population,2019,227312,,Liverpool City
Liverpool City,Total Population,2020,234246,,Liverpool City
Liverpool City,Total Population,2021,242817,,Liverpool City
Liverpool City,Total Population,2022,249311,,Liverpool City
Liverpool City,Total Population,2023,255903,,Liverpool City
Liverpool City,Total Population,2024,262396,,Liverpool City
Liverpool City,Total Population,2025,269575,,Liverpool City
Liverpool City,Total Population,2026,276970,,Liverpool City
Liverpool City,Total Population,2027,285430,,Liverpool City
Liverpool City,Total Population,2028,293950,,Liverpool City
Liverpool City,Total Population,2029,302731,,Liverpool City
Liverpool City,Total Population,2030,311060,,Liverpool City
Liverpool City,Total Population,2031,319304,,Liverpool City
Liverpool City,Total Population,2032,327612,,Liverpool City
Liverpool City,Total Population,2033,335993,,Liverpool City
Liverpool City,Total Population,2034,344218,,Liverpool City
Liverpool City,Total Population,2035,351675,,Liverpool City
Liverpool City,Total Population,2036,358871,,Liverpool City
Liverpool City,Total Population,2037,365378,,Liverpool City
Liverpool City,Total Population,2038,371306,,Liverpool City
Liverpool City,Total Population,2039,376739,,Liverpool City
Liverpool City,Total Population,2040,381843,,Liverpool City
Liverpool City,Total Population,2041,386646,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2016,4217,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2017,4236,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2018,4239,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2019,4234,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2020,4238,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2021,4247,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2022,4260,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2023,4260,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2024,4258,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2025,4261,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2026,4262,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2027,4265,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2028,4272,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2029,4276,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2030,4276,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2031,4274,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2032,4273,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2033,4268,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2034,4267,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2035,4269,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2036,4271,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2037,4272,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2038,4271,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2039,4272,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2040,4276,,Liverpool City
Ashcroft - Mount Pritchard,Total Population,2041,4281,,Liverpool City
Austral,Total Population,2016,3110,,Liverpool City
Austral,Total Population,2017,3235,,Liverpool City
Austral,Total Population,2018,3350,,Liverpool City
Austral,Total Population,2019,3661,,Liverpool City
Austral,Total Population,2020,6120,,Liverpool City
Austral,Total Population,2021,9451,,Liverpool City
Austral,Total Population,2022,12851,,Liverpool City
Austral,Total Population,2023,16593,,Liverpool City
Austral,Total Population,2024,20700,,Liverpool City
Austral,Total Population,2025,25712,,Liverpool City
Austral,Total Population,2026,30879,,Liverpool City
Austral,Total Population,2027,36027,,Liverpool City
Austral,Total Population,2028,40899,,Liverpool City
Austral,Total Population,2029,45198,,Liverpool City
Austral,Total Population,2030,49161,,Liverpool City
Austral,Total Population,2031,52581,,Liverpool City
Austral,Total Population,2032,55681,,Liverpool City
Austral,Total Population,2033,58411,,Liverpool City
Austral,Total Population,2034,60799,,Liverpool City
Austral,Total Population,2035,62665,,Liverpool City
Austral,Total Population,2036,64321,,Liverpool City
Austral,Total Population,2037,65786,,Liverpool City
Austral,Total Population,2038,66979,,Liverpool City
Austral,Total Population,2039,67824,,Liverpool City
Austral,Total Population,2040,68517,,Liverpool City
Austral,Total Population,2041,69049,,Liverpool City
Busby,Total Population,2016,4465,,Liverpool City
Busby,Total Population,2017,4480,,Liverpool City
Busby,Total Population,2018,4471,,Liverpool City
Busby,Total Population,2019,4465,,Liverpool City
Busby,Total Population,2020,4450,,Liverpool City
Busby,Total Population,2021,4452,,Liverpool City
Busby,Total Population,2022,4452,,Liverpool City
Busby,Total Population,2023,4460,,Liverpool City
Busby,Total Population,2024,4466,,Liverpool City
Busby,Total Population,2025,4474,,Liverpool City
Busby,Total Population,2026,4486,,Liverpool City
Busby,Total Population,2027,4485,,Liverpool City
Busby,Total Population,2028,4486,,Liverpool City
Busby,Total Population,2029,4491,,Liverpool City
Busby,Total Population,2030,4498,,Liverpool City
Busby,Total Population,2031,4499,,Liverpool City
Busby,Total Population,2032,4502,,Liverpool City
Busby,Total Population,2033,4501,,Liverpool City
Busby,Total Population,2034,4503,,Liverpool City
Busby,Total Population,2035,4507,,Liverpool City
Busby,Total Population,2036,4509,,Liverpool City
Busby,Total Population,2037,4512,,Liverpool City
Busby,Total Population,2038,4514,,Liverpool City
Busby,Total Population,2039,4516,,Liverpool City
Busby,Total Population,2040,4518,,Liverpool City
Busby,Total Population,2041,4524,,Liverpool City
Cartwright,Total Population,2016,2459,,Liverpool City
Cartwright,Total Population,2017,2475,,Liverpool City
Cartwright,Total Population,2018,2487,,Liverpool City
Cartwright,Total Population,2019,2500,,Liverpool City
Cartwright,Total Population,2020,2524,,Liverpool City
Cartwright,Total Population,2021,2542,,Liverpool City
Cartwright,Total Population,2022,2550,,Liverpool City
