TZ16_CODE,TZ16_NAME,Tz16_Area
"7180",Mongarlowe,1538767126.42000007629
"7181",Braidwood,234510464.94100001454
"7182",Majors Creek,1643682789.71000003815
"7185",Karabar,6978598.09743000008
"7188",Queanbeyan,4760921.32412000000
"7191",Queanbeyan_East,12996534.46050000004
"7194",Mount Fairy,593898429.95200002193
"7195",Bungendore,5044992.91540999990
"7196",Bywong,558209488.16400003433
"7197",Kambalah,586438948.28400003910
"7198",Googong,189993457.87500000000
"7199",Michelago,1119528093.30999994278
"7202",Queanbeyan West,4557263.88918999955
"7203",Jerrabomberra,9113999.17575000040
"7206",Cathcart,1484904672.50000000000
"7207",Bombala,5195881.49026000034
"7208",Craigie,1569026867.02999997139
"7209",Coolumbooka,938773540.22699999809
"7212",Cooma,103724676.59999999404
"7215",Adaminaby,2319512729.05000019073
"7216",Bredbo,1569285398.33999991417
"7217",Nimmitabel,2366069127.32999992371
"7220",Rocky Plain,680851143.51499998569
"7221",Thedbo Village,1297327324.61999988556
"7222",Berridale,2266876.25368000008
"7223",Avonside,337515894.79799997807
"7224",Perisher Village,6096784.43867000006
"7225",Jindabyne,20978748.82519999892
"7226",Beloka,1599720117.85999989510
"7229",Batemans Bay,63703911.60670000315
"7232",Batemans Bay_South,30596134.25079999864
"7235",Bega,50552118.04179999977
"7236",Kalaru,6361525.32471999992
"7237",Tathra,127314499.23899999261
"7240",Towamba,2442155297.61000013351
"7241",Cobargo,989695142.49000000954
"7242",Bemboka,146460582.02599999309
"7243",Candelo,355628840.11699998379
"7244",Wolumla,131858329.56999999285
"7245",Tantawanga,580215647.15900003910
"7246",Lochiel,74908363.92739999294
"7249",Broulee_Tomakin,24236384.00979999825
"7252",Deua_Wadbilliga,2784023590.50000000000
"7255",Eden,95049291.83900000155
"7258",South Durras,5165995.14867000002
"7259",Nelligen,1155512765.75000000000
"7260",Mogo,57864690.68349999934
"7261",Bodalla,241539838.34400001168
"7264",Merimbula_Tura Beach,42902695.15370000154
"7265",Pambula Beach,54648684.01510000229
"7268",North Moruya,38883318.72049999982
"7269",Moruya,40635272.41669999808
"7270",Moruya Heads,83166464.65800000727
"7271",Tuross Head,2778688.56012000004
"7274",Dalmeny,7158087.37347999960
"7275",Narooma,3344043.01356999995
"7276",Mystery Bay,168100625.25099998713
"7277",Bermagui,9233376.36342000030
"7278",Beauty Point,65060236.76259999722
"7142",Kenmore,12388062.52190000005
"7143",Run O Waters,26112603.55000000075
"7144",Goulburn,26208013.52180000022
"7147",Binda,2898692656.92000007629
"7148",Taralga,1866317764.96000003815
"7149",Crookwell,4910208.95849999972
"7150",Kialla,202177166.74000000954
"7151",Pomeroy,1710057954.83999991417
"7152",Marulan,1199804849.52999997139
"7153",Collector,1140601873.55999994278
"7156",Yass Region,92067433.80959999561
"7157",Yass,7551555.82708000019
"7160",Rye Park,788493395.35699999332
"7161",Dalton,1431251126.68000006676
"7162",Gunning,1421144.15222000005
"7163",Bookham,691456581.37999999523
"7164",Jugiong,458402378.29900002480
"7165",Gundaroo,300013009.37900000811
"7166",Wee Jasper,1868408230.03999996185
"7167",Sutton,135256827.67599999905
"7170",Young,11466517.01909999922
"7171",Burrangong,493502236.87999999523
"7174",Koorawatha,1701271.23799999990
"7175",Boorowa,2981850965.69000005722
"7176",Monteagle,1915887535.89000010490
"7177",Harden,941300586.05999994278
"5300",Avoca Beach,4433247.26759999990
"5301",Copacabana Beach,1991935.13020000001
"5304",St Huberts Island,540061.37844400003
"5305",Macmasters Beach,3580872.82516000001
"5306",Little Beach,13613692.85309999995
"5307",Empire Bay,7125466.85395000037
"5308",Putty Beach,7166177.11584999971
"5311",Mangrove Mountain,315191152.09399998188
"5312",Brisbane Water NP_North,75335105.00419999659
"5313",Somersby,13748021.14719999954
"5314",Brisbane Water NP_South,35752159.57729999721
"5315",Dharug NP,216894341.03000000119
"5316",Peat Island Hospital,42987988.10649999976
"5317",Wondabyne Station,66591380.86469999701
"5320",Colonial Barn Holgate,9655823.32802000083
"5321",The Plant Place Matcham,9006478.69322999939
"5322",Pottery Loft Erina Heights,2576524.66488000005
"5323",Erina Fair,1305003.66044000001
"5324",Erina_Tarragal Glen Retirement Village,1245460.73047000007
"5325",Erina High School,1111697.80437000003
"5326",Green Point Shopping Centre,2571462.31730999984
"5327",Sculpture Park Green Point,6257507.29882999975
"5328",Central Coast Stadium,584586.93829199998
"5330",West Gosford Industrial Area,2758382.83718999987
"5331",Gosford Golf Course,1310826.54608000000
"5332",North Gosford Private Hospital,1766061.16045999993
"5333",Gosford Racecourse,1570336.27588000009
"5334",Gosford Station_East,440628.52926500002
"5335",Chertsey Public School,3205205.89894000022
"5336",Gosford Industrial Area,590047.86693500006
"5337",Springfield,2178726.88591999980
"5338",East Gosford,1322658.90886000008
"5339",St Josephs Girls School,1152506.24650999997
"5342",Mt Penang Parklands,2046188.55874000001
"5343",Kariong Recreation Area,1320152.47891000006
"5344",Kariong,4924404.62172000017
"5347",Avoca Fine Art Gallery Kincumber,3598762.77089999989
"5348",Kincumber Shopping Centre,2499993.32459999993
"5349",Kincumber Industrial Area,5967286.45665000007
"5352",Narara_Canning Park,2285174.12135000015
"5353",Narara Valley High School,4642112.44551999960
"5354",Narara_Gavenlock Oval,760383.89486000000
"5357",Niagara Park Station_West,4012869.26087999996
"5358",Lisarow Station_West,2021333.14791000006
"5359",Niagara Park Station_East,579688.15775799996
"5360",Lisarow Station_East,3163544.74129999988
"5361",Lisarow,6921969.81393000018
