"MB_ID","JobsA10","JobsA15","JobsA20","JobsA25","JobsA30","JobsA35","JobsA40","JobsA45","JobsA5_","JobsA50","JobsA55","JobsA60"
10019450,10071,51622,184437,328611,557985,848176,1405056,1815643,261,2176065,3018870,3881868
10019451,10957,55133,186676,331169,566281,854563,1409726,1823901,257,2182522,3042184,3886529
10019452,12193,59233,191165,338384,583529,875203,1442745,1839813,254,2224517,3138235,3898544
10019453,11577,57155,188713,334513,572662,861201,1430417,1832950,259,2195606,3111974,3893387
10019454,4243,30652,137086,277311,432664,731918,1208427,1695486,640,2032896,2588123,3722268
10019455,18795,81224,229071,364922,644823,1007317,1560807,1938432,145,2348591,3470227,3956233
10019456,3806,29727,130856,274936,432630,727332,1187177,1682942,609,2025036,2541472,3699286
10019457,3593,27930,123941,270685,433312,708259,1167769,1654023,600,2009821,2493442,3650265
10019458,16719,75642,218884,356628,628597,959349,1534717,1911122,203,2312884,3362185,3935202
10019459,17451,78969,222331,358129,633009,981000,1544978,1920417,231,2325485,3388106,3945354
10019460,18111,76959,224479,360626,633114,989188,1550959,1929171,145,2339278,3414128,3948830
10019461,9282,49569,179138,319881,544417,821151,1382740,1794074,237,2167579,2967811,3873390
10019462,13284,56468,199751,341956,600453,902041,1463279,1866717,212,2261516,3220761,3910447
10019463,14505,57718,208612,342606,605768,920346,1494685,1892110,173,2282860,3295739,3926418
10019464,15331,58360,210424,344878,610942,927629,1507449,1898359,179,2295513,3329273,3930050
10019465,6114,33819,144760,287205,473278,755386,1253496,1716227,414,2056789,2667364,3767154
10019466,5515,31921,135957,279785,460893,735900,1220115,1700036,378,2036987,2615631,3723792
10019467,5823,32709,139912,283386,465376,744357,1236693,1708602,456,2043958,2648817,3752065
10019468,13701,63050,203321,345687,606593,914312,1474962,1879173,239,2267107,3239486,3912040
10019469,11137,52936,186858,332205,570761,860419,1433956,1835046,232,2202701,3129908,3895359
10019470,19716,91588,234346,371439,653591,1027973,1573116,1949265,1385,2361753,3513747,3958889
10019471,4307,26696,122929,267620,438100,698762,1130223,1637892,464,2000516,2476794,3612937
10019472,3050,26374,115649,266638,419937,697151,1129487,1645894,609,2001909,2478620,3624518
10019473,10491,51882,184664,327452,558629,851394,1411378,1827969,219,2185232,3054262,3888902
10019474,6482,35353,149012,293789,484024,764032,1274020,1726932,289,2063483,2716214,3787595
10019475,15045,68397,213740,350356,619605,937350,1502199,1895471,666,2288358,3305230,3927508
10019476,8808,49244,177645,319942,541629,810874,1376386,1786911,236,2156493,2920671,3866443
10019477,5813,33042,140759,286805,473325,746113,1238762,1708969,351,2045923,2653495,3751742
10019478,6500,34926,147511,290159,477566,762879,1272083,1726488,382,2063314,2716276,3787604
10019479,5171,30710,131821,277631,451721,731185,1199831,1683689,401,2027356,2550451,3703917
10019480,4702,28814,129933,272345,449014,711845,1176297,1652669,400,2011891,2506594,3653672
10019481,3730,28793,126151,273005,430370,713118,1181334,1661708,629,2016845,2517890,3666905
10019482,16719,75642,218884,356628,628597,959349,1534717,1911122,203,2312884,3362185,3935202
10019483,13936,57258,206547,342509,603771,906373,1483503,1883461,220,2271349,3267479,3919347
10019484,6463,35183,148703,290159,476941,766198,1297642,1741244,397,2083381,2742982,3805706
10019485,5081,31470,140953,279357,436897,741073,1223134,1705951,661,2041072,2625871,3744238
10019486,15213,58227,210365,344857,610630,927604,1507368,1898290,126,2295404,3329160,3930050
10019487,14395,57598,208573,342591,605380,920344,1494621,1892040,122,2282765,3295577,3926387
10019488,16199,66937,213690,347602,612547,944666,1523355,1906889,140,2305612,3351346,3933101
10019489,16698,68177,215022,350578,617457,946881,1532066,1910304,97,2311032,3362192,3935233
10019490,16076,66843,213668,347592,612547,944666,1523355,1906889,105,2305612,3351346,3933101
10019491,19534,95605,235608,373323,656964,1029739,1573972,1949729,1553,2363516,3514043,3958922
10019492,9434,49098,180911,321791,541930,844053,1401690,1814631,192,2175515,3014187,3881882
10019493,8876,48114,177211,316811,536688,819512,1380549,1793449,209,2165612,2963064,3873390
10019494,6111,34114,145260,287103,468175,759815,1269992,1726242,428,2061303,2711547,3787590
10019495,5735,33035,142414,283714,457093,751586,1251433,1716057,480,2055000,2667411,3767140
10019496,18758,95455,232379,370891,655455,1022767,1564247,1939380,1608,2351143,3470616,3956342
10019497,17444,73577,220624,355584,628667,972370,1543188,1919778,117,2324727,3388062,3945354
10019498,5522,31656,137032,279991,450077,733804,1217715,1700327,500,2035877,2611048,3724689
10019499,25498,112484,263376,403924,700861,1155648,1666710,2011138,1709,2514829,3683397,4011046
10019500,22772,101315,254073,391731,676612,1091829,1630755,1990865,882,2463158,3611653,3993442
10019501,11352,51833,186259,328487,570839,870854,1440815,1843093,147,2222320,3141634,3900122
10019502,10681,50974,184281,326555,557635,858711,1431230,1834227,161,2202466,3125121,3895373
10019503,10027,50104,183070,323870,552622,850371,1409547,1827395,187,2185002,3054241,3888902
10019504,17467,70653,218622,353584,623296,968232,1542280,1919731,96,2323597,3388046,3945354
10019505,18133,73325,222529,358313,628919,984707,1549718,1928927,90,2337748,3414112,3948830
10019506,18832,76652,227215,362532,640483,1002464,1559345,1938046,89,2350794,3470211,3956233
