"MB_ID","JobsT10","JobsT15","JobsT20","JobsT25","JobsT30","JobsT35","JobsT40","JobsT45","JobsT5_","JobsT50","JobsT55","JobsT60"
10476580000,707,2296,8090,21961,58044,122171,163629,234197,24,403255,572543,750560
10476590000,1371,7087,12969,24581,58196,117195,162765,225625,153,314205,477892,612072
10476600000,590,3700,10427,27325,49120,96005,138638,182503,32,255494,357196,550070
10476610000,422,3038,9018,26954,49323,84158,130458,161309,51,233481,339683,524898
10476620000,1704,5303,12914,44496,65180,100418,154018,217056,29,317756,477401,719948
10476630000,1308,5877,11673,21164,43213,110410,158884,208993,66,299623,424961,606838
10476640000,245,471,2303,8159,52859,65833,95666,131705,27,185374,251489,339880
10476650000,265,648,6672,49384,77544,105120,146349,224920,50,341738,516782,691503
10476660000,138,3161,10344,49502,67569,97788,145036,214659,39,310322,438851,818630
10476670000,365,2509,5429,45619,62953,81610,122211,193310,61,277875,384290,635589
10476680000,692,2707,11667,28968,63139,81768,108348,160050,56,233870,344065,484022
10476690000,1001,4347,10226,35706,64511,84087,131303,186672,185,270148,382207,596189
10476700000,654,2887,10631,33754,65924,88000,135684,206256,29,313274,404474,728706
10476710000,719,3423,6373,23055,61811,73637,96232,139334,24,191416,273500,390173
10476720000,951,2776,10736,48352,70604,90189,121049,172186,32,282767,448704,638068
10476730000,793,3241,7448,27504,58231,67372,89498,130863,85,180536,260962,421581
10476740000,507,1722,6156,31187,59834,81582,125318,164143,92,233671,340307,504888
10476750000,2329,9169,51990,63447,85001,140219,195996,284287,45,413326,959937,1639475
10476760000,519,1958,7049,43682,60912,77806,124025,182472,220,246002,325419,596732
10476770000,538,2417,8495,50880,62888,87403,131235,188607,61,267743,390716,624496
10476780000,1571,6324,15827,43602,71479,100064,139869,186141,21,254363,352397,493369
10476790000,496,1981,5764,30446,60594,82593,112572,148525,59,226064,358796,542348
10476820000,555,2447,6881,23304,56474,79820,117744,155382,34,215522,306359,423445
10476830000,707,3265,6672,24039,58927,79291,116507,164813,36,224522,315037,441831
10476840000,1993,5854,19629,57851,76607,105301,138445,182521,34,261811,363518,482611
10476850000,367,890,2732,8564,38822,85117,121735,167923,52,240284,325684,453989
