row_id,title,pipeline,action,classification,confidence,reason,old_relative_path,new_relative_path,size_bytes,sha256_before,sha256_after,checksum_match
paper-2022-04,Access-Oriented Design? Disentangling Land Use And Transport Effects,UPLOADED,moved,data,low,extensionless/unclassified legacy payload,CHECKSUMS.sha256,data/CHECKSUMS.sha256,49500,74743e0b2fe6cf974239dc7295e2a67e21baa2635093390a6bb69fc2cc4d5e94,74743e0b2fe6cf974239dc7295e2a67e21baa2635093390a6bb69fc2cc4d5e94,yes
paper-2022-04,Access-Oriented Design? Disentangling Land Use And Transport Effects,UPLOADED,moved,code,medium,code directory hint; subtree preserved,docs/DATA_DICTIONARY.md,code/legacy/docs/DATA_DICTIONARY.md,3127,d591a25300f25232f2d680e702256537c39eed8bc35cca69bfce3f45d0fbe5a6,d591a25300f25232f2d680e702256537c39eed8bc35cca69bfce3f45d0fbe5a6,yes
paper-2022-04,Access-Oriented Design? Disentangling Land Use And Transport Effects,UPLOADED,moved,code,medium,code directory hint; subtree preserved,docs/PROVENANCE.md,code/legacy/docs/PROVENANCE.md,1232,06e32bc3bdbf14f94f9a19687bd521bb3832ff8cc69e25f749367042ff210bd7,06e32bc3bdbf14f94f9a19687bd521bb3832ff8cc69e25f749367042ff210bd7,yes
paper-2022-04,Access-Oriented Design? Disentangling Land Use And Transport Effects,UPLOADED,moved,code,medium,code directory hint; subtree preserved,docs/SOURCE_POINTERS.csv,code/legacy/docs/SOURCE_POINTERS.csv,1549,9392933b718c0ccd878c30c0ffb85a8ddabed25960494f62a8a4fac7ae472b86,9392933b718c0ccd878c30c0ffb85a8ddabed25960494f62a8a4fac7ae472b86,yes
