"location","Cal_15","Cal_30","Cal_45","Cal_60"
"BUSBY",195610.445892226,1249991.87809187,2807282.51678445,4163892.87941696
"MILLER",227857.954084357,1446815.48247019,3083795.09040755,4186315.18384054
"CASULA",252819.934017503,1429102.99099666,3594213.73027766,4198784.91254801
"CARTWRIGHT",238801.60420509,1453530.07266691,3321675.08336407,4191537.37255625
"HECKENBERG",182748.957777778,1300360.08063492,2876069.03365079,4170494.89460317
"SADLEIR",187577.185478951,1233968.01860891,2844618.68669921,4159735.33465528
"LURNEA",236007.218873301,1406410.95133713,3563200.79811486,4196674.02213941
"ASHCROFT",199514.759452936,1407505.92330383,3192647.85304371,4183789.82783588
"LIVERPOOL",247945.238733367,1577733.7761437,3701702.84136808,4203159.55433157
"MOOREBANK",245371.911291313,1590711.66023672,3801976.86550354,4203738.88868411
"WARWICK FARM",205920.360147943,1413726.29000727,3640908.74347797,4200888.65425005
"WATTLE GROVE",201655.964996223,1366563.87559809,3682420.718207,4197051.72664316
"CHIPPING NORTON",202631.176966933,1351394.46191562,3595961.63671608,4191010.08107184
"HOLSWORTHY",169167.509534842,1207195.96809838,3439947.22527179,4171555.86829442
"HAMMONDVILLE",215806.442000967,1432146.95915901,3724865.86901885,4200096.29362011
"MOUNT PRITCHARD",201110.788043478,1497911.48731884,3403225.5326087,4193856.34782609
"PRESTONS",228561.233657442,1381030.53238594,3279159.36095737,4187486.89087509
"VOYAGER POINT",183553.026558891,1396194.18764434,3765154.41224018,4195898.99249423
"PLEASURE POINT",125979.496402878,1034644.6852518,3322492.5647482,4161887.73381295
"WEST HOXTON",213852.845668449,1464280.4831016,3108126.01379679,4189008.58128342
"CECIL HILLS",245943.267425968,1676408.28170084,3639783.80470767,4210371.66241458
"HOXTON PARK",258653.0715001,1609097.3789305,3363357.61766473,4198868.35189265
"HINCHINBROOK",225801.855704698,1504752.53767977,3192634.73624161,4191291.01725791
"GREEN VALLEY",200225.855048288,1385350.18261633,2981088.90079017,4179915.19604917
"HORNINGSEA PARK",183833.141289805,1269731.91249666,2844861.17741504,4170622.28472036
"MIDDLETON GRANGE",256749.019547578,1624619.69289403,3408211.76407671,4202007.97098598
"DENHAM COURT",104551.555611814,841728.995611814,2383829.92168776,4087860.54025316
"EDMONDSON PARK",220071.141322884,1253275.5733464,3010382.32099706,4172465.28003338
"LUDDENHAM",144370.681118881,777024.233566434,2105340.29370629,4049346.86993007
"CARNES HILL",206574.068416523,1423928.34337349,3051631.55378657,4185845.04302926
"ELIZABETH HILLS",267688.199062387,1689971.5712225,3603604.33898305,4208734.78254598
"CECIL PARK",250004,1600075,3597093,4209410
"LEN WATERS ESTATE",NA,NA,NA,NA
"LEPPINGTON",177072.66419295,1039066.26345083,2565798.71243043,4118969.16697588
"ROSSMORE",200873.96451646,1163528.09352887,2597916.25464055,4147223.61296277
"BRINGELLY",152970.125665602,761605.239261626,1960464.72538161,3845144.14703585
"GREENDALE",29533.6666666667,399091.75,1300075.75,2822728.66666667
"BADGERYS CREEK",199031.504,1243187.372,2703101.936,4165968.212
"KEMPS CREEK",222605.383370359,1328580.60526817,2870763.24665186,4178116.34249445
"WALLACIA",45078.2265486726,516729.415929204,1744337.63893805,3740781.28141593
"AUSTRAL",231075.551783986,1371304.84242862,2880945.55073955,4180703.47818207
"SILVERDALE",4525.51724137931,290533.482758621,1133497.75862069,2454589.82758621
