"location","Cal_15","Cal_30","Cal_45","Cal_60"
"BUSBY",195300.308083039,1248837.87809187,2806128.51678445,4162738.87941696
"MILLER",227014.732336715,1445661.48247019,3082641.09040755,4185161.18384054
"CASULA",252579.860039035,1427948.99099666,3593059.73027766,4197630.91254801
"CARTWRIGHT",238224.496495758,1452376.07266691,3320521.08336407,4190383.37255625
"HECKENBERG",182520.054920635,1299206.08063492,2874915.03365079,4169340.89460317
"SADLEIR",187333.666564979,1232814.01860891,2843464.68669921,4158581.33465528
"LURNEA",235803.54482683,1405256.95133713,3562046.79811486,4195520.02213941
"ASHCROFT",199207.17538214,1406351.92330383,3191493.85304371,4182635.82783588
"LIVERPOOL",247789.931292942,1576579.7761437,3700548.84136808,4202005.55433157
"MOOREBANK",245329.221198345,1589557.66023672,3800822.86550354,4202584.88868411
"WARWICK FARM",205920.360147943,1412572.29000727,3639754.74347797,4199734.65425005
"WATTLE GROVE",201605.571896248,1365409.87559809,3681266.718207,4195897.72664316
"CHIPPING NORTON",202630.180843786,1350240.46191562,3594807.63671608,4189856.08107184
"HOLSWORTHY",169150.355908038,1206096.60274461,3438793.22527179,4170401.86829442
"HAMMONDVILLE",215748.630497825,1430992.95915901,3723711.86901885,4198942.29362011
"MOUNT PRITCHARD",201005.621376812,1496757.48731884,3402071.5326087,4192702.34782609
"PRESTONS",228010.303141361,1379876.53238594,3278005.36095737,4186332.89087509
"VOYAGER POINT",183553.026558891,1395040.18764434,3764000.41224018,4194744.99249423
"PLEASURE POINT",125979.496402878,1033490.6852518,3321338.5647482,4160733.73381295
"WEST HOXTON",212756.44342246,1463126.4831016,3106972.01379679,4187854.58128342
"CECIL HILLS",244792.782232346,1675254.28170084,3638629.80470767,4209217.66241458
"HOXTON PARK",257501.166032445,1607943.3789305,3362203.61766473,4197714.35189265
"HINCHINBROOK",224872.541035475,1503598.53767977,3191480.73624161,4190137.01725791
"GREEN VALLEY",199532.658296752,1384196.18261633,2979934.90079017,4178761.19604917
"HORNINGSEA PARK",182938.070109714,1268577.91249666,2843707.17741504,4169468.28472036
"MIDDLETON GRANGE",255595.019547578,1623465.69289403,3407057.76407671,4200853.97098598
"DENHAM COURT",104339.068691983,840574.995611814,2382675.92168776,4086706.54025316
"EDMONDSON PARK",219444.645114473,1252121.5733464,3009228.32099706,4171311.28003338
"LUDDENHAM",143604.218181818,775870.233566434,2104186.29370629,4048192.86993007
"CARNES HILL",205463.78141136,1422774.34337349,3050477.55378657,4184691.04302926
"ELIZABETH HILLS",266535.354489722,1688817.5712225,3602450.33898305,4207580.78254598
"CECIL PARK",248850,1598921,3595939,4208256
"LEN WATERS ESTATE",NA,NA,NA,NA
"LEPPINGTON",176478.395176252,1037912.26345083,2564644.71243043,4117815.16697588
"ROSSMORE",197403.478894072,1151101.81886449,2584372.36113323,4143609.22778473
"BRINGELLY",152005.789563365,760451.239261626,1959310.72538161,3843990.14703585
"GREENDALE",29533.6666666667,397939.166666667,1298921.75,2821574.66666667
"BADGERYS CREEK",195010.009090909,1195197.84545455,2629164.09090909,4152912.38181818
"KEMPS CREEK",220131.134196542,1324484.65047526,2865537.60467031,4176676.6774942
"WALLACIA",45071.4265486726,515575.415929204,1743183.63893805,3739627.28141593
"AUSTRAL",228130.360206213,1361417.81867473,2866942.33485919,4178730.59801787
"SILVERDALE",4525.51724137931,289384.551724138,1132343.75862069,2453435.82758621
