"location","Cal_15","Cal_30","Cal_45","Cal_60"
"BUSBY",193000.802561837,1251955.87809187,2809246.51678445,4165857.79814488
"MILLER",229844.596013526,1448780.74710803,3085759.09040755,4188280.4148425
"CASULA",249193.961720078,1431064.60523831,3596172.97097526,4200748.91254801
"CARTWRIGHT",239368.603467355,1455494.2571007,3323639.08336407,4193502.24087053
"HECKENBERG",178524.99047619,1302324.08063492,2878033.03365079,4172458.89460317
"SADLEIR",182593.576876144,1235933.04362416,2846582.68669921,4161699.33465528
"LURNEA",231281.618478737,1408377.29022359,3565164.79811486,4198638.02213941
"ASHCROFT",195904.336283186,1409474.61598284,3194611.85304371,4185753.82783588
"LIVERPOOL",246319.917702951,1579699.64300721,3703666.84136808,4205123.55433157
"MOOREBANK",244785.259778023,1592675.66023672,3803940.86550354,4205702.88868411
"WARWICK FARM",205920.360147943,1415700.11630672,3642872.74347797,4202852.65425005
"WATTLE GROVE",201408.382271468,1368527.87559809,3684384.718207,4199015.72664316
"CHIPPING NORTON",202630.410718358,1355563.82622577,3597925.63671608,4192974.08107184
"HOLSWORTHY",169136.602388166,1209112.9925147,3441911.22527179,4173519.86829442
"HAMMONDVILLE",215397.711696472,1434110.95915901,3726829.86901885,4202060.29362011
"MOUNT PRITCHARD",200936.346014493,1499875.48731884,3405189.5326087,4195820.34782609
"PRESTONS",230460.888257292,1382995.22378459,3281123.36095737,4189451.57344802
"VOYAGER POINT",183553.026558891,1399019.69630485,3767118.41224018,4197862.99249423
"PLEASURE POINT",125979.496402878,1038764.01438849,3324456.5647482,4163851.73381295
"WEST HOXTON",219718.809518717,1466262.21572193,3110090.04812834,4190972.58128342
"CECIL HILLS",250380.717995444,1678375.47425968,3641747.80470767,4212335.66241458
"HOXTON PARK",265570.626276787,1611063.07850991,3365321.61766473,4200832.35189265
"HINCHINBROOK",228782.009683605,1506716.59980825,3194598.73624161,4193256.11581975
"GREEN VALLEY",199014.833362599,1387314.18261633,2983052.90079017,4181879.65575066
"HORNINGSEA PARK",186476.089911694,1271695.91249666,2846825.17741504,4172586.28472036
"MIDDLETON GRANGE",265009.922793214,1626583.77206786,3410175.76407671,4203971.97098598
"DENHAM COURT",110222.058396624,844150.599324894,2385793.92168776,4089824.54025316
"EDMONDSON PARK",223335.854105439,1255239.5733464,3012346.32099706,4174434.56590835
"LUDDENHAM",143693.938461538,778996.355244755,2107304.29370629,4051311.21818182
"CARNES HILL",208906.034423408,1425892.34337349,3053595.55378657,4187810.80722892
"ELIZABETH HILLS",274041.52758745,1691935.5712225,3605568.33898305,4210698.78254598
"CECIL PARK",257583,1602065,3599057,4211374
"LEN WATERS ESTATE",NA,NA,NA,NA
"LEPPINGTON",182430.723562152,1041061.13729128,2567762.71243043,4120933.16697588
"BRINGELLY",156701.918210863,768365.559105431,1970639.78430955,3853740.29037984
"GREENDALE",29564.0833333333,401156.166666667,1302039.75,2824692.66666667
"BADGERYS CREEK",205826.047619048,1231734.14536341,2658396.93233083,4167708.87719298
"KEMPS CREEK",226925.609067441,1329166.63552759,2849890.87996128,4180353.2494353
"WALLACIA",45070.6548672566,518731.511504425,1746301.63893805,3742745.28141593
"AUSTRAL",215298.640205868,1263104.37664681,2754815.65012167,4166364.61996867
"ROSSMORE",198197.357148286,1113902.92027058,2544429.68465456,4137167.03709052
"SILVERDALE",4525.51724137931,293746.965517241,1135461.75862069,2456544.62068966
