"location","Cal_15","Cal_30","Cal_45","Cal_60"
"BUSBY",191505.340326855,1247812.87809187,2805103.51678445,4161714.79814488
"MILLER",226336.375867592,1444637.74710803,3081616.09040755,4184137.4148425
"CASULA",248385.114902726,1426921.60523831,3592029.97097526,4196605.91254801
"CARTWRIGHT",236648.30284028,1451351.2571007,3319496.08336407,4189359.24087053
"HECKENBERG",178122.276190476,1298181.08063492,2873890.03365079,4168315.89460317
"SADLEIR",181866.019829164,1231790.04362416,2842439.68669921,4157556.33465528
"LURNEA",230688.996711968,1404234.29022359,3561021.79811486,4194495.02213941
"ASHCROFT",195536.310002682,1405331.61598284,3190468.85304371,4181610.82783588
"LIVERPOOL",246135.112789355,1575556.64300721,3699523.84136808,4200980.55433157
"MOOREBANK",244723.868288488,1588532.66023672,3799797.86550354,4201559.88868411
"WARWICK FARM",205920.360147943,1411557.11630672,3638729.74347797,4198709.65425005
"WATTLE GROVE",201374.273105011,1364384.87559809,3680241.718207,4194872.72664316
"CHIPPING NORTON",202629.899885975,1351420.82622577,3593782.63671608,4188831.08107184
"HOLSWORTHY",169127.637675994,1205092.74175726,3437768.22527179,4169376.86829442
"HAMMONDVILLE",215354.506283229,1429967.95915901,3722686.86901885,4197917.29362011
"MOUNT PRITCHARD",200881.809782609,1495732.48731884,3401046.5326087,4191677.34782609
"PRESTONS",227383.529543755,1378852.22378459,3276980.36095737,4185308.57344802
"VOYAGER POINT",183553.026558891,1394876.69630485,3762975.41224018,4193719.99249423
"PLEASURE POINT",125979.496402878,1034621.01438849,3320313.5647482,4159708.73381295
"WEST HOXTON",215628.733262032,1462119.21572193,3105947.04812834,4186829.58128342
"CECIL HILLS",246347.716932422,1674232.47425968,3637604.80470767,4208192.66241458
"HOXTON PARK",261429.025836171,1606920.07850991,3361178.61766473,4196689.35189265
"HINCHINBROOK",225139.444870566,1502573.59980825,3190455.73624161,4189113.11581975
"GREEN VALLEY",196640.39429324,1383171.18261633,2978909.90079017,4177736.65575066
"HORNINGSEA PARK",182539.886272411,1267552.91249666,2842682.17741504,4168443.28472036
"MIDDLETON GRANGE",260866.922793214,1622440.77206786,3406032.76407671,4199828.97098598
"DENHAM COURT",109127.545991561,840007.599324894,2381650.92168776,4085681.54025316
"EDMONDSON PARK",219735.088676028,1251096.5733464,3008203.32099706,4170291.56590835
"LUDDENHAM",142595.888111888,774853.355244755,2103161.29370629,4047168.21818182
"CARNES HILL",204797.792168675,1421749.34337349,3049452.55378657,4183667.80722892
"ELIZABETH HILLS",269902.696357735,1687792.5712225,3601425.33898305,4206555.78254598
"CECIL PARK",253440,1597922,3594914,4207231
"LEN WATERS ESTATE",NA,NA,NA,NA
"LEPPINGTON",178508.686456401,1036918.13729128,2563619.71243043,4116790.16697588
"BRINGELLY",152865.591693291,764222.559105431,1966496.78430955,3849597.29037984
"GREENDALE",29545.4166666667,397013.916666667,1297896.75,2820549.66666667
"BADGERYS CREEK",198546.13986014,1189988.74125874,2602097.60839161,4153561.46153846
"KEMPS CREEK",222296.225623353,1325450.10622339,2849333.1340969,4176389.13308332
"WALLACIA",45066.8477876106,514588.511504425,1742158.63893805,3738602.28141593
"AUSTRAL",211366.461305463,1264974.05982996,2757434.29935971,4163812.47835475
"ROSSMORE",NA,NA,NA,NA
"SILVERDALE",4525.51724137931,289558.586206897,1131318.75862069,2452401.62068966
