"MB_ID","JobsT10","JobsT15","JobsT20","JobsT25","JobsT30","JobsT35","JobsT40","JobsT45","JobsT5_","JobsT50","JobsT55","JobsT60"
10476580000,707,2296,8090,21928,66309,123768,164787,235432,24,404169,573708,751539
10476590000,1371,7087,12718,24297,66416,119937,163769,226799,153,315586,478922,612036
10476600000,590,3700,10198,27178,49407,102974,132436,190966,32,257827,358061,550701
10476610000,422,3038,9018,26954,49098,86339,133314,160052,51,235517,340044,526023
10476620000,1704,5303,12914,44496,65180,109537,156571,218401,29,319200,478872,720694
10476630000,1308,5877,11588,21196,43862,113696,159587,210087,66,300638,425966,607062
10476640000,245,471,2303,8159,52859,65833,91466,134998,27,188739,251578,338287
10476650000,265,648,6672,49259,82398,105876,147440,226426,50,343178,517062,691234
10476660000,138,3161,10344,49502,70193,100803,145419,215752,39,311878,439907,818711
10476670000,365,2509,5429,45619,62953,81610,121029,194585,61,279002,384674,634718
10476680000,692,2707,11667,28968,63139,81757,116530,162441,56,234686,343423,484300
10476690000,1001,4347,10226,35706,64820,91587,132940,188347,185,272433,390195,606809
10476700000,654,2887,10631,33754,65924,88000,130843,209586,29,313826,404720,729842
10476710000,719,3423,6373,23055,61811,73637,96325,142779,24,194939,273698,396047
10476720000,951,2776,10736,48352,70604,90189,121493,181492,32,278935,448918,638342
10476730000,793,3241,7448,27504,58231,67372,90007,134676,85,174721,266198,423671
10476740000,507,1722,6156,31187,59834,89648,127501,161703,92,237119,341377,505857
10476750000,2329,9169,38549,63335,84926,146946,197117,285730,45,415055,961094,1640048
10476760000,519,1958,7049,43682,60912,77561,120579,184320,220,246118,324816,596151
10476770000,538,2417,8495,50880,62639,94810,132060,188756,61,269462,393068,629642
10476780000,1571,6324,15723,43739,66565,95924,139274,186520,21,256569,355439,503583
10476790000,496,1981,5764,30446,60594,82593,112684,156038,59,225189,365847,544035
10476820000,555,2447,6881,23304,56474,74970,121934,160018,34,215766,307095,424224
10476830000,707,3265,6672,23520,58790,78087,119839,165437,36,225819,316442,443684
10476840000,1993,5854,19629,57592,71852,108224,139245,183360,34,262977,365211,483952
10476850000,367,890,2732,8564,35847,83408,125869,170350,52,239419,324185,443354
10476860000,463,3074,6813,27674,60032,83108,122487,159414,13,219851,310881,426664
10476870000,605,1651,5321,38443,56483,65975,87552,133709,35,191474,269689,435170
10476880000,343,808,1728,6662,39267,57577,76900,108510,122,171057,231002,308340
10476890000,494,1588,4279,12103,38771,70444,105680,137046,115,195385,268649,356737
10476900000,629,2236,9578,45601,58785,69918,116063,154253,16,210824,317841,462887
10476910000,635,2260,4807,20534,56126,68238,93817,127702,116,179641,246516,408954
10476920000,527,3443,36611,60413,98419,127819,184578,258649,23,396478,567318,1137610
10476930000,462,1545,4562,25574,57433,67265,102072,154540,29,197091,296232,454786
10476940000,363,991,3675,36395,56339,64574,90371,143883,116,187599,282681,443945
10476950000,515,1250,12165,40316,56669,65292,85590,127232,102,174977,255264,399344
10476960000,178,493,1431,4203,47014,58604,88407,126306,52,212052,294158,397936
10476970000,350,1110,12760,46963,61326,75832,102708,170040,20,231733,315153,581241
10476980000,345,1137,10555,44823,64310,97549,147861,228535,24,366067,528141,808332
10476990000,742,1747,9604,44119,59808,77949,111712,175376,174,234674,319044,559243
10477000000,418,1961,10626,49048,62706,76744,114034,182219,75,251544,333924,595134
10477010000,1103,3595,14723,51772,79508,112173,183095,320006,16,473749,687583,1302026
10477020000,324,2049,9251,49766,66246,96536,127227,171828,30,241973,344140,602055
10477030000,393,2231,9718,50156,64346,96808,123074,184600,59,252049,360958,622322
10477040000,497,1905,10706,49848,64136,81723,113296,184280,30,249254,340376,619869
10477050000,429,6954,33439,45236,56008,78241,119863,202224,177,324848,500880,878131
10477060000,616,2649,29533,42803,58481,84005,132735,205024,64,344180,531310,927583
10477070000,415,2367,10322,33298,62926,89616,137294,223824,56,353117,514447,830684
10477080000,613,845,2876,35554,52578,72586,107687,168660,36,284203,430671,632620
10477090000,211,1274,10824,46742,59924,74901,105317,164955,0,233128,318985,568910
10477100000,1675,4230,14270,42580,60709,91330,135404,221838,75,368544,555825,967069
10477110000,11533,25344,48188,70242,105564,155945,265326,424384,540,626199,1024134,1746676
10477120000,10084,24904,51227,67636,99833,153852,224710,315561,348,524237,1181862,1576785
10477130000,18002,51714,73337,106613,156591,231601,328743,537462,49,1091511,1700244,2226205
10477140000,26752,39474,54673,78835,113090,178798,277741,443729,377,642225,1238385,1823993
10477150000,23390,43776,62016,92049,153121,218778,306855,515498,230,965061,1614597,2148774
10477160000,2379,5751,37474,48678,71239,90859,152209,216155,61,355991,569364,1183438
10477180000,2307,10502,35957,58790,80271,123624,196945,280527,29,471626,956994,1530583
10477190000,2725,15220,30507,58749,78064,105933,159697,271357,2155,445819,671768,1202178
10477200000,2953,3602,13549,24978,55452,72248,127295,186069,29,326670,623901,1222134
10477210000,1025,6770,29702,46567,63515,89414,151071,217153,25,384394,857838,1412885
10477220000,1419,20597,38973,62398,99579,168242,254324,447561,4,657431,1262951,1866094
10477230000,1439,7352,38768,63592,108450,178176,283462,473119,48,760183,1403898,1974449
10477240000,1321,25816,42179,72568,123137,198534,308209,515097,82,902059,1608925,2140229
10477250000,1302,4646,22868,50614,62461,98624,155305,232274,513,378034,771145,1421775
10477260000,287,686,1132,1943,4010,7351,14709,50172,98,65495,89363,153053
10477270000,12,333,1009,2134,3922,7493,15429,53389,4,72747,128452,207092
10477290000,322,1478,3749,22645,65044,107407,153351,232523,111,427724,1030885,1567418
10477300000,560,4089,11583,51600,82460,123968,177365,276990,96,770017,1362692,1758544
10477310000,715,2048,6508,9463,45554,87818,118639,190317,10,679209,1256169,1620063
10477320000,585,2332,6324,45502,71099,119167,167944,273078,180,760396,1357011,1770933
10477330000,477,2028,26845,47166,72649,120134,179065,276982,36,461815,1103328,1681550
10477340000,467,1439,3596,4420,7228,11374,23224,62837,153,94046,162083,271067
10477350000,374,1616,3614,4940,7168,13095,21201,55517,35,83632,128322,206714
10477360000,575,1291,2670,4628,6667,15187,31540,91490,25,167641,289445,512373
10477370000,559,1154,2378,4297,7066,15134,29310,87320,0,164942,286052,507031
10477390000,505,1564,2788,4835,9930,13904,23712,57257,213,74424,107812,170249
10477400000,765,1835,6467,17102,75906,114837,168614,279301,91,661679,1325717,1872321
10477410000,421,1337,4230,11875,44430,86620,136601,197382,146,320120,880489,1498786
10477420000,623,2360,11442,52509,88200,137260,217648,386241,328,991099,1605282,2097353
10477430000,362,1004,2034,3789,6460,15609,36105,94733,204,165375,289419,510686
10477440000,261,1239,3546,6035,15794,45460,83912,125733,14,190708,331615,941513
10477450000,703,2622,12190,50684,75802,124120,175873,289778,106,803367,1394225,1813013
10477460000,268,1081,3393,5501,11947,20878,70800,118321,20,179335,288363,647668
10477470000,927,1802,3163,4503,6958,13247,15078,28317,89,77769,125721,192093
10477480000,105,831,2608,13256,51314,84689,117112,182890,14,282574,786480,1417622
10477490000,286,938,3314,35986,51855,67189,91285,118875,18,181708,249311,380320
10477500000,159,839,2533,11762,32147,79508,124621,193780,15,292522,762169,1402509
10477510000,1000,2242,3204,4481,5848,9706,15858,42387,277,83563,152201,231616
