"MB_ID","JobsW10","JobsW15","JobsW20","JobsW25","JobsW30","JobsW35","JobsW40","JobsW45","JobsW5_","JobsW50","JobsW55","JobsW60"
10476580000,707,1954,3949,7580,10097,12089,15546,19708,24,25268,30883,37509
10476590000,1073,2997,3549,5482,8505,12419,17636,22633,73,28722,34797,40562
10476600000,590,2073,4297,6744,9794,12817,16373,18804,32,25009,31579,39029
10476610000,460,2033,4392,6316,10053,12414,15124,19249,51,26281,31600,38222
10476620000,1625,3074,4223,5745,9183,13565,18057,23951,29,30298,35207,40252
10476630000,1146,2988,3548,4735,8041,12460,16686,21544,102,28703,34515,40821
10476640000,245,471,942,4292,6774,8051,12130,14455,27,21738,25566,27791
10476650000,265,628,3044,8093,10656,15595,19612,25487,50,30137,35236,47720
10476660000,138,1505,3435,7207,11185,15733,19731,25144,39,31460,41464,58833
10476670000,334,866,1817,3807,6358,9428,10665,17433,61,20940,25865,28681
10476680000,545,1368,2600,5171,8736,11005,15449,19981,56,23001,34691,54364
10476690000,977,2232,3828,6351,8446,10327,16595,23082,185,27448,33322,50462
10476700000,476,1314,2015,4159,6587,9584,10647,14553,29,21298,26985,30973
10476710000,578,1506,2936,5582,8227,11137,15802,19278,24,23011,36203,54727
10476720000,455,1171,2359,4566,7825,10563,14013,18833,32,23495,38700,70652
10476730000,567,1422,2454,3640,5794,9024,12526,18926,85,35872,66249,74834
10476740000,507,1418,3086,5315,7713,11465,18210,23055,92,34534,50730,75658
10476750000,1309,1839,4269,7290,13496,18152,21974,25806,45,36813,55566,78703
10476760000,519,1174,2069,3217,4217,7391,10746,12077,220,15936,19271,27854
10476770000,538,2000,3381,5960,8437,13133,18790,25121,61,38252,54973,78173
10476780000,916,3615,7337,11181,12782,16030,20276,24833,47,32087,49993,59751
10476790000,406,988,2229,4632,7347,10314,13628,19303,59,30082,45930,73420
10476820000,433,1115,4071,7356,11429,14861,18036,19897,34,24966,30514,44341
10476830000,640,1486,3939,8751,14172,18102,19886,22983,36,25883,40055,57741
10476840000,642,1794,6379,10708,14340,16983,19848,23743,34,35743,54797,74623
10476850000,367,840,1936,5162,9553,12826,17043,20671,52,23041,29199,41546
10476860000,463,1308,3949,7181,13427,18023,19752,23184,13,31928,51170,73134
10476870000,503,1544,2593,3838,6148,9326,13836,26281,35,45681,70354,78179
10476880000,343,808,1400,2667,3916,5810,7183,9793,122,14293,18648,24064
10476890000,532,1272,2776,8458,11821,17265,19326,25714,115,42335,64614,73442
10476900000,638,1197,1744,4197,6492,9826,24117,40401,16,65530,70498,76129
10476910000,618,1036,1965,3239,4799,7721,19930,50968,116,61000,69808,77045
10476920000,527,1399,3331,6053,11959,15112,27046,45524,23,66314,70017,78395
10476930000,462,988,1539,3243,6029,9334,19618,36040,29,62127,69899,75008
10476940000,363,773,1378,2935,5499,8181,11885,26265,116,58979,66630,72849
10476950000,515,928,2148,4095,6035,14954,27072,55787,102,62936,71258,77466
10476960000,178,439,723,1808,2697,4025,5691,7020,52,11285,15452,19749
10476970000,318,771,2163,3911,5492,10253,14373,19095,20,23047,34396,48520
10476980000,345,892,1683,2788,3777,4885,5748,9259,24,14595,19210,26455
10476990000,742,1427,2811,4213,5346,8100,13199,32550,174,59052,62584,68713
10477000000,418,828,2030,3040,4849,7274,14248,17483,75,28630,55898,66347
10477010000,147,365,535,919,1523,2544,3869,6127,16,8439,16200,26843
10477020000,324,732,1126,2312,4073,6602,9161,16544,30,29704,54681,64769
10477030000,393,789,1707,2593,4658,6844,11458,17323,59,31833,55118,66464
10477040000,514,957,1893,2898,5303,7350,13371,18806,30,31517,61172,67603
10477050000,429,814,1344,3584,19533,40736,46951,49529,177,53162,60172,64963
10477060000,616,1020,1551,8988,22975,43744,46689,50409,64,57403,61140,66556
10477070000,341,487,764,1763,3022,5501,10010,21021,56,47648,59787,62493
10477080000,613,845,1246,10309,23054,43296,46241,49541,36,54520,59948,64019
10477090000,211,712,2097,3076,4654,7492,15533,27950,0,53409,62239,66747
10477100000,1675,4230,14209,38039,43943,47526,52888,56231,75,58395,64844,68790
10477110000,11438,23667,40239,45253,49375,51787,56235,59252,540,65773,69188,73673
10477120000,9971,23140,40441,43861,46262,50579,54257,58355,348,63342,70336,79499
10477130000,15465,37427,41977,46388,49525,53852,56500,61882,49,64900,69023,78569
10477140000,26752,37534,41274,43752,48983,53031,55062,60865,377,69531,73485,79404
10477150000,23288,39252,41735,45980,48951,50864,57353,60593,230,66447,73352,79364
10477160000,2379,3422,5274,10291,38950,47605,51625,54391,61,59230,64264,68854
10477180000,2307,3413,6297,19069,40998,50575,52229,55158,29,59287,65132,69640
10477190000,2332,3448,12229,39571,48525,51861,54378,58330,2155,62578,68874,72355
10477200000,2953,3413,5482,10058,24724,48510,53492,55379,29,60865,64272,69001
