"MB_ID","JobsA10","JobsA15","JobsA20","JobsA25","JobsA30","JobsA35","JobsA40","JobsA45","JobsA5_","JobsA50","JobsA55","JobsA60"
10476580000,45079,197101,376436,800386,1220153,1856944,2284368,2751559,7722,3778838,4074256,4162001
10476590000,89511,240840,526438,955147,1518913,2057961,2456826,3197597,9427,3997334,4103135,4191373
10476600000,47380,181744,343282,745826,1173606,1813051,2235606,2700731,6603,3649608,4064380,4144899
10476610000,49020,182224,344151,754869,1181385,1826964,2259263,2711715,6353,3658409,4066404,4150574
10476620000,70261,209513,430263,866211,1338445,1953897,2347995,2881986,8203,3869428,4084435,4177081
10476630000,91043,242899,523149,951556,1508445,2046134,2447972,3166541,10318,3992982,4102096,4190828
10476640000,69221,233981,466899,881283,1331007,2104305,2473663,3419887,4694,3994426,4104895,4192824
10476650000,92813,242892,510289,944158,1478670,2043934,2434562,3150129,12393,3998892,4098809,4189425
10476660000,112019,241911,519054,965268,1485019,2108815,2463480,3288685,16481,4012244,4102406,4190757
10476670000,95688,273355,551381,954422,1465500,2182600,2526605,3517102,7844,4023574,4114419,4200292
10476680000,81032,191890,368830,765472,1309224,1877787,2279589,2833013,7221,3852351,4073211,4173239
10476690000,69526,196508,369399,793536,1227690,1924408,2332141,2896252,8405,3868783,4079167,4165130
10476700000,108321,288765,532253,951644,1441427,2188776,2555276,3573558,8338,4023492,4122196,4202321
10476710000,59403,182700,354019,725833,1210614,1819754,2260675,2741598,6456,3744996,4063643,4153542
10476720000,81364,196735,386153,780766,1339635,1901226,2305733,2913921,7653,3877489,4076974,4175988
10476730000,81955,185143,365081,734633,1236432,1869491,2290570,2809926,5960,3781776,4067668,4161542
10476740000,81996,190597,370802,753827,1254588,1889322,2301940,2848702,6699,3810224,4073927,4162732
10476750000,110987,241888,488294,945289,1459473,2126252,2489775,3385692,18387,4011259,4108687,4193745
10476760000,72079,232512,448778,865977,1265724,2060539,2458012,3357141,5300,3967136,4101531,4189656
10476770000,92957,204162,398887,810400,1328676,1968495,2355180,2965744,8423,3912206,4083858,4172765
10476780000,81850,220156,407272,856175,1279805,2063646,2451583,3348127,11377,3974597,4101075,4188983
10476790000,85934,204771,403008,810972,1395722,1962813,2345507,3043121,8301,3938020,4084556,4183705
10476820000,78229,233533,430193,839416,1292576,2078622,2478606,3491694,9183,3965239,4107375,4192006
10476830000,79323,235026,418233,809716,1303897,2073210,2503099,3526376,9526,3976060,4110150,4193128
10476840000,97570,225546,410394,825252,1315480,2091720,2470439,3470157,12681,3963449,4105560,4191667
10476850000,85865,250792,457700,885227,1357107,2137082,2550021,3570078,8844,3996100,4119139,4197711
10476860000,90393,221783,404801,807903,1278622,2067650,2459951,3441095,9161,3951990,4102833,4189698
10476870000,77620,168129,375116,708976,1272790,1900718,2310535,2926127,3443,3839470,4073112,4170000
10476880000,82477,256755,464928,887407,1329607,2114733,2499931,3509850,5560,3983848,4109925,4194965
10476890000,96535,234479,442180,807873,1424778,2089108,2544250,3598418,12209,3983356,4115561,4196369
10476900000,103925,220337,425701,843740,1433318,2025553,2398172,3279709,10612,3955273,4096668,4186357
10476910000,94546,194358,419674,799261,1437508,2014409,2397309,3230584,6137,3967725,4090182,4187468
10476920000,101961,243800,459307,878237,1492880,2166136,2571424,3602846,15412,4000534,4121379,4199402
10476930000,85835,192571,389349,750039,1291466,1901350,2316464,2992933,4581,3857955,4075538,4173547
10476940000,79740,188736,377219,722962,1267641,1882657,2300477,2906821,3742,3830888,4071304,4167358
10476950000,109465,221011,478392,912597,1536573,2093127,2454930,3425891,17544,3998663,4104046,4195219
10476960000,54779,191002,396382,725689,1183364,1939960,2418127,3338002,2299,3924729,4088292,4177405
10476970000,119770,275011,535508,920947,1638976,2222356,2984873,3842038,21491,4028543,4155520,4208619
10476980000,96988,239221,447682,840992,1365129,2099819,2553624,3615658,4405,3986443,4121294,4197139
10476990000,102298,235941,457230,815433,1492600,2117439,2682326,3732608,10659,4003170,4134449,4199490
10477000000,112512,262346,518513,900348,1605494,2204999,2949111,3831315,16109,4023697,4151502,4206451
10477010000,113985,270317,498393,908621,1462878,2175929,2706434,3755981,9889,4017888,4141027,4203540
10477020000,124229,286680,548544,947821,1687433,2259325,3079909,3855623,20241,4035028,4161579,4210083
10477030000,107534,255774,501313,881758,1587565,2191162,2891288,3824655,14912,4020500,4148256,4205085
10477040000,123402,277280,538917,930082,1640072,2229125,2983870,3843194,19412,4029537,4155886,4208781
10477050000,85068,180551,391865,778850,1403999,1934677,2488289,3606582,7710,4012874,4130336,4200651
10477060000,94077,197918,416917,871978,1472789,2001350,2559610,3676415,11906,4030444,4142889,4203227
10477070000,116432,271942,530871,933734,1639455,2239157,2967718,3843664,14981,4031652,4155198,4208255
10477080000,99146,218551,439295,938993,1529861,2043100,2798991,3777652,16581,4045700,4159546,4209010
10477090000,144107,309760,586621,1029008,1777356,2323786,3112218,3883230,22090,4059005,4165803,4213917
10477100000,124236,267249,529164,899302,1672721,2203576,2911147,3831145,52591,4028028,4151108,4205368
10477110000,128794,270118,521281,894274,1645024,2155923,2789128,3799316,55835,4035271,4146998,4203712
10477120000,114433,248767,481836,941023,1569328,2106243,2629885,3714057,47814,4042376,4149956,4204977
10477130000,104039,226970,455545,756953,1475524,2050279,2582138,3670989,49644,3994528,4126403,4197207
10477140000,104059,244283,462076,842005,1485872,2029066,2529479,3551798,51453,4003489,4117907,4197550
10477150000,101742,235531,463552,796419,1492799,2050628,2569556,3642804,49644,3994215,4125069,4196915
10477160000,150641,312692,582651,1051533,1806572,2355986,3314177,3896671,35994,4057016,4172409,4213964
10477180000,147257,308222,575542,1028058,1791053,2327464,3225095,3887544,49169,4051888,4168950,4212353
10477190000,143256,307806,572401,1020483,1781378,2316929,3211373,3883538,50705,4049132,4168308,4212196
10477200000,130841,293203,552186,955168,1719961,2279603,3142408,3867222,30968,4041922,4164487,4210741
10477210000,131066,291899,549599,954466,1721376,2280583,3168541,3868430,30842,4041989,4164813,4210731
10477220000,99821,203221,424739,827566,1398995,1922505,2585654,3677067,37763,4011608,4140433,4200846
10477230000,102457,217524,451460,860758,1426654,1947013,2692627,3733235,40255,4021430,4147356,4204015
10477240000,100952,205228,435586,838731,1409308,1931457,2638991,3708324,38371,4015890,4144878,4202670
10477250000,119180,275880,509499,930353,1708317,2257056,3306853,3875556,16776,4041851,4166093,4211127
10477260000,42928,189121,381498,665898,1294512,1988630,2628264,3697829,2747,3981075,4114977,4194827
10477270000,25619,157404,330236,601463,1110617,1821651,2393815,3430728,2266,3931211,4067563,4184259
10477290000,88775,208686,390670,696408,1334067,1966863,2469723,3479323,10824,3951960,4089672,4188111
10477300000,107559,241947,452134,838606,1552370,2078121,2729313,3766584,18693,3998222,4130128,4198904
10477310000,96269,238697,468593,834659,1582117,2123012,3032967,3825865,9617,4015227,4147275,4205451
10477320000,102215,234788,437538,793622,1516161,2061838,2695082,3740498,17504,3993208,4126610,4197732
10477330000,94195,221169,414459,732324,1454080,2014863,2595245,3657469,14258,3977861,4110914,4194132
10477340000,64399,216900,433991,794865,1479301,2086514,2863777,3807045,5545,4007278,4139479,4202449
10477350000,98504,251159,482146,875534,1596183,2181674,3072232,3842213,8475,4023555,4154249,4207413
10477360000,32780,176914,363388,645588,1234424,1914028,2497172,3579792,3446,3955758,4087136,4190648
10477370000,39021,186674,379208,673530,1284463,1970636,2589695,3654096,4021,3972187,4107600,4193472
10477390000,108427,271663,505216,914252,1660799,2228909,3150974,3858438,14171,4035198,4161015,4209119
10477400000,92010,223124,422452,740560,1490376,2035079,2706817,3750050,8732,3986122,4120995,4196663
10477410000,86031,221504,421873,739459,1492125,2040348,2726520,3754763,8282,3986873,4121915,4196943
10477420000,98054,227999,430044,767354,1499620,2036340,2648912,3711311,15517,3987593,4120208,4195850
10477430000,30602,172738,354760,639692,1205755,1895558,2463229,3533267,3714,3948199,4077827,4189133
10477440000,107906,269471,500527,912677,1680117,2189940,3076771,3843504,12787,4026490,4154864,4207741
10477450000,105634,243197,448637,820156,1562465,2082983,2824535,3789080,17801,4002269,4135125,4200722
10477460000,105695,266821,498925,906605,1681249,2193474,3078404,3844844,12781,4026737,4156669,4207873
10477470000,80924,227044,453159,812023,1504899,2105213,2928246,3814616,5091,4012623,4142439,4203710
10477480000,77284,181951,350161,693382,1198574,1808081,2301971,3503371,8197,3931929,4095185,4188721
10477490000,62134,149738,337291,703549,1149028,1667372,2541225,3642228,2221,3963064,4127833,4194311
10477500000,64998,158738,326056,641323,1093450,1722478,2224262,3365259,4324,3897010,4071778,4176568
10477510000,64414,220150,436746,800321,1488328,2089383,2863680,3806888,4859,4007247,4139251,4202428
10477520000,49544,198082,399718,708919,1350564,2017320,2671336,3731636,3292,3987279,4120360,4197182
10477530000,85672,202682,383401,697407,1374966,1935483,2574762,3695425,9512,3967989,4112006,4193675
10477540000,42089,188538,387824,686224,1310364,1990992,2621870,3693466,2880,3980176,4115056,4194677
10477560000,60792,160467,319749,602783,1074766,1716433,2213267,3302244,4935,3873977,4060247,4170344
10477570000,95969,234904,434349,800097,1535029,2038326,2883640,3801790,10117,4000886,4135291,4201430
