"MB_CODE16","value"
10016200000,1453915
10016210000,1463025
10016220000,1448658
10016230000,1462893
10016240000,1469771
10016250000,1463471
10016260000,1473303
10016280000,1454873
10016290000,1442554
10016300000,1449886
10016330000,1454693
10016342000,1450914
10016350000,1441090
10016360000,1455217
10016370000,1430157
10016390000,1442277
10016400000,1458494
10016411000,1470921
10016414000,1470944
10016415000,1439782
10016420000,1439632
10016430000,1444818
10016440000,1421380
10016450000,1420175
10016460000,1407465
10016470000,1426529
10016482000,1432135
10016490000,1415323
10016510000,1440167
10016520000,1466062
10016530000,1437839
10016540000,1461969
10016581000,1445634
10016582000,1428529
10016590000,1451886
10016600000,1436499
10016611000,1444189
10016640000,1416373
10016650000,1487922
10016661000,1450429
10016662000,1461560
10016670000,1470541
10016680000,1134025
10016690000,1465364
10016700000,1463741
10016710000,1430201
10016720000,1432655
10016740000,1453374
10016760000,1456650
10016770000,1419375
10016782000,1438874
10016801000,1419115
10016802000,1403213
10016811000,1408995
10016812000,1420639
10016820000,1424437
10016860000,1429549
10016870000,1431813
10016880000,1440501
10016891000,1508758
10016900000,1497364
10016911000,1503572
10016920000,1379280
10016931000,1419026
10016932000,1414185
10016952000,1436668
10016960000,1371237
10016970000,1368489
10016980000,1373644
10016990000,1438064
10017000000,1334488
10017010000,1408823
10017020000,1406017
10017030000,1442585
10017040000,1432140
10017050000,1436143
10017060000,1493604
10017070000,1420330
10017090000,1417650
10017100000,1478995
10017110000,1411496
10017120000,1372340
10017130000,1430966
10017140000,1571045
10017150000,1557013
10017160000,1574685
10017171000,1571903
10017172000,1583101
10017173000,1575634
10017174000,1586733
10017175000,1600410
10017176000,1595362
10017177000,1569931
10017180000,1126214
10017190000,1447584
10017200000,1507306
10017213000,1514263
10017220000,1559972
10017230000,1517838
10017240000,1527725
10017250000,1528199
10017262000,1444580
10017271000,1519109
10017272000,1535539
10017281000,1548156
10017282000,1572099
10017291000,1383776
10017292000,1315541
10017300000,817644
10017310000,1014342
10017330000,1005180
10017340000,1036794
10017370000,1518318
10017380000,972014
10017390000,1028783
10017400000,1194325
10017412000,1535183
10017420000,1262226
10017430000,1170041
10017440000,1289606
10017450000,1431787
10017460000,946401
10017470000,875474
10017480000,823172
10017490000,776013
10017502000,1493891
10017510000,1007044
10017520000,1173673
10017530000,1008633
10017550000,1094463
10017560000,1159136
10017570000,848807
10017580000,952348
10017600000,961081
10017611100,1444265
10017611200,1474684
10017611300,1508818
10017611400,1492382
10017611700,1484839
10017611800,1478471
10017612200,1469653
10017620000,851821
10017630000,658759
10017651000,1463083
10017652000,1569171
10017653000,1570736
10017654000,1586580
10017655000,1518074
10017656000,1563443
10017658000,1567523
10017660000,776135
10017670000,832585
10017680000,1016784
10017690000,792034
10017700000,851440
10017711000,986105
10017712000,1398267
10017713000,1346929
10017720000,1200466
10017730000,1366394
10017740000,1352489
10017750000,1392615
10017760000,1369994
10017770000,1339695
10017780000,1367060
10017790000,869717
10017801000,1524361
10017802000,1418862
10017811000,1404429
10017812000,1539608
10017813000,0
10017830000,1068404
10017841100,1150478
10017841200,1127108
10017842100,1236887
10017842200,1142710
10017843100,1233731
10017843200,1167617
10017845000,1095427
10017846000,1171756
10017848000,979631
10017850000,1307690
10017861000,1545462
10017862000,1598432
10017870000,945830
10017891000,1390276
10017892000,1441440
10017893000,1508366
10017894000,1531563
10017895000,1504135
10017900000,1064345
10017920000,1375190
10017930000,1542760
10017940000,853326
10017960000,1541455
10017971000,1388717
10017972000,1417831
10017980000,1544440
10017990000,1493794
10018011000,1363247
10018013000,1385039
10018014000,1334511
10018015000,1378553
10018020000,1168402
10018031000,1515130
10018032000,1510068
10018033000,1520987
10018041000,1582230
10018042000,1452458
10018043000,1528556
10018051000,1499212
10018052000,1506673
10018053000,1538295
10018072000,1332071
10018080000,828097
10018100000,1483855
10018110000,1511865
10018120000,1079903
10018131000,1441354
10018132000,1428871
10018140000,1516907
10018150000,1510264
10018160000,1459362
10018170000,1445220
10018180000,1470096
10018190000,1383616
10018201000,1315594
10018202000,1362678
10018220000,1006010
10018230000,1181266
10018240000,1590302
10018251000,1557756
10018252000,1443704
10018253000,1479585
