"MB_ID","JobsT10","JobsT15","JobsT20","JobsT25","JobsT30","JobsT35","JobsT40","JobsT45","JobsT5_","JobsT50","JobsT55","JobsT60"
10476580000,707,2296,8090,21961,56470,121414,164288,235216,24,404297,573604,751621
10476590000,1371,7087,12969,24615,57109,115593,163075,226592,153,315266,478953,613133
10476600000,590,3700,10427,27325,49134,94825,137877,182316,32,254916,358095,551131
10476610000,422,3038,9018,26954,49323,83743,127791,163341,51,232182,340214,525959
10476620000,1704,5303,12914,44496,65180,99198,152623,217435,29,318755,478462,721009
10476630000,1308,5877,11673,21164,43230,107498,158710,209892,66,300662,426022,607899
10476640000,245,471,2303,8159,52859,65833,94388,131211,27,184887,251659,340788
10476650000,265,648,6672,49452,74922,104935,147123,225953,50,342799,517843,692564
10476660000,138,3161,10344,49502,67195,95075,145020,215587,39,311360,439912,819691
10476670000,365,2509,5429,45619,62953,81610,121890,192080,61,277497,384687,636472
10476680000,692,2707,11667,28968,63139,81768,106949,159391,56,234386,344936,484950
10476690000,1001,4347,10226,35706,64607,82061,130660,187030,185,271047,382959,597188
10476700000,654,2887,10631,33754,65924,88068,134883,204900,29,312857,405094,729662
10476710000,719,3423,6373,23055,61811,73637,96226,137101,24,191973,274429,391004
10476720000,951,2776,10736,48352,70604,90189,121071,170668,32,282864,449633,639072
10476730000,793,3241,7448,27504,58231,67372,89345,127855,85,181705,260160,421654
10476740000,507,1722,6156,31187,59834,80444,124146,166757,92,233318,340754,505891
10476750000,2329,9169,51990,63543,84985,137942,195162,284880,45,414356,960998,1640536
10476760000,519,1958,7049,43682,60912,77897,123305,181061,220,245965,326241,597780
10476770000,538,2417,8495,50880,63001,85520,130590,188463,61,268523,391353,625530
10476780000,1571,6324,15827,43636,70529,99477,138337,186377,21,255169,353433,494430
10476790000,496,1981,5764,30446,60594,82593,112586,147238,59,224821,358846,543164
10476820000,555,2447,6881,23304,56474,79016,117582,155554,34,215331,307334,424506
10476830000,707,3265,6672,24039,58927,78910,114637,164024,36,225005,316023,442892
10476840000,1993,5854,19629,57659,75156,103861,137761,182976,34,262822,364579,483672
10476850000,367,890,2732,8564,37926,83528,121631,167670,52,241199,326587,455050
10476860000,463,3074,6744,27674,59787,80011,116723,158931,13,219250,309824,425587
10476870000,605,1651,5321,38443,56483,65975,87488,124360,35,183342,274849,430181
10476880000,343,808,1728,6662,39267,57577,76900,108739,122,166116,228853,308294
10476890000,494,1588,4279,12103,38771,69946,97610,135090,115,194371,268059,356377
10476900000,629,2236,9578,45601,58785,69918,106890,156526,16,206269,310379,462938
10476910000,635,2260,4807,20534,56126,68238,89899,120936,116,171258,252822,403042
10476920000,527,3443,36611,60234,91130,127826,190639,270498,23,410987,581769,1147363
10476930000,462,1545,4562,25574,57433,67265,98384,149514,29,201847,291821,453403
10476940000,363,991,3675,36395,56339,64574,90405,136194,116,193544,277288,442286
10476950000,515,1250,12165,40316,56669,65292,85063,124238,102,175534,252514,393934
10476960000,178,493,1431,4203,47014,58604,88407,129504,52,206789,292970,398268
10476970000,350,1110,12760,46963,61326,75820,106151,164319,20,230696,313751,580724
10476980000,345,1137,10555,44823,64310,97644,151345,224823,24,365713,529573,811994
10476990000,742,1747,9604,44119,59808,77947,112142,171998,174,233963,318143,559041
10477000000,418,1961,10626,49048,62706,76744,118133,178801,75,250753,334507,595226
10477010000,1103,3595,14723,51772,79508,112013,183730,316568,16,473519,690276,1305595
10477020000,324,2049,9251,49766,68748,91932,120268,168993,30,241137,342353,600784
10477030000,393,2231,9718,50156,67224,90421,123296,181735,59,250642,360570,619225
10477040000,497,1905,10706,49848,64136,81722,116624,181206,30,248676,341106,619828
10477050000,429,6954,33439,45236,56008,78241,119863,193327,177,325570,494235,877028
10477060000,616,2649,29533,42803,58481,84005,131867,202263,64,338699,527536,927315
10477070000,415,2367,10322,33298,62926,89616,141318,220328,56,352530,515020,831831
10477080000,613,845,2876,35554,52578,72586,107687,168615,36,281029,425441,631887
10477090000,211,1274,10824,46742,59924,75055,108735,162666,0,230260,318795,568702
10477100000,1675,4230,14270,42580,60709,91330,134802,211860,75,367025,555431,966880
10477110000,11533,25344,48188,70242,105564,155993,260656,423294,540,625830,1024404,1746067
10477120000,10084,24904,51227,67636,99833,153684,217465,313682,348,523482,1181817,1576890
10477130000,18002,51714,73337,106613,153713,226034,328526,537327,49,1091310,1700308,2227042
10477140000,26752,39474,54673,78835,113058,171087,276633,443586,377,642062,1238139,1824790
10477150000,23390,43776,62016,91964,142470,215656,306113,515541,230,964897,1614799,2149749
10477160000,2379,5751,37474,48678,71239,90761,142582,215483,61,356887,569186,1182917
10477180000,2307,10502,35957,58790,80271,120595,191193,283510,29,468073,957133,1530414
10477190000,2725,15220,30507,58749,78064,106019,159717,263183,2155,445065,671045,1201055
10477200000,2953,3602,13549,24978,55452,72033,117485,191565,29,320330,620453,1221805
10477210000,1025,6770,29702,46567,63515,89350,141266,223593,25,378227,857036,1413061
10477220000,1419,20597,38973,62398,99579,168242,254260,442053,4,655498,1267436,1865894
10477230000,1439,7352,38768,63592,108450,178176,282813,465544,48,757634,1404837,1977003
10477240000,1321,25816,42179,72568,123137,198531,308926,509696,82,898945,1610137,2143956
10477250000,1302,4646,22868,50614,62461,98428,147041,227868,513,377875,771064,1421889
10477260000,287,686,1132,1943,4010,7351,14709,50172,98,65495,89363,145720
10477270000,12,333,1009,2134,3922,7493,15429,53389,4,72747,128452,199679
10477290000,322,1478,3749,22645,65044,107407,152810,222832,111,423538,1030750,1567050
10477300000,560,4089,11583,51600,82460,123968,174058,267664,96,766303,1362533,1758192
10477310000,715,2048,6508,9463,45554,87818,118639,190351,10,669652,1252583,1619692
10477320000,585,2332,6324,45502,71099,119167,167665,263870,180,758590,1356227,1770672
10477330000,477,2028,26845,47166,72649,120134,175272,272193,36,461725,1103281,1680881
10477340000,467,1439,3596,4420,7228,11374,23224,62837,153,94046,162083,264288
10477350000,374,1616,3614,4940,7168,13095,21201,55517,35,83632,128322,199946
10477360000,575,1291,2670,4628,6667,15187,31540,91486,25,170566,284336,512216
10477370000,559,1154,2378,4297,7066,15134,29310,87320,0,167774,280644,506654
10477390000,505,1564,2788,4835,9930,13904,23712,57257,213,74424,107812,164171
10477400000,765,1835,6467,17102,75906,114837,168614,268816,91,658125,1325118,1872234
10477410000,421,1337,4230,11875,44430,86620,136601,197382,146,311105,878575,1497911
10477420000,623,2360,11442,52509,88200,137260,216797,379726,328,990314,1604750,2097137
10477430000,362,1004,2034,3789,6460,15609,36105,94792,204,168294,285585,510677
10477440000,261,1239,3546,6035,15794,45460,83912,125733,14,190527,321836,939206
10477450000,703,2622,12190,50684,75802,124120,175924,282779,106,802770,1393587,1812603
10477460000,268,1081,3393,5501,11947,20878,70800,118321,20,179237,279112,643573
10477470000,927,1802,3163,4503,6958,13247,15078,28317,89,77769,125721,192093
10477480000,105,831,2608,13256,51314,84689,117112,176154,14,273652,783141,1417463
10477490000,286,938,3314,35986,51855,67189,91285,118875,18,171348,246421,379571
10477500000,159,839,2533,11762,32147,79508,124621,186677,15,283478,758729,1402370
10477510000,1000,2242,3204,4481,5848,9706,15858,42387,277,83563,152201,231616
10477520000,1000,2337,3248,4198,5566,8704,14324,21094,188,74975,122901,189513
10477530000,1309,3527,11425,30164,77691,103020,152116,241482,26,614761,1247782,1701799
10477540000,1623,2390,3039,4026,5641,8940,14595,19119,89,75856,123058,188800
10477560000,358,1101,3303,15062,50657,82655,123245,187807,48,286087,803313,1427834
10477570000,282,1225,3768,12654,52812,87340,129075,189007,58,476205,1031553,1471707
10477580000,778,1864,4675,17966,49078,85376,124880,187474,32,286317,801421,1432489
10477590000,1359,1632,2234,2905,4339,6858,9080,18716,335,72620,115780,174351
10477600000,347,1259,4010,13682,49834,82039,121656,179066,37,271096,754869,1376294
10477610000,1329,3932,5745,17211,50811,83165,123085,185112,52,282439,752498,1363410
10477620000,326,2401,4852,9742,42214,74516,113915,167945,27,252062,476926,1126141
10477630000,645,2488,7642,23616,68410,105317,154122,240223,41,768187,1327208,1708345
10477640000,162,1818,4763,35908,51643,67546,90396,116998,0,173989,248258,374221
10477650000,1005,5264,13125,54395,84868,124090,188321,300726,25,790440,1399996,1844008
10477660000,729,1451,3577,6550,9086,18049,70283,110151,21,158726,241873,552141
10477670000,158,787,813,2078,2914,3290,4712,7648,0,14396,30203,81307
10477680000,760,2759,9084,19994,52943,114471,148369,216280,75,329107,509280,655399
10477690000,860,3111,11480,28477,74909,131772,178470,259454,21,436914,565940,747779
10477700000,647,3194,10121,28159,84171,127571,169442,243212,29,383001,580366,750476
10477710000,1067,4131,11330,30974,88099,130216,166598,243822,0,390593,593942,750443
10477720000,1299,3510,9112,18672,46522,107792,145519,206538,66,294822,452391,613149
10477730000,1551,5561,11275,22434,72687,122173,161499,224167,58,322756,482326,619920
10477740000,1670,8259,18225,43665,71197,100750,134885,189600,122,249875,347308,478529
10477750000,915,6343,11576,31325,67426,97148,141257,193124,28,264588,368759,505805
10477760000,426,2521,9383,21914,48086,102934,152004,225096,41,358236,532092,703351
10477780000,420,1852,6589,14526,31602,97447,142208,182388,35,295336,454333,602238
10477800000,393,1624,5145,20314,56924,85407,124748,159531,109,215499,320809,494881
10477810000,466,2100,5783,21898,58106,80954,112879,148371,77,211743,303649,459223
10477820000,713,2013,7644,20823,50477,118172,157621,227748,53,365070,549588,718793
10477830000,945,2342,8643,20163,47696,116263,152718,225112,29,358540,539862,682475
10477840000,590,2267,6715,14566,40754,90498,132164,164620,29,222294,371770,562398
10477850000,576,1574,4596,14031,28939,83606,128950,163840,56,221881,400297,560761
10477860000,801,1091,3878,7151,10649,35212,86983,134132,27,201930,313312,820995
10477870000,761,1010,3361,6756,9235,44176,90141,134003,74,202064,317589,840896
10477880000,70,336,2030,2359,4499,6152,8558,16085,69,61805,101040,159158
10477890000,943,3145,14078,44931,73394,108949,166616,257744,139,470457,1027249,1607710
10477920000,184,466,4026,26813,55252,78491,138057,278523,14,429899,591452,808272
10477940000,2113,20090,39031,58225,80395,124906,201778,373150,15,535812,724703,962959
10477950000,3231,29320,41773,58618,79695,121534,195123,362853,280,515940,720655,1261686
10477960000,16634,26200,41391,58384,86403,127133,211191,374345,43,567235,743848,1096552
10477970000,3469,25337,39525,58241,83805,128815,210824,387675,24,544812,755510,1249378
10477980000,2723,21762,37893,58846,85784,133325,209452,374755,9,566502,735232,1039060
10477990000,7556,31784,45514,62203,87228,124452,194355,322734,75,464458,706119,1347396
10478010000,3803,29452,42544,60093,83412,131583,203161,373244,570,536101,712139,1259259
10478020000,2126,4160,35612,56277,83281,126459,191934,372226,3,539301,736383,981184
10478030000,3200,28591,43285,62579,82920,128049,209223,383980,649,537294,758421,1289612
10478060000,5667,26294,41923,57459,88549,136720,201604,296699,101,478407,1078092,1670086
10478070000,730,26423,29363,56162,84276,119764,180126,272627,7,421595,932436,1549729
10478100000,8718,32853,48368,65784,95477,143034,228583,385998,827,561857,840253,1525590
10478110000,7711,31048,46714,59699,87205,124668,190344,331596,51,474369,696968,1365122
10478120000,3724,30228,45756,60413,82671,127426,206253,366760,194,516274,738608,1355697
10478130000,3652,29507,42437,59659,80086,118400,194031,368207,56,517653,727250,1270821
10478140000,9290,25432,53319,71473,101204,161073,234079,330134,32,542433,1204291,1604317
10478150000,9059,22585,48718,61912,89867,133125,187647,279268,44,450802,991246,1237963
10478160000,9120,22780,48488,62908,90741,135626,193069,291231,371,457680,1010578,1273283
10478170000,13100,28911,54519,75072,112110,153071,225115,369628,60,571658,872371,1565502
10478190000,16711,28749,54452,75948,112896,154922,232765,381011,11,578605,867202,1594239
10478200000,17423,42941,55566,79893,127246,185239,264279,420000,796,1025224,1300139,1824629
10478210000,9310,24478,53030,70093,95775,149679,211279,305402,374,474754,1080267,1385273
10478220000,6703,18858,31327,66920,95975,135234,210221,344612,0,491796,699819,1371468
10478230000,6969,20869,31374,62368,97330,134894,206333,341987,452,480446,702212,1379462
10478240000,5276,14367,31150,63040,92263,134070,206775,305816,5,468916,682044,1291469
10478250000,1225,10800,27567,51565,75117,118275,173022,250702,8,421660,623049,997682
10478260000,1909,12318,28247,53421,81335,126304,183658,278695,9,449611,689539,1123497
10478270000,18102,23157,51346,89612,140446,209998,299785,645365,3,1341329,1804223,2218586
10478280000,1558,13023,25887,48921,72174,109894,163032,244397,6,406196,607613,990970
10478290000,3043,26316,41177,58763,82194,127097,199641,373451,11,547376,744215,1215762
10478300000,2868,26440,39867,57138,84479,127660,210386,381807,353,564740,743457,1133659
10478310000,6947,19265,32227,63574,94961,137618,214324,347861,85,509666,706563,1387754
10478320000,6830,20964,31871,62468,94349,132657,201488,338437,201,494768,693311,1377377
10478330000,6695,17340,30538,57465,87835,127786,204233,330268,26,476359,677385,1312863
10478340000,6861,23107,32325,61454,93812,137609,213392,353290,1210,528804,755504,1399903
10478350000,6854,21018,32173,62922,95296,136917,204650,348987,1261,514560,720768,1387257
10478360000,3350,14207,38668,61419,88157,146044,236431,407175,31,574492,1100102,1703283
10478380000,8156,34151,54023,80488,122236,190123,292948,472186,2260,800307,1466601,2043507
10478400000,665,2007,8746,20675,51449,75843,114960,175247,1,313081,474309,720065
10478410000,1410,4120,14213,40093,66272,93509,150060,238742,355,388131,590487,1154394
10478420000,797,3888,12062,37884,58729,84765,131270,217495,262,373292,579602,1078855
10478430000,3801,8683,19689,50384,77045,119099,192464,358859,173,523190,807031,1472722
10478440000,3362,11226,33333,54797,79070,129771,213459,381076,342,544185,852197,1554807
10478450000,7556,20232,52886,78432,119120,183203,297208,466407,936,769077,1416467,2003922
10478460000,628,14275,39973,64827,100255,159314,253778,429604,69,609422,1223570,1813415
10478480000,4777,14188,40920,63060,97199,151868,246965,417732,130,591662,1134533,1737344
10478490000,4879,11895,27065,55325,79469,119916,191521,353346,255,519492,794081,1458520
10478500000,4822,14208,40350,59910,88759,142156,230955,400754,9,563802,1037744,1660703
10478510000,2078,11462,33538,50410,70369,108525,177560,308954,405,468104,661760,1311546
10478520000,6702,15316,41639,61683,90934,147591,243284,408174,147,579518,1112131,1676613
10478540000,6342,15232,40728,61139,90467,144516,226413,403847,126,567524,1051468,1653016
10478550000,6315,15665,41426,62174,90429,144533,231893,402580,464,571816,1063699,1656188
10478560000,776,2050,3725,47177,60035,78564,120070,177361,202,241024,335316,672091
10478610000,779,2183,7364,41834,63601,86372,130177,187420,290,256854,353897,612645
10478620000,743,4981,12789,34806,73337,99428,146300,219864,55,298585,439384,711244
10478630000,2669,8219,19971,60356,85797,119621,177409,252196,88,374465,611841,1109055
10478660000,308,1152,4691,13928,41418,80472,110922,158653,29,224874,310367,459357
10478670000,297,970,2877,8002,15719,29917,61368,125998,29,164451,225455,356859
10478680000,400,1633,6616,24038,64248,96757,123829,172067,29,268419,424979,583566
10478690000,524,1820,6031,29108,64631,95926,122195,173699,61,262598,468575,607920
10478700000,654,2163,7900,31070,75399,109058,146952,205960,27,322504,497701,653582
10478710000,595,1793,7026,24608,77159,99956,138177,197276,34,306115,487685,636824
10478720000,724,2348,5512,20965,57803,74428,103976,147063,32,204318,291858,429746
10478730000,629,2691,6640,22577,58445,76930,114084,148372,109,208208,300011,470662
10478740000,678,2715,8327,23744,61421,78331,117991,154184,21,211080,308928,474111
10478750000,670,3208,6154,15061,52724,68835,91037,133661,104,185915,264666,384348
10478760000,808,2190,5782,23630,60312,74307,100590,131838,114,185484,268163,381392
10478770000,803,2970,8266,44014,69621,86158,114276,158562,50,246593,373321,573701
10478780000,931,3365,20190,52334,65539,92506,124781,176436,37,264310,406411,656316
10478790000,437,2403,18691,51101,62840,81480,115750,165621,36,237232,341231,627777
10478800000,373,1315,3130,16674,46228,61065,78386,107473,122,141821,209496,351623
10478810000,808,1887,4740,16033,48617,62154,82108,112534,55,148183,222113,349176
