"MB_ID","JobsA10","JobsA15","JobsA20","JobsA25","JobsA30","JobsA35","JobsA40","JobsA45","JobsA5_","JobsA50","JobsA55","JobsA60"
10476580000,45079,198035,401480,802522,1220139,1856866,2284290,2751481,7722,3778760,4074178,4161923
10476590000,82625,241192,561977,955069,1518835,2057883,2456748,3197519,9427,3997256,4103057,4191295
10476600000,47380,181064,357244,751960,1173565,1812973,2235528,2700653,6603,3649530,4064302,4144821
10476610000,49020,182303,358957,760398,1181356,1826886,2259185,2711637,6353,3658331,4066326,4150496
10476620000,70261,211227,469025,866861,1338395,1953819,2347917,2881908,8203,3869350,4084357,4177003
10476630000,84808,243398,560843,951504,1508367,2046056,2447894,3166463,10318,3992904,4102018,4190750
10476640000,69221,233642,478581,880695,1330929,2104227,2473585,3419809,4694,3994348,4104817,4192746
10476650000,89618,243579,551132,944108,1478597,2043856,2434484,3150051,12393,3998814,4098731,4189347
10476660000,110816,243171,562430,965316,1484945,2108737,2463402,3288607,16481,4012166,4102328,4190679
10476670000,95688,274536,578887,954344,1465422,2182522,2526527,3517024,7844,4023496,4114341,4200214
10476680000,81032,181456,370011,779792,1309149,1877709,2279511,2832935,7221,3852273,4073133,4173161
10476690000,69526,196610,384800,799065,1227662,1924330,2332063,2896174,8405,3868705,4079089,4165052
10476700000,108321,289366,553042,951566,1441349,2188698,2555198,3573480,8338,4023414,4122118,4202243
10476710000,59403,173588,355238,743382,1210550,1819676,2260597,2741520,6456,3744918,4063565,4153464
10476720000,81364,186302,387010,793727,1339559,1901148,2305655,2913843,7653,3877411,4076896,4175910
10476730000,81955,178113,367376,751543,1236378,1869413,2290492,2809848,5960,3781698,4067590,4161464
10476740000,81996,185846,374001,766474,1254541,1889244,2301862,2848624,6699,3810146,4073849,4162654
10476750000,110987,243483,525149,946135,1459431,2126174,2489697,3385614,18387,4011181,4108609,4193667
10476760000,72079,227860,451602,867505,1265646,2060461,2457934,3357063,5300,3967058,4101453,4189578
10476770000,92957,203697,411433,816986,1328644,1968417,2355102,2965666,8423,3912128,4083780,4172687
10476780000,81850,219081,417425,863072,1279720,2063568,2451505,3348049,11377,3974519,4100997,4188905
10476790000,85934,194340,403972,821405,1395644,1962735,2345429,3043043,8301,3937942,4084478,4183627
10476820000,78229,224798,431546,855668,1292498,2078544,2478528,3491616,9183,3965161,4107297,4191928
10476830000,79323,225438,418505,835633,1303819,2073132,2503021,3526298,9526,3975982,4110072,4193050
10476840000,97570,219827,412993,838775,1315416,2091642,2470361,3470079,12681,3963371,4105482,4191589
10476850000,85865,247754,463174,893929,1357029,2137004,2549943,3570000,8844,3996022,4119061,4197633
10476860000,90393,211734,405830,828360,1278547,2067572,2459873,3441017,9161,3951912,4102755,4189620
10476870000,77620,167682,376171,740470,1272936,1900640,2310457,2926049,3443,3839392,4073034,4169922
10476880000,82477,253171,468580,888671,1329529,2114655,2499853,3509772,5560,3983770,4109847,4194887
10476890000,96535,229232,442613,842120,1424700,2089030,2544172,3598340,12209,3983278,4115483,4196291
10476900000,103925,217580,431210,853752,1433262,2025475,2398094,3279631,10612,3955195,4096590,4186279
10476910000,94546,193911,419864,815221,1437584,2014331,2397231,3230506,6137,3967647,4090104,4187390
10476920000,101961,241939,465862,887366,1492840,2166058,2571346,3602768,15412,4000456,4121301,4199324
10476930000,85835,183090,390471,769391,1291403,1901272,2316386,2992855,4581,3857877,4075460,4173469
