"MB_ID","JobsA10","JobsA15","JobsA20","JobsA25","JobsA30","JobsA35","JobsA40","JobsA45","JobsA5_","JobsA50","JobsA55","JobsA60"
10476580000,45079,196574,407253,801205,1218822,1855549,2282973,2750164,7722,3777443,4072861,4160606
10476590000,81424,239979,560660,953752,1517518,2056566,2455431,3196202,9427,3995939,4101740,4189978
10476600000,47380,177410,360391,750643,1172248,1811656,2234211,2699336,6603,3648213,4062985,4143504
10476610000,49020,178967,363173,759081,1180039,1825569,2257868,2710320,6353,3657014,4065009,4149179
10476620000,70261,210189,472375,865544,1337078,1952502,2346600,2880591,8203,3868033,4083040,4175686
10476630000,83608,242174,559526,950187,1507050,2044739,2446577,3165146,10318,3991587,4100701,4189433
10476640000,69221,229432,480558,879902,1329612,2102910,2472268,3418492,4694,3993031,4103500,4191429
10476650000,89093,242329,550287,942791,1477280,2042539,2433167,3148734,12393,3997497,4097414,4188030
10476660000,110549,241950,562566,963999,1483628,2107420,2462085,3287290,16481,4010849,4101011,4189362
10476670000,95688,273812,582057,953027,1464105,2181205,2525210,3515707,7844,4022179,4113024,4198897
10476680000,81032,179211,368774,778475,1307832,1876392,2278194,2831618,7221,3850956,4071816,4171844
10476690000,69526,193342,388773,797748,1226345,1923013,2330746,2894857,8405,3867388,4077772,4163735
10476700000,108321,287817,557320,950249,1440032,2187381,2553881,3572163,8338,4022097,4120801,4200926
10476710000,59403,170637,354008,742065,1209233,1818359,2259280,2740203,6456,3743601,4062248,4152147
10476720000,81364,184057,385775,792410,1338242,1899831,2304338,2912526,7653,3876094,4075579,4174593
10476730000,81955,174470,366155,750226,1235061,1868096,2289175,2808531,5960,3780381,4066273,4160147
10476740000,81996,181966,372977,765157,1253224,1887927,2300545,2847307,6699,3808829,4072532,4161337
10476750000,110987,242556,529482,944818,1458114,2124857,2488380,3384297,18387,4009864,4107292,4192350
10476760000,72079,223731,450512,866188,1264329,2059144,2456617,3355746,5300,3965741,4100136,4188261
10476770000,92957,199787,414824,815669,1327327,1967100,2353785,2964349,8423,3910811,4082463,4171370
10476780000,81850,214888,418997,861755,1278403,2062251,2450188,3346732,11377,3973202,4099680,4187588
10476790000,85934,192087,402861,820088,1394327,1961418,2344112,3041726,8301,3936625,4083161,4182310
10476820000,78229,221663,430314,854351,1291181,2077227,2477211,3490299,9183,3963844,4105980,4190611
10476830000,79323,223591,417346,834316,1302502,2071815,2501704,3524981,9526,3974665,4108755,4191733
10476840000,97570,216058,411969,837458,1314099,2090325,2469044,3468762,12681,3962054,4104165,4190272
10476850000,85865,243813,462844,892612,1355712,2135687,2548626,3568683,8844,3994705,4117744,4196316
10476860000,90393,209174,404629,827043,1277230,2066255,2458556,3439700,9161,3950595,4101438,4188303
10476870000,77620,167395,374629,739415,1271619,1899323,2309140,2924732,3443,3838075,4071717,4168605
10476880000,82477,249175,467610,887354,1328212,2113338,2498536,3508455,5560,3982453,4108530,4193570
10476890000,96535,228384,441358,840803,1423383,2087713,2542855,3597023,12209,3981961,4114166,4194974
10476900000,103925,213488,430896,852435,1431945,2024158,2396777,3278314,10612,3953878,4095273,4184962
10476910000,94546,193624,418418,814169,1436267,2013014,2395914,3229189,6137,3966330,4088787,4186073
10476920000,101961,237589,466417,886049,1491523,2164741,2570029,3601451,15412,3999139,4119984,4198007
10476930000,85835,180248,389244,768074,1290086,1899955,2315069,2991538,4581,3856560,4074143,4172152
10476940000,79740,175841,376634,746617,1266253,1881262,2299082,2905426,3742,3829493,4069909,4165963
10476950000,109465,213752,478360,918657,1535178,2091732,2453535,3424496,17544,3997268,4102651,4193824
10476960000,54779,190938,396864,756651,1181969,1938565,2416732,3336607,2299,3923334,4086897,4176010
10476970000,119770,265253,534539,938942,1637581,2220961,2983478,3840733,21491,4027148,4154125,4207224
10476980000,96988,232805,446642,856536,1363734,2098424,2552229,3614263,4405,3985048,4119899,4195744
10476990000,102298,232342,456591,853329,1491205,2116044,2680931,3731213,10659,4001775,4133054,4198095
10477000000,112512,254680,517417,920484,1604099,2203604,2947716,3829920,16109,4022302,4150107,4205056
10477010000,113985,257525,498005,912532,1461483,2174534,2705039,3754586,9889,4016493,4139632,4202145
10477020000,124229,274002,548181,967670,1686038,2257930,3078514,3854228,20241,4033633,4160184,4208688
10477030000,107534,249682,500289,906917,1586170,2189767,2889893,3823260,14912,4019105,4146861,4203690
10477040000,123402,265845,537969,944484,1638677,2227745,2982475,3841799,19412,4028142,4154491,4207386
10477050000,85068,180551,381005,783651,1407369,1933282,2486894,3605187,7710,4011479,4128941,4199256
10477060000,94077,197918,410277,885394,1473868,1999955,2558215,3675020,11906,4029049,4141494,4201832
10477070000,116432,259505,530669,949534,1638060,2237762,2966323,3842269,14981,4030257,4153803,4206860
10477080000,99146,218551,429366,945622,1531270,2041705,2797596,3776257,16581,4044305,4158151,4207615
10477090000,144107,306255,604300,1032049,1775961,2322391,3110823,3881835,22090,4057610,4164408,4212522
10477100000,124236,260769,528159,931342,1671326,2202181,2909752,3829750,52591,4026633,4149713,4203973
10477110000,128794,267568,520465,930777,1643629,2154528,2787733,3797921,55835,4033876,4145603,4202317
10477120000,114433,248767,479488,965153,1569081,2104848,2628490,3712662,47814,4040981,4148561,4203582
10477130000,104039,226970,455455,789157,1474951,2048884,2580743,3669594,49644,3993133,4125008,4195812
10477140000,104059,244283,457584,857644,1487303,2027671,2528084,3550403,51453,4002094,4116512,4196155
10477150000,101742,235531,462482,823832,1492762,2049233,2568161,3641409,49644,3992820,4123674,4195520
10477160000,150641,305079,586687,1059160,1805177,2354591,3312782,3895276,35994,4055621,4171014,4212569
10477180000,147257,298933,577181,1038117,1789658,2326069,3223700,3886149,49169,4050493,4167555,4210958
10477190000,143256,296300,572543,1034893,1779983,2315534,3209978,3882143,50705,4047737,4166913,4210801
10477200000,130841,280356,551500,976304,1718566,2278208,3141013,3865999,30968,4040527,4163092,4209346
10477210000,131066,280035,548799,977038,1719981,2279188,3167146,3867035,30842,4040594,4163418,4209336
10477220000,99821,203221,412060,827262,1407303,1921110,2584259,3675672,37763,4010213,4139038,4199451
10477230000,102457,217524,439017,860670,1432571,1945618,2691232,3731840,40255,4020035,4145961,4202620
10477240000,100952,205228,422703,838541,1416696,1930062,2637596,3706929,38371,4014495,4143483,4201275
10477250000,119180,275146,509693,968603,1706922,2255661,3305458,3874161,16776,4040456,4164698,4209732
10477260000,42928,189121,377995,683223,1297553,1987235,2626869,3696434,2747,3979680,4113582,4193432
10477270000,25619,157404,318730,601605,1125027,1820256,2392420,3429333,2266,3929816,4066168,4182864
10477290000,88775,208686,387165,714087,1337108,1965468,2468328,3477928,10824,3950565,4088277,4186716
10477300000,107559,241947,452179,871246,1551491,2076726,2727918,3765189,18693,3996827,4128733,4197509
10477310000,96269,238697,468775,868980,1581008,2121617,3031572,3824470,9617,4013832,4145880,4204056
10477320000,102215,234788,436303,821205,1516478,2060443,2693687,3739103,17504,3991813,4125215,4196337
10477330000,94195,221169,410954,750003,1457121,2013468,2593850,3656074,14258,3976466,4109519,4192737
10477340000,64399,216900,434415,829529,1478178,2085119,2862382,3805650,5545,4005883,4138084,4201054
10477350000,98504,250661,482412,914437,1594788,2180279,3070837,3840818,8475,4022160,4152854,4206018
10477360000,32780,176914,356625,650712,1241447,1912633,2495777,3578397,3446,3954363,4085741,4189253
10477370000,39021,186674,374064,686248,1288762,1969241,2588300,3652701,4021,3970792,4106205,4192077
10477390000,108427,269323,504714,951817,1659404,2227514,3149579,3857043,14171,4033803,4159620,4207724
10477400000,92010,223124,418004,755184,1494161,2033684,2705422,3748655,8732,3984727,4119600,4195268
10477410000,86031,221504,417221,753522,1496146,2038953,2725125,3753368,8282,3985478,4120520,4195548
10477420000,98054,227999,427759,791073,1500813,2034945,2647517,3709916,15517,3986198,4118813,4194455
10477430000,30602,172738,346808,642624,1214008,1894163,2461834,3531872,3714,3946804,4076432,4187738
10477440000,107906,268737,500704,951344,1678722,2188545,3075376,3842109,12787,4025095,4153469,4206346
10477450000,105634,243197,446352,843875,1563658,2081588,2823140,3787685,17801,4000874,4133730,4199327
10477460000,105695,266087,499111,945010,1679854,2192079,3077009,3843449,12781,4025342,4155274,4206478
10477470000,80924,227044,453691,848124,1503574,2103818,2926851,3813221,5091,4011228,4141044,4202315
10477480000,77284,181951,350161,693491,1231307,1806972,2300576,3501976,8197,3930534,4093790,4187326
10477490000,62134,149738,337291,692717,1150277,1671838,2539830,3640833,2221,3961669,4126438,4192916
10477500000,64998,158738,326056,640622,1123363,1722107,2222867,3363864,4324,3895615,4070383,4175173
10477510000,64414,220150,437167,834954,1487205,2087988,2862285,3805493,4859,4005852,4137856,4201033
10477520000,49544,198082,397093,731055,1352215,2015925,2669941,3730241,3292,3985884,4118965,4195787
10477530000,85672,202682,373644,696466,1400126,1934088,2573367,3694030,9512,3966594,4110611,4192280
10477540000,42089,188538,383499,703358,1313669,1989597,2620475,3692071,2880,3978781,4113661,4193282
10477560000,60792,160467,319749,598335,1090210,1719746,2211872,3300849,4935,3872582,4058852,4168949
10477570000,95969,234904,425002,801737,1545470,2036931,2882245,3800395,10117,3999491,4133896,4200035
10477580000,76165,184808,352816,679511,1217113,1811840,2297521,3455359,8278,3925967,4082960,4183052
10477590000,36759,177361,363805,668346,1267306,1931810,2526795,3607037,2673,3963466,4090366,4190467
