"MB_CODE16","value"
10011670000,26542
10011680000,31365
10011690000,29083
10011700000,25349
10011710000,33132
10011720000,26450
10011730000,35800
10011740000,28759
10011750000,31980
10011760000,28056
10011770000,25562
10011780000,21512
10011790000,32569
10011800000,32810
10011820000,21047
10011830000,33391
10011840000,33352
10011860000,21762
10011870000,27035
10011880000,21373
10011890000,21445
10011900000,20124
10011910000,23521
10011920000,32871
10011930000,24146
10011940000,21816
10011950000,22220
10011960000,24637
10011970000,25210
10011980000,24186
10011990000,26383
10012000000,24988
10012010000,26460
10012020000,28812
10012030000,25003
10012040000,25732
10012050000,24680
10012060000,29244
10012070000,24037
10012080000,30971
10012090000,19967
10012100000,19103
10012110000,18805
10012120000,22727
10012130000,26605
10012140000,21301
10012150000,26346
10012160000,28701
10012170000,33200
10012180000,32797
10012190000,27481
10012200000,19130
10012230000,26072
10012240000,32698
10012250000,24885
10012260000,20471
10012270000,20288
10012280000,21964
10012290000,17573
10012300000,31011
10012310000,24261
10012320000,24105
10012330000,31749
10012340000,34852
10012360000,23907
10012370000,26316
10012380000,27414
10012390000,25670
10012400000,19557
10012410000,17984
10012420000,19317
10012430000,20011
10012440000,23635
10012450000,26717
10012470000,25236
10012480000,25678
10012490000,32436
10012500000,35625
10012511000,35907
10012520000,22481
10012530000,15913
10012540000,32578
10012550000,31449
10012640000,33660
10012650000,35014
10012690000,31224
10012700000,32157
10012730000,28177
10012740000,36072
10012760000,34749
10012770000,34450
10012780000,33510
10012790000,33906
10012800000,33351
10012820000,31196
10012840000,29273
10012850000,29891
10012870000,27996
10012890000,25876
10012930000,26734
10012940000,31339
10012950000,25664
10012960000,25733
10012970000,26613
10012980000,27268
10012990000,34502
10013000000,27685
10013010000,24302
10013020000,26571
10013030000,26873
10013050000,29483
10013060000,26620
10013090000,30188
10013130000,18009
10013140000,21455
10013150000,19734
10013160000,23131
10013170000,21561
10013180000,19049
10013190000,31429
10013230000,28109
10013240000,24497
10013250000,34978
10013261000,35128
10013270000,31755
10013280000,27261
10013290000,29355
10013300000,31507
10013310000,27259
10013340000,30834
10013350000,31436
10013360000,20619
10013370000,25289
10013380000,22088
10013390000,24731
10013401000,25175
10013402000,25157
10013410000,26819
10013421000,25442
10013422000,24829
10013423000,23475
10013430000,23293
10013440000,23369
10013460000,20688
10013500000,27145
10013510000,23553
10013520000,23175
10013530000,20947
10013540000,24403
10013550000,20264
10013580000,28222
10013590000,35598
10013610000,24901
10013620000,29383
10013631000,28571
10013640000,30173
10013650000,27660
10013660000,29984
10013681000,31143
10013682000,30828
10013690000,32596
10013700000,32919
10013710000,37041
10013740000,36273
10013750000,32527
10013760000,35220
10013770000,32188
10013780000,30290
10013790000,29500
10013810000,33070
10013820000,35551
10013830000,33421
10013840000,32471
10013850000,32597
10013860000,33322
10013870000,32979
10013880000,34904
10013890000,32941
10013920000,36350
10013930000,36289
10013940000,36199
10013950000,31594
10013960000,35452
10013990000,32982
10014000000,33308
10014010000,33430
10014020000,32828
10014030000,33946
10014040000,34007
10014050000,32808
10014060000,33267
10014100000,33936
10014111000,35830
10014120000,34616
10014130000,35702
10014140000,35036
10014150000,32874
10014180000,26418
10014250000,28938
10014260000,28771
10014270000,23129
10014280000,27902
10014290000,24042
10014300000,30124
10014330000,34287
10014350000,28262
10014360000,25243
10014380000,22797
10014390000,24906
10014400000,25661
10014410000,27462
10014420000,25695
10014450000,28865
10014460000,27584
10014470000,27253
10014480000,26772
10014490000,26897
10014500000,26874
10014510000,23808
10014520000,26421
10014530000,26958
10014540000,23220
10014550000,25986
10014560000,25576
10014570000,27459
10014580000,32806
10014590000,31985
10014600000,34503
10014610000,32819
10014640000,27863
10014650000,32542
10014660000,31395
10014670000,30946
10014680000,27056
10014730000,30654
10014770000,32816
10014790000,34264
10014800000,31263
10014810000,33073
10014840000,29365
10014850000,31011
10014880000,34071
10014890000,33714
10014900000,33489
10014910000,32389
10014920000,32881
10014930000,33291
10014940000,31984
10014950000,32480
10014960000,30368
10014970000,36935
10014980000,36523
10014990000,29041
10015000000,26114
10015010000,22212
10015020000,23540
10015030000,21961
10015040000,20516
10015050000,18966
10015060000,20638
10015070000,22017
10015080000,22335
10015090000,23056
10015100000,22923
10015110000,22850
10015120000,22907
10015130000,22724
10015140000,23848
10015150000,22828
10015160000,20232
10015170000,22966
10015181000,24264
10015182000,25883
10015190000,24167
10015200000,23086
10015210000,23886
10015220000,22974
10015250000,18972
10015260000,18963
10015280000,26547
10015290000,27389
10015300000,20429
10015310000,20592
10015320000,23231
10015330000,20351
10015340000,25833
10015350000,25184
10015360000,23317
10015370000,33693
10015380000,29188
10015390000,34264
10015400000,25664
10015410000,25887
10015420000,34185
10015431000,34887
10015432000,27266
10015460000,28003
10015500000,20978
10015550000,33432
10015560000,30906
10015570000,32386
10015580000,33418
10015590000,27627
10015600000,27158
10015610000,26180
10015620000,23865
10015630000,22329
10015640000,22178
10015650000,21023
10015660000,21852
10015670000,21446
10015700000,28246
10015722000,30582
10015732000,30478
10015740000,28241
10015751000,29706
10015752000,27361
10015760000,29218
10015770000,28827
10015781000,28575
10015782000,29928
10015811000,29407
10015830000,28504
10015840000,29812
10015850000,27886
10015860000,29173
10015870000,26499
10015890000,26032
10015900000,26441
10015910000,25686
10015920000,24926
10015930000,25311
10015941000,26545
10015942000,24916
10015961000,25701
10015962000,25383
10015970000,28475
10015992000,28493
10016001000,29217
10016002000,34866
10016012000,31309
10016020000,25306
10016030000,25149
10016040000,25340
10016050000,24405
10016070000,25917
10016080000,26958
10016090000,38160
10016100000,29431
10016110000,30184
10016140000,31472
10016151000,33464
10016160000,32863
10016180000,28761
10016200000,30877
10016210000,28697
10016220000,30514
10016230000,28105
10016240000,28731
10016250000,29131
10016260000,26775
10016280000,30959
10016290000,29432
10016300000,30039
10016330000,34226
10016342000,31016
10016350000,29864
10016360000,31093
10016370000,29541
10016390000,30789
10016400000,29977
10016411000,28451
10016414000,29087
10016415000,27036
10016420000,24344
10016430000,25245
10016440000,29703
10016450000,20733
10016460000,18386
10016470000,26042
10016482000,26526
10016490000,25244
10016510000,24641
10016520000,25233
10016530000,25037
10016540000,26174
10016581000,26030
10016582000,25649
10016590000,27565
10016600000,30047
10016611000,29415
10016640000,26879
10016650000,24236
10016661000,21093
10016662000,18796
10016670000,25315
10016680000,25848
10016690000,17248
10016700000,24868
10016710000,24823
10016720000,29727
10016740000,25325
10016760000,26335
10016770000,23729
10016782000,20295
10016801000,31467
10016802000,34370
10016811000,34100
10016812000,25511
10016820000,26279
10016860000,35283
10016870000,21397
10016880000,30810
10016891000,30827
10016900000,30294
10016911000,30541
10016920000,26065
10016931000,23163
10016932000,23247
10016952000,37216
10016960000,26219
10016970000,30022
10016980000,27091
10016990000,35042
10017000000,25400
10017010000,28809
10017020000,31698
10017030000,33658
10017040000,33501
10017050000,32423
10017060000,30730
10017070000,30314
10017090000,22794
10017100000,29452
10017110000,28467
10017120000,20356
10017130000,29937
10017140000,35139
10017150000,37375
10017160000,38249
10017171000,19240
10017172000,32838
10017173000,37264
10017174000,34595
10017175000,35122
10017176000,39582
10017177000,33461
10017180000,14264
10017190000,18838
10017200000,21066
10017213000,28485
10017220000,32157
10017230000,32055
10017240000,34419
10017250000,34886
10017262000,26905
10017271000,28719
10017272000,28515
10017281000,34944
10017282000,34549
10017291000,16567
10017292000,11637
10017300000,16059
10017310000,17342
10017330000,10586
10017340000,9708
10017370000,27712
10017380000,17855
10017390000,18506
10017400000,23325
10017412000,27851
10017420000,23580
10017430000,21558
10017440000,22090
10017450000,29830
10017460000,16319
10017470000,17795
10017480000,10101
10017490000,11694
10017502000,27492
10017510000,16900
10017520000,20270
10017530000,16711
10017550000,19067
10017560000,21673
10017570000,16718
10017580000,20036
10017600000,17525
10017611100,21849
10017611200,22103
10017611300,22135
10017611400,19824
10017611700,20540
10017611800,20254
10017612200,9043
10017620000,14485
10017630000,7042
10017651000,22854
10017652000,21246
10017653000,19594
10017654000,26817
10017655000,26648
10017656000,21615
10017658000,18961
10017660000,14648
10017670000,13740
10017680000,18778
10017690000,15473
10017700000,15676
10017711000,14323
10017712000,20319
10017713000,14483
10017720000,9703
10017730000,12742
10017740000,14778
10017750000,17147
10017760000,20361
10017770000,21190
10017780000,23035
10017790000,9047
10017801000,27173
10017802000,20796
10017811000,24968
10017812000,28870
10017813000,16840
10017830000,5718
10017841100,5144
10017841200,5446
10017842100,4118
10017842200,4165
10017843100,4887
10017843200,4384
10017845000,6086
10017846000,4515
10017848000,7962
10017850000,16938
10017861000,1717
10017862000,29569
10017870000,9066
10017891000,29193
10017892000,26831
10017893000,25358
10017894000,24923
10017895000,23282
10017900000,6727
10017920000,18756
10017930000,22730
10017940000,13186
10017960000,22095
10017971000,23899
10017972000,27630
10017980000,23660
10017990000,28197
10018011000,26207
10018013000,26966
10018014000,25028
10018015000,28966
10018020000,22508
10018031000,18692
10018032000,19284
10018033000,22814
10018041000,33663
10018042000,31204
10018043000,35220
10018051000,24846
10018052000,22163
10018053000,27242
10018072000,22101
10018080000,14018
10018100000,25054
10018110000,30055
10018120000,7881
10018131000,27099
10018132000,26013
10018140000,27128
10018150000,25055
10018160000,26752
10018170000,28184
10018180000,27968
10018190000,25992
10018201000,24127
10018202000,26698
10018220000,18783
10018230000,24834
10018240000,32362
10018251000,24903
10018252000,32212
10018253000,32559
10018261000,25720
10018262000,21921
10018272000,27003
10018273000,26078
10018280000,30659
10018290000,29000
10018300000,27919
10018310000,22805
10018320000,26725
10018330000,19701
10018340000,9334
10018350000,22503
10018360000,27201
10018370000,29530
10018380000,28143
10018390000,26019
10018410000,17567
10018420000,15097
10018430000,18301
10018450000,16452
10018460000,24999
10018470000,9837
10018480000,33464
10018491000,27757
10018492000,24809
10018493000,25578
10018501000,18995
10018502000,26555
10018503000,26727
10018504000,18860
10018510000,28773
10018520000,31045
10018531000,38073
10018532000,38421
10018533000,38463
10018540000,29575
10018560000,26665
10018570000,29209
10018580000,26122
10018591000,28464
10018592000,26736
10018601000,12281
10018611000,12233
10018612000,12434
10018620000,17499
10018630000,15390
10018640000,15581
10018650000,28513
10018660000,25971
10018670000,27688
10018680000,10394
10018690000,21842
10018700000,19747
10018710000,19142
10018720000,33150
10018730000,29699
10018740000,21924
10018750000,28796
10018760000,28160
10018770000,17456
10018781000,23759
10018782000,27049
10018790000,20413
10018800000,9013
10018810000,10409
10018820000,9225
10018830000,19433
10018840000,33541
10018850000,28429
