"MB_CODE16","value"
10011670000,37886
10011680000,75229
10011690000,43800
10011700000,50421
10011710000,58720
10011720000,57406
10011730000,75829
10011740000,41818
10011750000,29181
10011760000,46281
10011770000,59320
10011780000,50228
10011790000,31781
10011800000,34447
10011820000,70755
10011830000,37948
10011840000,50500
10011860000,71128
10011870000,76593
10011880000,42597
10011890000,26258
10011900000,29041
10011910000,75558
10011920000,76210
10011930000,39537
10011940000,51178
10011950000,40189
10011960000,66925
10011970000,47572
10011980000,50663
10011990000,58723
10012000000,52866
10012010000,68097
10012020000,112381
10012030000,28858
10012040000,96819
10012050000,61724
10012060000,131521
10012070000,60781
10012080000,170134
10012090000,29574
10012100000,26153
10012110000,36269
10012120000,60103
10012130000,53738
10012140000,53781
10012150000,70160
10012160000,49693
10012170000,62039
10012180000,94748
10012190000,49196
10012200000,35013
10012230000,54482
10012240000,31461
10012250000,48964
10012260000,30589
10012270000,43331
10012280000,48091
10012290000,39547
10012300000,65494
10012310000,27063
10012320000,38768
10012330000,64372
10012340000,87235
10012360000,53909
10012370000,63121
10012380000,56682
10012390000,24677
10012400000,25088
10012410000,32488
10012420000,25378
10012430000,41586
10012440000,28917
10012450000,58325
10012470000,52180
10012480000,55086
10012490000,41150
10012500000,84254
10012511000,79951
10012520000,49632
10012530000,29540
10012540000,28711
10012550000,27802
10012640000,57636
10012650000,50331
10012690000,49962
10012700000,61526
10012730000,59806
10012740000,64573
10012760000,66645
10012770000,77747
10012780000,79704
10012790000,75491
10012800000,69896
10012820000,57161
10012840000,51322
10012850000,52380
10012870000,80221
10012890000,92408
10012930000,83199
10012940000,69308
10012950000,58281
10012960000,77250
10012970000,92048
10012980000,106547
10012990000,65576
10013000000,87135
10013010000,72548
10013020000,114808
10013030000,79207
10013050000,141600
10013060000,102576
10013090000,156459
10013130000,23465
10013140000,28017
10013150000,36803
10013160000,44966
10013170000,36349
10013180000,60216
10013190000,35860
10013230000,43089
10013240000,40262
10013250000,67146
10013261000,111529
10013270000,109354
10013280000,73408
10013290000,250949
10013300000,331091
10013310000,250519
10013340000,36528
10013350000,37512
10013360000,34459
10013370000,41738
10013380000,52018
10013390000,38041
10013401000,34970
10013402000,43535
10013410000,51449
10013421000,43248
10013422000,40518
10013423000,35711
10013430000,49507
10013440000,58423
10013460000,38145
10013500000,83657
10013510000,66683
10013520000,68621
10013530000,26359
10013540000,28404
10013550000,22651
10013580000,104110
10013590000,82213
10013610000,60584
10013620000,78184
10013631000,75761
10013640000,79409
10013650000,56354
