Locality,LGA,Split_id,ERP_2016,ERP_2056,EMP_2016,EMP_2056,Area,LGA_fid,2016,2036,2041
BEROWRA,Hornsby (A),402,5021.0,7417.0,648.0,1049.0,Berowra,Hornsby Shire,4906.0,5238.0,
BEROWRA HEIGHTS,Hornsby (A),1234,5243.0,8108.0,790.0,1214.0,,,,,
BEVERLEY PARK,Georges River (A),1912,3048.0,4021.0,930.0,1491.0,,,,,
BEVERLY HILLS,Canterbury-Bankstown (A),466,917.0,1186.0,125.0,197.0,,,,,
BEVERLY HILLS,Georges River (A),1868,11052.0,16110.0,1753.0,2745.0,,,,,
BEXLEY,Rockdale (C),8552,20686.0,26545.0,3219.0,5599.0,,,,,
BEXLEY NORTH,Rockdale (C),1468,4373.0,5905.0,629.0,1073.0,,,,,
BICKLEY VALE,Camden (A),135,948.0,990.0,985.0,2887.0,,,,,
BIDWILL,Blacktown (C),724,4398.0,5910.0,344.0,564.0,Bidwill,Blacktown City,4406.0,4608.0,
BILGOLA BEACH,Northern Beaches (A),596,2183.0,2860.0,441.0,719.0,,,,,
BILGOLA PLATEAU,Northern Beaches (A),1110,1235.0,1682.0,220.0,385.0,,,,,
BILPIN,Hawkesbury (C),472,1089.0,1114.0,172.0,237.0,,,,,
BIRCHGROVE,Inner West (A),754,3396.0,3590.0,489.0,772.0,Birchgrove,Inner West Council area,3415.0,3200.0,
BIRRONG,Canterbury-Bankstown (A),1193,3236.0,5320.0,534.0,769.0,,,,,
BLACKETT,Blacktown (C),354,3570.0,4292.0,161.0,231.0,Blackett,Blacktown City,3541.0,3734.0,
BLACKHEATH,Blue Mountains (C),1552,1932.0,2382.0,239.0,349.0,,,,,
BLACKTOWN,Blacktown (C),15216,48620.0,83017.0,22094.0,37896.0,Blacktown,Blacktown City,48854.0,62780.0,
BLAIR ATHOL,Campbelltown (C) (NSW),243,1816.0,2248.0,4.0,5.0,Blair Athol,Campbelltown City,2955.0,2851.0,
BLAIRMOUNT,Campbelltown (C) (NSW),856,591.0,971.0,212.0,286.0,,,,,
BLAKEHURST,Georges River (A),1983,6149.0,7080.0,1014.0,1592.0,Blakehurst,Georges River Council area,6437.0,7587.0,
BLAXLAND,Blue Mountains (C),1572,7760.0,9290.0,1877.0,2545.0,Blaxland,Blue Mountains City,7653.0,8185.0,
BLIGH PARK,Hawkesbury (C),714,6539.0,9203.0,563.0,775.0,,,,,
BLUE MOUNTAINS NATIONAL PARK,Blue Mountains (C),2402,13.0,14.0,51.0,57.0,,,,,
BLUE MOUNTAINS NATIONAL PARK,Wollondilly (A),54,4.0,4.0,23.0,90.0,,,,,
BONDI,Waverley (A),3915,9123.0,12592.0,1817.0,2760.0,,,,,
BONDI BEACH,Waverley (A),4000,10741.0,15087.0,2912.0,4305.0,,,,,
BONDI JUNCTION,Waverley (A),7818,10114.0,15328.0,15144.0,22226.0,,,,,
BONNET BAY,Sutherland Shire (A),1325,2190.0,2588.0,196.0,325.0,Bonnet Bay,Sutherland Shire,2407.0,2346.0,
BONNYRIGG,Fairfield (C),3256,8980.0,18170.0,1784.0,2621.0,Bonnyrigg,Fairfield City,8952.0,17589.0,
BONNYRIGG HEIGHTS,Fairfield (C),2104,7579.0,10554.0,784.0,1284.0,Bonnyrigg Heights,Fairfield City,7614.0,7294.0,
BOSSLEY PARK,Fairfield (C),3272,13200.0,20237.0,1446.0,2327.0,Bossley Park,Fairfield City,15211.0,15320.0,
BOTANY,Botany Bay (C),5180,11281.0,22320.0,8806.0,12160.0,,,,,
BOW BOWING,Campbelltown (C) (NSW),936,3321.0,5839.0,145.0,233.0,,,,,
BOWEN MOUNTAIN,Hawkesbury (C),34,3356.0,4461.0,287.0,442.0,,,,,
BOX HILL,The Hills Shire (A),1968,980.0,34302.0,511.0,15130.0,Box Hill,The Hills Shire,939.0,23567.0,
BRADBURY,Campbelltown (C) (NSW),792,9069.0,14553.0,928.0,1350.0,Bradbury,Campbelltown City,9036.0,10130.0,
BREAKFAST POINT,Canada Bay (A),1198,4746.0,11785.0,1148.0,1807.0,,,,,
BRIGHTON-LE-SANDS,Rockdale (C),2436,9129.0,11367.0,1885.0,3088.0,,,,,
BRINGELLY,Camden (A),5056,547.0,12912.0,202.0,2365.0,,,,,
BRINGELLY,Liverpool (C),4431,2022.0,25093.0,524.0,18509.0,,,,,
BRONTE,Waverley (A),1544,7392.0,9223.0,1477.0,2311.0,,,,,
BROOKLYN,Hornsby (A),684,752.0,977.0,283.0,388.0,Brooklyn,Hornsby Shire,669.0,691.0,
BROOKVALE,Northern Beaches (A),300,3401.0,5824.0,16471.0,21173.0,Brookvale,Northern Beaches Council area,3474.0,4350.0,
BULLABURRA,Blue Mountains (C),239,1271.0,1504.0,106.0,139.0,,,,,
BUNDEENA,Sutherland Shire (A),1242,2035.0,2497.0,366.0,560.0,,,,,
BUNGARRIBEE,Blacktown (C),1036,2732.0,4275.0,567.0,810.0,Bungarribee,Blacktown City,2743.0,2594.0,
BURRANEER,Sutherland Shire (A),787,3519.0,4477.0,661.0,1036.0,Burraneer,Sutherland Shire,3707.0,3815.0,
BURWOOD,Burwood (A),2196,17223.0,40075.0,12822.0,20430.0,,,,,
BUSBY,Liverpool (C),33,4427.0,7694.0,281.0,1064.0,Busby,Liverpool City,4465.0,,4524.0
BUXTON,Wollondilly (A),844,2088.0,2253.0,151.0,274.0,,,,,
CABARITA,Canada Bay (A),1045,2808.0,3166.0,312.0,515.0,Cabarita,City of Canada Bay,2138.0,2103.0,
CABRAMATTA,Fairfield (C),7344,22830.0,33284.0,6101.0,9378.0,Cabramatta,Fairfield City,22766.0,26352.0,
CABRAMATTA WEST,Fairfield (C),612,7441.0,8728.0,633.0,763.0,Cabramatta West,Fairfield City,7499.0,8263.0,
CADDENS,Penrith (C),564,1514.0,4859.0,1651.0,3354.0,,,,,
CAMBRIDGE GARDENS,Penrith (C),875,2072.0,3906.0,447.0,708.0,,,,,
CAMBRIDGE PARK,Penrith (C),1977,6805.0,12744.0,516.0,971.0,,,,,
CAMDEN,Camden (A),489,3293.0,6333.0,4289.0,11495.0,Camden,Camden Council,7942.0,8695.0,
CAMDEN PARK,Wollondilly (A),1153,2288.0,2575.0,99.0,179.0,,,,,
CAMDEN SOUTH,Camden (A),949,4655.0,6833.0,510.0,1207.0,,,,,
CAMELLIA,Parramatta (C),1070,1.0,2646.0,615.0,1323.0,Camellia,City of Parramatta,3.0,,20873.0
CAMMERAY,North Sydney (A),2328,8364.0,11552.0,1871.0,2867.0,Cammeray,North Sydney Council area,7438.0,7988.0,
CAMPBELLTOWN,Campbelltown (C) (NSW),5225,14045.0,30609.0,19198.0,34240.0,Campbelltown,Campbelltown City,12845.0,31427.0,
CAMPERDOWN,Inner West (A),2050,3288.0,6827.0,989.0,1518.0,Camperdown,Inner West Council area,3689.0,4780.0,
CAMPERDOWN,Sydney (C),4104,6158.0,8714.0,16322.0,25770.0,,,,,
CAMPSIE,Canterbury-Bankstown (A),2817,23296.0,54294.0,6676.0,11674.0,,,,,
CANLEY HEIGHTS,Fairfield (C),3656,11874.0,16793.0,1186.0,1211.0,Canley Heights,Fairfield City,11353.0,13664.0,
CANLEY VALE,Fairfield (C),1352,9585.0,12831.0,1557.0,1729.0,Canley Vale,Fairfield City,10554.0,12006.0,
CANOELANDS,Hornsby (A),1218,113.0,143.0,138.0,202.0,,,,,
CANTERBURY,Canterbury-Bankstown (A),3426,9864.0,32993.0,1700.0,2609.0,Canterbury,City of Canterbury Bankstown,7582.0,13173.0,
CARINGBAH,Sutherland Shire (A),4596,12209.0,19789.0,13779.0,19644.0,Caringbah,Sutherland Shire,12101.0,19197.0,
CARINGBAH SOUTH,Sutherland Shire (A),9310,12495.0,17682.0,1093.0,1627.0,Caringbah South,Sutherland Shire,12549.0,13748.0,
CARLINGFORD,Parramatta (C),5388,26402.0,46377.0,5239.0,8797.0,Carlingford,City of Parramatta,25263.0,,37611.0
CARLTON,Georges River (A),1916,5716.0,7976.0,1611.0,2284.0,Carlton,Georges River Council area,7058.0,8573.0,
CARLTON,Rockdale (C),959,3228.0,4168.0,267.0,426.0,,,,,
CARNES HILL,Liverpool (C),614,3757.0,14582.0,1059.0,2336.0,,,,,
CARRAMAR,Fairfield (C),1317,3673.0,6057.0,802.0,1772.0,Carramar,Fairfield City,3653.0,4227.0,
CARSS PARK,Georges River (A),395,1595.0,2286.0,339.0,536.0,,,,,
CARTWRIGHT,Liverpool (C),1050,2434.0,9032.0,168.0,335.0,Cartwright,Liverpool City,2459.0,,2711.0
CASTLE COVE,Willoughby (C),1140,2689.0,3307.0,504.0,702.0,,,,,
CASTLE HILL,Hornsby (A),1602,5764.0,7253.0,1673.0,3216.0,Castle Hill,Hornsby Shire,5913.0,5620.0,
CASTLE HILL,The Hills Shire (A),12840,35527.0,72125.0,20440.0,40853.0,Castle Hill,The Hills Shire,35237.0,44245.0,
CASTLECRAG,Willoughby (C),667,2835.0,3319.0,734.0,923.0,Castlecrag,Willoughby City,3087.0,3029.0,
CASTLEREAGH,Penrith (C),2076,3444.0,8268.0,1079.0,1407.0,,,,,
CASULA,Liverpool (C),6942,16254.0,29943.0,3541.0,5292.0,Casula,Liverpool City,16390.0,,15877.0
CATHERINE FIELD,Camden (A),5890,1704.0,7659.0,550.0,1243.0,,,,,
CAWDOR,Wollondilly (A),266,303.0,377.0,128.0,219.0,,,,,
CECIL HILLS,Liverpool (C),2700,7271.0,7248.0,985.0,2539.0,Cecil Hills,Liverpool City,7296.0,,6583.0
CECIL PARK,Fairfield (C),686,817.0,3813.0,310.0,525.0,,,,,
CECIL PARK,Liverpool (C),1374,342.0,5147.0,224.0,2545.0,,,,,
CENTENNIAL PARK,Randwick (C),83,3.0,3.0,124.0,195.0,,,,,
CHATSWOOD,Willoughby (C),6754,24238.0,38131.0,32192.0,44018.0,,,,,
CHATSWOOD WEST,Willoughby (C),343,1878.0,2584.0,209.0,266.0,,,,,
CHELTENHAM,Hornsby (A),668,2328.0,2650.0,359.0,654.0,,,,,
CHERRYBROOK,Hornsby (A),12560,19449.0,32012.0,2773.0,5147.0,Cherrybrook,Hornsby Shire,19348.0,20890.0,
