tz16_code,tz16_name,lga_code16,lga_name16,gsc_distri,GIC_AreaName,GIC_Precinct_190919,SGS_CoDBC_UrbanType190924,SGS_CoDBC_Precincts190924,ERP_2016,ERP_2056,EMP_2016,EMP_2056,Tz16_Area,PopDensity_2016,PopDensity_2056,EmpDensity_2016,EmpDensity_2056,PopDensity_Diff,EmpDensity_Diff
19.0,Sydney CBD_Sydney Observatory,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,380.0,417.0,304.0,470.0,118316.466108,3211.7254047558663,3524.446036271569,2569.380323804693,3972.3972111454136,312.72063151570273,1403.0168873407206
20.0,Sydney CBD_The Rocks_King George V Recreation Centre,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,76.0,131.0,752.0,1134.0,27769.6991229,2736.7959466772677,4717.371960720027,27079.875682911912,40835.87636226344,1980.5760140427597,13756.000679351531
21.0,Sydney CBD_The Rocks_Sydney Harbour Foreshore Authority,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,13.0,21.0,1322.0,1960.0,15983.0442434,813.3619479510726,1313.8923774594248,82712.65347625522,122629.95522954632,500.5304295083522,39917.3017532911
22.0,Sydney CBD_Museum of Contemporary Art,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,410.0,622.0,20519.0766131,0.0,0.0,19981.405973124718,30313.25491532579,0.0,10331.848942201072
23.0,Sydney CBD_Circular Quay East_The Toaster,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,314.0,436.0,855.0,1200.0,24003.084115,13081.652278332649,18164.332462907754,35620.422605014064,49993.57558598465,5082.680184575105,14373.152980970583
24.0,Sydney CBD_The Rocks_Shangri La Hotel,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,182.0,266.0,734.0,1047.0,12648.1351997,14389.473003444558,21030.768235803585,58032.27024466102,82779.00128904644,6641.295232359027,24746.731044385422
25.0,Sydney CBD_The Rocks_Four Seasons Hotel,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,35.0,51.0,522.0,702.0,9991.84969293,3502.8549343336485,5104.1600471718875,52242.57930634756,70257.26182577775,1601.305112838239,18014.682519430193
26.0,Sydney CBD_Circular Quay Station-Wharves,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,1.0,913.0,1125.0,27298.3360385,0.0,36.6322694024155,33445.261964405356,41211.30307771744,36.6322694024155,7766.041113312087
27.0,Sydney CBD_The Rocks_Science House,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,210.0,386.0,1031.0,1774.0,7229.63767569,29047.09882019883,53391.33402188928,142607.4232553571,245378.82527158438,24344.235201690448,102771.40201622728
28.0,Sydney CBD_The Rocks_Cove Apartments,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,265.0,389.0,86.0,150.0,9381.66809219,28246.575917624472,41463.84163002234,9166.813316663036,15988.627877900644,13217.265712397868,6821.814561237608
