TZ16_CODE,TZ16_NAME,Tz16_Area,TZprojecti,TZprojec_1,TZprojec_2,TZprojec_3,TZprojec_4,TZprojec_5,TZprojec_6,TZprojec_7,TZprojec_8,TZprojec_9,TZprojec10,TZprojec11,TZprojec12,TZprojec13,TZprojec14,TZprojec15,TZprojec16,TZprojec17,TZprojec18,TZprojec19,TZprojec20,TZprojec21,TZprojec22,TZprojec23,TZprojec24,TZprojec25,TZprojec26,TZprojec27,TZprojec28,TZprojec29,TZprojec30,TZprojec31,TZprojec32,TZprojec33,TZprojec34,TZprojec35,TZprojec36,TZprojec37,TZprojec38,TZprojec39,LOC_PID,NSW_LOCA_2,LGA_CODE16,LGA_NAME16,Split_id
665,Concord_Rothwell Park,343129.3711,Concord_Rothwell Park,Concord - Mortlake - Cabarita,120011383,11383,Canada Bay,12001,Sydney - Inner West,120,Canada Bay (A),11520,Greater Sydney,1GSYD,Central,Residential,34.37430829,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,508","1,556","1,664","1,821","2,036","2,253","2,436","2,601","2,766",281,347,416,522,574,641,682,722,763,NSW1012,CONCORD,11520,Canada Bay (A),2
702,Concord_Anderson Rd and Brays Rd,857375.8279,Concord_Anderson Rd and Brays Rd,Concord - Mortlake - Cabarita,120011383,11383,Canada Bay,12001,Sydney - Inner West,120,Canada Bay (A),11520,Greater Sydney,1GSYD,Central,Residential,85.89128263,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,376","3,478","3,632","3,750","3,828","4,063","4,336","4,655","4,656",531,600,657,697,739,788,836,881,929,NSW1012,CONCORD,11520,Canada Bay (A),2
703,Concord,1184309.538,Concord,Concord - Mortlake - Cabarita,120011383,11383,Canada Bay,12001,Sydney - Inner West,120,Canada Bay (A),11520,Greater Sydney,1GSYD,Central,Parkland,118.6431065,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,222","2,309","2,516","2,704","2,833","2,909","2,997","3,101","3,102","1,041","1,172","1,267","1,333","1,403","1,487","1,570","1,645","1,729",NSW1012,CONCORD,11520,Canada Bay (A),2
704,Bayview Park Ferry Wharf,809045.9273,Bayview Park Ferry Wharf,Concord - Mortlake - Cabarita,120011383,11383,Canada Bay,12001,Sydney - Inner West,120,Canada Bay (A),11520,Greater Sydney,1GSYD,Central,Residential,81.04941401,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,113","2,141","2,169","2,187","2,210","2,305","2,410","2,527","2,539",336,387,410,428,446,466,485,503,522,NSW1012,CONCORD,11520,Canada Bay (A),2
705,Concord_Cross St and Wellbank St,580439.2782,Concord_Cross St and Wellbank St,Concord - Mortlake - Cabarita,120011383,11383,Canada Bay,12001,Sydney - Inner West,120,Canada Bay (A),11520,Greater Sydney,1GSYD,Central,Residential,58.14779278,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,365","2,404","2,440","2,462","2,489","2,604","2,729","2,867","2,882",299,313,340,357,375,396,417,437,460,NSW1012,CONCORD,11520,Canada Bay (A),2
706,Westside Private Hospital,645827.261,Westside Private Hospital,Concord - Mortlake - Cabarita,120011383,11383,Canada Bay,12001,Sydney - Inner West,120,Canada Bay (A),11520,Greater Sydney,1GSYD,Central,Parkland,64.69811089,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,413","1,458","1,559","1,706","1,908","2,111","2,282","2,437","2,591",527,652,782,980,"1,079","1,205","1,282","1,356","1,434",NSW1012,CONCORD,11520,Canada Bay (A),2
707,Queen Elizabeth Park,628152.1044,Queen Elizabeth Park,Concord - Mortlake - Cabarita,120011383,11383,Canada Bay,12001,Sydney - Inner West,120,Canada Bay (A),11520,Greater Sydney,1GSYD,Central,Residential,62.92746167,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,210","2,292","2,464","2,655","2,851","3,064","3,258","3,444","3,526",516,590,673,793,860,939,"1,003","1,065","1,129",NSW1012,CONCORD,11520,Canada Bay (A),2
1908,North Sydney_Lamont St,119122.0843,North Sydney_Lamont St,Crows Nest - Waverton,121041414,11414,North Sydney - Mosman,12104,Sydney - North Sydney and Hornsby,121,North Sydney (A),15950,Greater Sydney,1GSYD,North,Residential,11.93365625,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,251","1,465","1,858","2,542","3,205","3,370","3,602","3,880","4,094",492,527,554,591,629,667,701,730,760,NSW4391,WOLLSTONECRAFT,15950,North Sydney (A),4
1915,Mater Misericordiae Hospital,171650.313,Mater Misericordiae Hospital,Crows Nest - Waverton,121041414,11414,North Sydney - Mosman,12104,Sydney - North Sydney and Hornsby,121,North Sydney (A),15950,Greater Sydney,1GSYD,North,Residential,17.1959135,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,332","2,403","2,658","3,091","3,525","3,877","4,372","4,822","5,087","1,952","2,032","2,199","2,382","2,579","2,780","2,976","3,161","3,361",NSW4391,WOLLSTONECRAFT,15950,North Sydney (A),4
1916,Wollstonecraft Station,431491.8417,Wollstonecraft Station,Crows Nest - Waverton,121041414,11414,North Sydney - Mosman,12104,Sydney - North Sydney and Hornsby,121,North Sydney (A),15950,Greater Sydney,1GSYD,North,Residential,43.22680547,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,847","3,879","3,918","3,957","4,048","4,181","4,294","4,423","4,654",193,206,219,234,249,265,278,289,300,NSW4391,WOLLSTONECRAFT,15950,North Sydney (A),4
1917,Wollstonecraft Station South,406136.3845,Wollstonecraft Station South,Crows Nest - Waverton,121041414,11414,North Sydney - Mosman,12104,Sydney - North Sydney and Hornsby,121,North Sydney (A),15950,Greater Sydney,1GSYD,North,Residential,40.68664167,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,032","1,039","1,054","1,068","1,081","1,095","1,117","1,144","1,203",165,175,183,195,208,222,234,244,255,NSW4391,WOLLSTONECRAFT,15950,North Sydney (A),4
