LC_PLY_PID,DT_CREATE,DT_RETIRE,LOC_PID,NSW_LOCALI,NSW_LOCA_1,NSW_LOCA_2,NSW_LOCA_3,NSW_LOCA_4,NSW_LOCA_5,NSW_LOCA_6,NSW_LOCA_7,RatiosLoca,RatiosLo_1,RatiosLo_2,RatiosLo_3,RatiosLo_4,RatiosLo_5,LGA_CODE16,LGA_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,RatiosLGA_,RatiosLG_1,RatiosLG_2,RatiosLG_3,RatiosLG_4,RatiosLG_5,Split_id
"24903",2015-09-03,,NSW1012,2015-11-10,,CONCORD,,,G,,"1",0.500000000000000,0.510000000000000,0.540000000000000,0.520000000000000,0.470000000000000,,"11300",Burwood (A),"1",New South Wales,7.1281,1.022000000000000,0.995000000000000,1.078000000000000,1.150000000000000,1.247000000000000,,"1"
"24903",2015-09-03,,NSW1012,2015-11-10,,CONCORD,,,G,,"1",0.500000000000000,0.510000000000000,0.540000000000000,0.520000000000000,0.470000000000000,,"11520",Canada Bay (A),"1",New South Wales,19.9233,1.002000000000000,0.999000000000000,1.026000000000000,1.031000000000000,1.019000000000000,,"2"
"25101",2015-09-03,,NSW4391,2015-11-10,,WOLLSTONECRAFT,,,G,,"1",0.960000000000000,0.970000000000000,1.030000000000000,1.150000000000000,1.270000000000000,,"14700",Lane Cove (A),"1",New South Wales,10.4794,,,,,,,"3"
"25101",2015-09-03,,NSW4391,2015-11-10,,WOLLSTONECRAFT,,,G,,"1",0.960000000000000,0.970000000000000,1.030000000000000,1.150000000000000,1.270000000000000,,"15950",North Sydney (A),"1",New South Wales,10.4857,0.991000000000000,0.985000000000000,1.020000000000000,1.070000000000000,1.117000000000000,,"4"
"19669",2012-11-21,,NSW3304,2013-01-23,,PUTNEY,,,G,,"1",,,,,,,"16700",Ryde (C),"1",New South Wales,40.4748,,,,,,,"5"
"24793",2015-09-03,,NSW3819,2015-11-10,,TEN MILE HOLLOW,,,G,,"1",,,,,,,"11650",Central Coast (C) (NSW),"1",New South Wales,1681.0695,,,,,,,"6"
"24793",2015-09-03,,NSW3819,2015-11-10,,TEN MILE HOLLOW,,,G,,"1",,,,,,,"13800",Hawkesbury (C),"1",New South Wales,2775.1377,,,,,,,"7"
"20526",2013-03-07,,NSW2153,2013-04-30,,KILLARA,,,G,,"1",,,,,,,"14500",Ku-ring-gai (A),"1",New South Wales,85.4096,,,,,,,"8"
"20526",2013-03-07,,NSW2153,2013-04-30,,KILLARA,,,G,,"1",,,,,,,"16700",Ryde (C),"1",New South Wales,40.4748,,,,,,,"9"
"29657",2019-02-26,,NSW1860,2018-08-08,,HAMMONDVILLE,,,G,,"1",0.990000000000000,0.970000000000000,0.960000000000000,0.970000000000000,0.980000000000000,1.010000000000000,"14900",Liverpool (C),"1",New South Wales,305.7396,0.997000000000000,0.994000000000000,1.002000000000000,0.970000000000000,0.970000000000000,1.027000000000000,"10"
"29658",2019-02-26,,NSW4227,2017-05-02,,WATTLE GROVE,,,G,,"1",1.290000000000000,1.330000000000000,1.390000000000000,1.440000000000000,1.460000000000000,1.510000000000000,"14900",Liverpool (C),"1",New South Wales,305.7396,0.997000000000000,0.994000000000000,1.002000000000000,0.970000000000000,0.970000000000000,1.027000000000000,"11"
"29892",2019-02-26,,NSW3541,2018-08-08,,SEAFORTH,,,G,,"1",0.990000000000000,1.010000000000000,1.010000000000000,1.010000000000000,1.010000000000000,,"15990",Northern Beaches (A),"1",New South Wales,254.2074,0.997000000000000,0.977000000000000,0.961000000000000,0.959000000000000,0.961000000000000,,"12"
"29802",2019-02-26,,NSW1297,2015-05-08,,DOVER HEIGHTS,,,G,,"1",,,,,,,"18050",Waverley (A),"1",New South Wales,9.3507,,,,,,,"13"
"26802",2016-09-12,,NSW4217,2016-11-11,,WATERFALL,,,G,,"1",,,,,,,"17150",Sutherland Shire (A),"1",New South Wales,333.5933,0.999000000000000,0.980000000000000,0.973000000000000,0.981000000000000,0.991000000000000,,"14"
