Area,LGA_fid,2016,2036,2041,LGA
Abbotsbury,Fairfield City,4439.0,4581.0,,Fairfield (C)
Abbotsford - Wareemba,"Burwood, City of Canada Bay and Strathfield Municipal councils",7323.0,7325.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Abbotsford - Wareemba,City of Canada Bay,7323.0,7325.0,,Canada Bay (A)
Acacia Gardens - Parklea,Blacktown City,7492.0,7694.0,,Blacktown (C)
Airds,Campbelltown City,3082.0,5108.0,,Campbelltown (C) (NSW)
Alex Avenue Release Area,Blacktown City,4408.0,19174.0,,Blacktown (C)
Alfords Point,Sutherland Shire,3251.0,3275.0,,Sutherland Shire (A)
Allambie Heights,Northern Beaches Council area,7274.0,7860.0,,Northern Beaches (A)
Allawah,Georges River Council area,5980.0,7094.0,,Georges River (A)
Ambarvale - Englorie Park,Campbelltown City,7730.0,7748.0,,Campbelltown (C) (NSW)
Annandale,Inner West Council area,9973.0,10776.0,,Inner West (A)
Annangrove - Nelson - Maraylya,The Hills Shire,2279.0,2866.0,,The Hills Shire (A)
Appin - Cataract - Darkes Forest,Wollondilly Shire,2716.0,,3944.0,Wollondilly (A)
Arcadia - North Western Rural,Hornsby Shire,4031.0,3970.0,,Hornsby (A)
Artarmon,Willoughby City,10004.0,10420.0,,Willoughby (C)
Ashbury,City of Canterbury Bankstown,3367.0,4314.0,,Canterbury-Bankstown (A)
Ashcroft - Mount Pritchard,Liverpool City,4217.0,,4281.0,Liverpool (C)
Ashfield (North),Inner West Council area,13695.0,13433.0,,Inner West (A)
Ashfield (South),Inner West Council area,11851.0,17385.0,,Inner West (A)
Asquith,Hornsby Shire,3663.0,8898.0,,Hornsby (A)
Auburn (North),Cumberland Council area,11971.0,22395.0,,Cumberland (A)
Auburn (South),Cumberland Council area,27417.0,35303.0,,Cumberland (A)
Austral,Liverpool City,3110.0,,69049.0,Liverpool (C)
Avalon Beach - Clareville,Northern Beaches Council area,11284.0,11120.0,,Northern Beaches (A)
Balgowlah,Northern Beaches Council area,8338.0,10088.0,,Northern Beaches (A)
Balgowlah Heights - Clontarf,Northern Beaches Council area,5385.0,5611.0,,Northern Beaches (A)
Balmain,Inner West Council area,11146.0,11033.0,,Inner West (A)
Balmain East,Inner West Council area,2053.0,1999.0,,Inner West (A)
