"MB_ID","JobsT10","JobsT15","JobsT20","JobsT25","JobsT30","JobsT35","JobsT40","JobsT45","JobsT5_","JobsT50","JobsT55","JobsT60"
10476580000,707,2296,8090,21928,63436,123837,165521,236480,24,405277,574816,752647
10476590000,1371,7087,12718,24397,63274,119191,164058,227907,153,316694,480030,613144
10476600000,590,3700,10198,27178,49446,99371,133100,189291,32,258403,359093,551809
10476610000,422,3038,9018,26954,49098,85181,131754,161266,51,234347,340857,527131
10476620000,1704,5303,12914,44496,65180,106293,156193,218771,29,320308,479980,721802
10476630000,1308,5877,11588,21196,43920,111903,159844,211031,66,301746,427074,608170
10476640000,245,471,2303,8159,52859,65833,91466,134040,27,188929,251931,338799
10476650000,265,648,6672,49398,80552,106074,148365,227534,50,344286,518170,692342
10476660000,138,3161,10344,49502,69185,99142,145668,216860,39,312986,441015,819819
10476670000,365,2509,5429,45619,62953,81610,121129,194731,61,279138,384965,635179
10476680000,692,2707,11667,28968,63139,81757,114132,162487,56,235696,344146,485351
10476690000,1001,4347,10226,35706,65254,89773,133102,189017,185,273541,391303,607917
10476700000,654,2887,10631,33754,65924,88000,131021,208696,29,313880,405253,730740
10476710000,719,3423,6373,23055,61811,73637,96308,142608,24,195617,274593,397034
10476720000,951,2776,10736,48352,70604,90189,121559,180115,32,279742,449745,639450
10476730000,793,3241,7448,27504,58231,67372,89667,132892,85,176900,265543,424437
10476740000,507,1722,6156,31187,59834,86673,127536,163832,92,236994,342234,506965
10476750000,2329,9169,38549,63335,84926,145193,197317,286451,45,416163,962202,1641156
10476760000,519,1958,7049,43682,60912,77561,120928,184168,220,246211,325284,597259
10476770000,538,2417,8495,50880,62639,93249,133139,188172,61,270439,393870,630750
10476780000,1571,6324,15723,43739,66565,95001,137602,186740,21,257587,356509,504653
10476790000,496,1981,5764,30446,60594,82593,112723,152969,59,224124,366418,545143
10476820000,555,2447,6881,23304,56474,74953,121061,160021,34,216174,307896,425332
10476830000,707,3265,6672,23520,58790,78126,118278,165259,36,226328,317550,444792
10476840000,1993,5854,19629,57592,71891,106406,139346,183782,34,264085,366319,485060
10476850000,367,890,2732,8564,35753,83369,126068,170513,52,239848,325239,444462
10476860000,463,3074,6813,27674,60177,82229,120878,159655,13,220907,311989,427772
10476870000,605,1651,5321,38443,56483,65975,87691,131279,35,191568,272178,433889
10476880000,343,808,1728,6662,39267,57577,76900,108610,122,168395,231134,308691
10476890000,494,1588,4279,12103,38771,70294,103930,136880,115,195761,269757,357845
10476900000,629,2236,9578,45601,58785,69918,114001,157195,16,207859,318260,463816
10476910000,635,2260,4807,20534,56126,68238,92263,127300,116,179444,249902,408065
10476920000,527,3443,36611,60691,96584,128039,185454,259757,23,397586,568426,1138718
10476930000,462,1545,4562,25574,57433,67265,100701,152558,29,199280,295602,455534
10476940000,363,991,3675,36395,56339,64574,90471,142028,116,190181,282026,444744
10476950000,515,1250,12165,40316,56669,65292,85562,126854,102,175764,254123,398151
10476960000,178,493,1431,4203,47014,58604,88407,126484,52,212242,294294,398492
10476970000,350,1110,12760,46963,61326,75832,102737,170230,20,231331,315664,581967
10476980000,345,1137,10555,44823,64310,97549,147778,228725,24,366221,528720,809366
10476990000,742,1747,9604,44119,59808,77949,111112,173784,174,234933,319835,560351
10477000000,418,1961,10626,49048,62706,76744,113982,182409,75,251709,334506,595854
10477010000,1103,3595,14723,51772,79508,112012,183320,320205,16,473966,688019,1303134
10477020000,324,2049,9251,49766,66246,93972,126786,169988,30,242420,345172,602878
10477030000,393,2231,9718,50156,64346,94388,122667,184459,59,252446,362033,622993
10477040000,497,1905,10706,49848,64136,81723,113090,184479,30,249485,340937,620881
10477050000,429,6954,33439,45236,56008,78241,119863,199230,177,326827,499757,878713
10477060000,616,2649,29533,42803,58481,84005,132157,204648,64,342307,530660,928267
10477070000,415,2367,10322,33298,62926,89616,137372,224014,56,353307,515061,831639
10477080000,613,845,2876,35554,52578,72586,107687,168634,36,282993,429361,633227
10477090000,211,1274,10824,46742,59924,74901,105395,161935,0,232334,319293,569996
10477100000,1675,4230,14270,42580,60709,91330,135154,219953,75,368718,556742,968177
10477110000,11533,25344,48188,70242,105564,156123,263401,424590,540,627091,1025242,1747784
10477120000,10084,24904,51227,67636,99833,153891,222823,315666,348,524963,1182932,1577855
10477130000,18002,51714,73337,106613,155857,229936,328950,538480,49,1092581,1701314,2227275
10477140000,26752,39474,54673,78835,113251,177417,277969,444629,377,643333,1239493,1825101
10477150000,23390,43776,62016,92205,150691,218815,307253,516606,230,966169,1615705,2149882
10477160000,2379,5751,37474,48678,71239,90898,150541,217319,61,355592,570510,1184224
10477180000,2307,10502,35957,58790,80271,122520,195162,281476,29,470749,957610,1531691
10477190000,2725,15220,30507,58749,78064,105933,159697,269634,2155,446050,672554,1203286
10477200000,2953,3602,13549,24978,55452,72154,125775,187591,29,324998,624619,1222614
10477210000,1025,6770,29702,46567,63515,89553,149217,219350,25,383395,858374,1413892
10477220000,1419,20597,38973,62398,99579,168242,254369,445674,4,658064,1264059,1867202
10477230000,1439,7352,38768,63592,108450,178176,283641,471519,48,760722,1404930,1975557
10477240000,1321,25816,42179,72568,123137,198534,308209,511879,82,901872,1609837,2141337
10477250000,1302,4646,22868,50614,62461,98702,152495,231001,513,378353,772253,1422883
10477260000,287,686,1132,1943,4010,7351,14709,50172,98,65495,89363,150674
10477270000,12,333,1009,2134,3922,7493,15429,53389,4,72747,128452,204749
10477290000,322,1478,3749,22645,65044,107407,153371,230550,111,427798,1031453,1568436
10477300000,560,4089,11583,51600,82460,123968,175793,275319,96,770226,1363187,1759652
10477310000,715,2048,6508,9463,45554,87818,118639,190417,10,677610,1255796,1620467
10477320000,585,2332,6324,45502,71099,119167,167989,271252,180,760610,1357789,1772041
10477330000,477,2028,26845,47166,72649,120134,177539,275318,36,462045,1104436,1682658
10477340000,467,1439,3596,4420,7228,11374,23224,62837,153,94046,162083,268560
10477350000,374,1616,3614,4940,7168,13095,21201,55517,35,83632,128322,204640
10477360000,575,1291,2670,4628,6667,15187,31540,91490,25,167725,288637,512579
10477370000,559,1154,2378,4297,7066,15134,29310,87320,0,165137,284628,507230
10477390000,505,1564,2788,4835,9930,13904,23712,57257,213,74424,107812,168586
10477400000,765,1835,6467,17102,75906,114837,168614,276257,91,661080,1326039,1873429
10477410000,421,1337,4230,11875,44430,86620,136601,197382,146,318266,880705,1499505
10477420000,623,2360,11442,52509,88200,137260,217278,384577,328,991361,1606286,2098461
10477430000,362,1004,2034,3789,6460,15609,36105,94733,204,165799,289267,510748
10477440000,261,1239,3546,6035,15794,45460,83912,125733,14,190714,329750,941687
10477450000,703,2622,12190,50684,75802,124120,175856,287968,106,803580,1395237,1814121
10477460000,268,1081,3393,5501,11947,20878,70800,118321,20,179374,285904,647057
10477470000,927,1802,3163,4503,6958,13247,15078,28317,89,77769,125721,192093
10477480000,105,831,2608,13256,51314,84689,117112,180466,14,281148,786728,1418160
10477490000,286,938,3314,35986,51855,67189,91285,118875,18,179677,249459,381170
10477500000,159,839,2533,11762,32147,79508,124621,191345,15,291103,762387,1403068
10477510000,1000,2242,3204,4481,5848,9706,15858,42387,277,83563,152201,231616
10477520000,1000,2337,3248,4198,5566,8704,14324,21094,188,74975,122901,189513
10477530000,1309,3527,11425,30164,77691,103020,152116,244383,26,620276,1248412,1703243
10477540000,1623,2390,3039,4026,5641,8940,14595,19119,89,75856,123058,188800
10477560000,358,1101,3303,15062,50657,82655,123245,192681,48,293616,806929,1428490
10477570000,282,1225,3768,12654,52812,87340,129075,188988,58,484548,1033722,1472751
10477580000,778,1864,4675,17966,49078,85376,124880,192073,32,293760,804698,1433138
