TZ16_CODE,LGA_NAME16,LGA_CODE16,Precinct,Sub-precin,Emp_2016,Emp_2056,LOC_PID,NSW_LOCA_2,LGA_NAME16_2,Split_id,merge_id,Pop_2016,Pop_BuildO,LGA_CODE16_2,TZ16_CODE_2,Precinct_2,Sub-precin_2,Area,layer,path
"3613",Liverpool (C),"14900",Aerotropolis,Rossmore,"77","175",NSW2118,KEMPS CREEK,Liverpool (C),"414","372","1498","8379","14900",,,,,,
"3614",Liverpool (C),"14900",Aerotropolis,Rossmore,"155","355",NSW2118,KEMPS CREEK,Liverpool (C),"414","372","1498","8379","14900",,,,,,
"4970",Liverpool (C),"14900",Aerotropolis,Agriculture and Agribusiness,"97","10255",NSW2441,LUDDENHAM,Liverpool (C),"573","372","576","431","14900",,,,,,
"3635",Liverpool (C),"14900",Aerotropolis,Western Sydney Airport,"3","5047",NSW2441,LUDDENHAM,Liverpool (C),"573","372","576","431","14900",,,,,,
"3617",Liverpool (C),"14900",Aerotropolis,Aerotropolis Core,"234","3254",NSW582,BRINGELLY,Liverpool (C),"633","372","1965","14179","14900",,,,,,
"3618",Liverpool (C),"14900",Aerotropolis,Aerotropolis Core,"4","2378",NSW582,BRINGELLY,Liverpool (C),"633","372","1965","14179","14900",,,,,,
"3622",Liverpool (C),"14900",Aerotropolis,Aerotropolis Core,"84","2745",NSW582,BRINGELLY,Liverpool (C),"633","372","1965","14179","14900",,,,,,
"3623",Liverpool (C),"14900",Aerotropolis,Aerotropolis Core,"54","2605",NSW582,BRINGELLY,Liverpool (C),"633","372","1965","14179","14900",,,,,,
"3626",Liverpool (C),"14900",Aerotropolis,Agriculture and Agribusiness,"21","1909",NSW582,BRINGELLY,Liverpool (C),"633","372","1965","14179","14900",,,,,,
"3628",Liverpool (C),"14900",Aerotropolis,Agriculture and Agribusiness,"28","128",NSW582,BRINGELLY,Liverpool (C),"633","372","1965","14179","14900",,,,,,
"3629",Liverpool (C),"14900",Aerotropolis,Aerotropolis Core,"99","5490",NSW582,BRINGELLY,Liverpool (C),"633","372","1965","14179","14900",,,,,,
"3599",Liverpool (C),"14900",Aerotropolis,Kemps Creek,"170","509",NSW880,CECIL PARK,Liverpool (C),"687","372","332","2908","14900",,,,,,
"3615",Liverpool (C),"14900",SWGA,Austral,"54","2036",NSW880,CECIL PARK,Liverpool (C),"687","372","332","2908","14900",,,,,,
"4200",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"371","527",,,Hawkesbury (C),,,"1187","1255","13800","4200",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4201",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"76","122",,,Hawkesbury (C),,,"518","537","13800","4201",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4202",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"172","237",,,Hawkesbury (C),,,"1089","1114","13800","4202",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4205",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"557","734",,,Hawkesbury (C),,,"1886","1976","13800","4205",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4206",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"359","506",,,Hawkesbury (C),,,"2989","3092","13800","4206",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4207",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"332","436",,,Hawkesbury (C),,,"1702","1735","13800","4207",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4208",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"373","585",,,Hawkesbury (C),,,"2327","3126","13800","4208",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
