TZ16_CODE,LGA_NAME16,LGA_CODE16,Precinct,Sub-precin,Emp_2016,Emp_2056
"4500",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"628","1185"
"4501",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"247","466"
"4502",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"7","12"
"4503",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"547","1036"
"4504",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"12","20"
"4505",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"1566","2840"
"4506",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"664","1179"
"4507",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"293","557"
"4508",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"361","656"
"4509",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"344","612"
"4445",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"65","110"
"4446",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"21","50"
"4447",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"3867","7267"
"4448",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"222","414"
"4512",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"133","248"
"4513",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"129","217"
"4514",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"3163","7783"
"4515",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"5140","10781"
"4516",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"7574","14235"
"4517",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"2490","4821"
"4518",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"162","278"
"4519",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"442","835"
"4520",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"160","298"
"4521",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"3528","9359"
"4522",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"163","292"
"4523",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"304","540"
"4524",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"180","324"
"4525",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"260","508"
"4556",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"240","409"
"4557",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"531","956"
"4558",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"256","477"
"4555",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"119","224"
"4575",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"192","362"
"4576",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"355","519"
"4577",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"2227","5067"
"4578",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"187","354"
"4579",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"344","655"
"4527",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"646","1595"
"4532",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"3471","6545"
"4534",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"5162","8821"
"4535",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"221","411"
"4539",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"632","1179"
"4543",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"495","934"
