NSW_LOCA_2,Pop_2016,Pop_BuildO
ROSSMORE,1739,13944
WALLACIA,246,474
GREENDALE,345,341
BADGERYS CREEK,213,170
KEMPS CREEK,1498,8379
LUDDENHAM,576,431
BRINGELLY,1965,14179
CECIL PARK,332,2908
West Hoxton,10380,9345
Cartwright,2459,2711
Cecil Hills,7296,6583
Elizabeth Hills,2642,2772
Horningsea Park,3812,3821
Casula,16390,15877
Wattle Grove,8499,8079
Hammondville,3642,4135
Busby,4465,4524
Lurnea,9496,9126
Heckenberg,3160,3145
Sadleir,3201,3277
Hoxton Park - Carnes Hill,6674,7235
Hinchinbrook,11698,10426
Middleton Grange,5358,8132
Leppington - Denham Court,1396,6464
Moorebank,10814,24417
Austral,3110,69049
Green Valley,13031,11390
Prestons,15895,13365
Chipping Norton,9282,8768
Warwick Farm,6218,15140
Liverpool,28597,52822
Holsworthy,5691,5469
Edmondson Park,2360,27560
Ashcroft - Mount Pritchard,4217,4281
Miller,3252,5620
Voyager Point - Pleasure Point,2281,2287
