"MB_ID","JobsT10","JobsT15","JobsT20","JobsT25","JobsT30","JobsT35","JobsT40","JobsT45","JobsT5_","JobsT50","JobsT55","JobsT60"
10476580000,707,2296,8090,21961,58483,123207,164550,236031,24,405206,574527,752484
10476590000,1371,7087,12718,24347,58371,116461,163085,227464,153,315967,479451,613259
10476600000,590,3700,10198,27178,49343,95840,136802,183805,32,256177,359195,552000
10476610000,422,3038,9018,26954,49098,84175,129476,162862,51,233491,341361,526796
10476620000,1704,5303,12914,44496,65180,100695,153306,217674,29,319691,479250,721408
10476630000,1308,5877,11588,21196,43253,108867,159143,210639,66,301363,426403,608171
10476640000,245,471,2303,8159,52859,65833,91464,128720,27,182669,250840,338498
10476650000,265,648,6672,49628,76926,105184,147744,227054,50,343367,517940,692547
10476660000,138,3161,10344,49502,67658,96896,145328,216390,39,312403,440337,820026
10476670000,365,2509,5429,45619,62953,81610,121079,189170,61,277771,384594,634854
10476680000,692,2707,11667,28968,63139,81768,109423,161316,56,235768,345419,485785
10476690000,1001,4347,10226,35706,64707,83070,130623,187228,185,272104,383768,598494
10476700000,654,2887,10631,33754,65924,88000,131061,202801,29,312732,404945,730105
10476710000,719,3423,6373,23055,61811,73637,96245,138601,24,195166,274827,391736
10476720000,951,2776,10736,48352,70604,90189,121195,173280,32,283693,450209,639985
10476730000,793,3241,7448,27504,58231,67372,89778,128920,85,180867,261323,423124
10476740000,507,1722,6156,31187,59834,81797,125902,165202,92,232562,339650,505428
10476750000,2329,9169,38549,63335,84968,140230,195894,285341,45,415269,961480,1640856
10476760000,519,1958,7049,43682,60912,77558,119027,179566,220,245265,325065,596982
10476770000,538,2417,8495,50880,63192,86749,130912,187513,61,267627,391478,626529
10476780000,1571,6324,15723,43739,66850,93791,134229,185790,21,256970,355867,500753
10476790000,496,1981,5764,30446,60594,82593,112620,148505,59,227135,360673,544383
10476820000,555,2447,6881,23304,56474,74777,114386,153025,34,213823,307486,424969
10476830000,707,3265,6672,23520,58790,78022,111381,162689,36,225248,317264,443531
10476840000,1993,5854,19629,57592,71790,100109,136225,182759,34,263505,365190,483925
10476850000,367,890,2732,8564,35662,78774,118831,166173,52,239126,324344,443772
10476860000,463,3074,6813,27674,59883,80607,117718,158795,13,220112,311174,426738
10476870000,605,1651,5321,38443,56483,65975,87538,126665,35,184076,272825,429189
10476880000,343,808,1728,6662,39267,57577,76900,108558,122,162431,228562,308294
10476890000,494,1588,4279,12103,38771,70033,97007,134124,115,194813,269059,356727
10476900000,629,2236,9578,45601,58785,69918,108146,156260,16,205825,312049,463888
10476910000,635,2260,4807,20534,56126,68238,90696,124810,116,174379,252470,408085
10476920000,527,3443,36611,60337,91988,126317,184380,259064,23,396845,568086,1138814
10476930000,462,1545,4562,25574,57433,67265,99186,149821,29,200589,293143,454749
10476940000,363,991,3675,36395,56339,64574,90421,137623,116,193156,277517,443503
10476950000,515,1250,12165,40316,56669,65292,85186,124881,102,175701,253134,395147
10476960000,178,493,1431,4203,47014,58604,88407,126227,52,204829,292889,398177
10476970000,350,1110,12760,46963,61326,75832,102167,161840,20,229253,311812,580143
10476980000,345,1137,10555,44823,64310,97549,147115,223523,24,365508,529068,812730
10476990000,742,1747,9604,44119,59808,77949,110256,170479,174,234081,319179,559889
10477000000,418,1961,10626,49048,62706,76744,114104,177698,75,250670,334351,595685
10477010000,1103,3595,14723,51772,79508,111389,179652,315145,16,473072,688833,1305164
10477020000,324,2049,9251,49766,66246,88351,119770,167505,30,241743,344664,602441
10477030000,393,2231,9718,50156,64346,88971,119762,180614,59,251030,361570,622131
10477040000,497,1905,10706,49848,64136,81723,112530,180212,30,248478,340709,620616
10477050000,429,6954,33439,45236,56008,78241,119863,194364,177,326691,495350,877710
10477060000,616,2649,29533,42803,58481,84005,131941,202841,64,339455,528151,928147
10477070000,415,2367,10322,33298,62926,89616,137164,219197,56,352529,514755,832424
10477080000,613,845,2876,35554,52578,72586,107687,168947,36,281329,426452,632834
10477090000,211,1274,10824,46742,59924,74901,104984,158367,0,229407,318972,569651
10477100000,1675,4230,14270,42580,60709,91330,134839,213614,75,367673,555866,967680
10477110000,11533,25344,48188,70242,105564,156196,259602,423888,540,626567,1025067,1746586
10477120000,10084,24904,51227,67636,99833,153684,215837,314020,348,523914,1182574,1577233
10477130000,18002,51714,73337,106613,154263,227503,328719,538147,49,1092113,1700584,2227460
10477140000,26752,39474,54673,78835,113272,173284,277144,444354,377,642922,1238644,1824956
10477150000,23390,43776,62016,91964,144364,216121,306307,516255,230,965450,1615443,2150013
10477160000,2379,5751,37474,48678,71239,90795,144590,216690,61,357196,570270,1182832
10477180000,2307,10502,35957,58790,80271,121073,192255,283050,29,469142,957931,1530962
10477190000,2725,15220,30507,58749,78064,105933,159694,265843,2155,445887,671629,1201864
10477200000,2953,3602,13549,24978,55452,72063,119193,191004,29,320332,621681,1221695
10477210000,1025,6770,29702,46567,63515,89400,142881,222631,25,378542,857944,1413298
10477220000,1419,20597,38973,62398,99579,168242,254125,440904,4,656666,1268804,1867423
10477230000,1439,7352,38768,63592,108450,178176,282934,463359,48,758556,1405652,1977854
10477240000,1321,25816,42179,72568,123137,198534,308279,506505,82,898944,1611005,2144719
10477250000,1302,4646,22868,50614,62461,98496,148137,228979,513,377877,771461,1422610
10477260000,287,686,1132,1943,4010,7351,14709,50172,98,65495,89363,146636
10477270000,12,333,1009,2134,3922,7493,15429,53389,4,72747,128452,200664
10477290000,322,1478,3749,22645,65044,107407,152948,225224,111,426288,1030997,1567818
10477300000,560,4089,11583,51600,82460,123968,174490,271455,96,769245,1362783,1759005
10477310000,715,2048,6508,9463,45554,87818,118639,190367,10,671799,1253250,1620017
10477320000,585,2332,6324,45502,71099,119167,167745,266416,180,759133,1356546,1771590
10477330000,477,2028,26845,47166,72649,120134,175985,273395,36,461813,1103959,1681834
10477340000,467,1439,3596,4420,7228,11374,23224,62837,153,94046,162083,265187
10477350000,374,1616,3614,4940,7168,13095,21201,55517,35,83632,128322,200884
10477360000,575,1291,2670,4628,6667,15187,31212,91490,25,167378,282031,512316
10477370000,559,1154,2378,4297,7066,15134,29310,87320,0,164914,278009,506645
10477390000,505,1564,2788,4835,9930,13904,23712,57257,213,74424,107812,165040
10477400000,765,1835,6467,17102,75906,114837,168614,270332,91,658344,1325186,1873059
10477410000,421,1337,4230,11875,44430,86620,136601,197382,146,313397,879187,1498308
10477420000,623,2360,11442,52509,88200,137260,216915,381389,328,990709,1605250,2098106
