MB_CODE16,area,AREASQKM16,LandType,district,2056_pop,2056_job,height,ratio
,"10309",0.0103,,uniform,"468","134",5.000,0.0071
,"8209",0.0082,,uniform,"224","64",3.000,0.0034
,"5532",0.0055,,uniform,"448","129",9.000,0.0068
,"10309",0.0103,,uniform,"468","134",5.000,0.0071
,"9869",0.0099,,uniform,"633","181",7.000,0.0096
,"7706",0.0077,,uniform,"560","161",8.000,0.0085
,"5542",0.0055,,uniform,"448","129",9.000,0.0068
,"9626",0.0096,,uniform,"303","87",3.500,0.0046
,"19381",0.0194,,uniform,"1767","507",10.000,0.0268
,"37184",0.0372,,uniform,"508","146",1.500,0.0077
,"18501",0.0185,,uniform,"587","168",3.500,0.0089
,"10309",0.0103,,uniform,"468","134",5.000,0.0071
,"6045",0.0060,,uniform,"112","32",2.000,0.0017
,"16345",0.0163,,uniform,"963","276",6.500,0.0146
,"12912",0.0129,,uniform,"706","202",6.000,0.0107
,"3881",0.0039,,uniform,"33","9",1.000,0.0005
,"3881",0.0039,,uniform,"33","9",1.000,0.0005
,"10309",0.0103,,uniform,"468","134",5.000,0.0071
,"10372",0.0104,,uniform,"376","108",4.000,0.0057
,"6045",0.0060,,uniform,"112","32",2.000,0.0017
,"37187",0.0372,,uniform,"508","146",1.500,0.0077
,"3881",0.0039,,uniform,"33","9",1.000,0.0005
,"3881",0.0039,,uniform,"33","9",1.000,0.0005
,"10309",0.0103,,uniform,"468","134",5.000,0.0071
,"8209",0.0082,,uniform,"224","64",3.000,0.0034
,"10372",0.0104,,uniform,"376","108",4.000,0.0057
,"9626",0.0096,,uniform,"303","87",3.500,0.0046
,"6045",0.0060,,uniform,"112","32",2.000,0.0017
,"37187",0.0372,,uniform,"508","146",1.500,0.0077
,"10372",0.0104,,uniform,"376","108",4.000,0.0057
,"8889",0.0089,,uniform,"0","0",0.000,0.0000
,"8208",0.0082,,uniform,"224","64",3.000,0.0034
,"9626",0.0096,,uniform,"303","87",3.500,0.0046
,"19381",0.0194,,uniform,"1767","507",10.000,0.0268
,"14675",0.0147,,uniform,"1134","325",8.500,0.0172
,"8889",0.0089,,uniform,"0","0",0.000,0.0000
,"8889",0.0089,,uniform,"0","0",0.000,0.0000
,"14675",0.0147,,uniform,"1134","325",8.500,0.0172
,"7706",0.0077,,uniform,"560","161",8.000,0.0085
,"16346",0.0163,,uniform,"963","276",6.500,0.0146
,"18501",0.0185,,uniform,"587","168",3.500,0.0089
,"18501",0.0185,,uniform,"587","168",3.500,0.0089
,"21501",0.0215,,uniform,"297","85",1.500,0.0045
,"16345",0.0163,,uniform,"963","276",6.500,0.0146
,"5542",0.0055,,uniform,"448","129",9.000,0.0068
,"14675",0.0147,,uniform,"1134","325",8.500,0.0172
,"18501",0.0185,,uniform,"587","168",3.500,0.0089
,"9869",0.0099,,uniform,"633","181",7.000,0.0096
