MB_ID,lon,lat,T15,T30,pop,NSW_LOCA_2,W15_value,W60_value,A30_value
"10476580000",150.8771641000,-33.9097360000,"2296","54166","116",BUSBY,"1954","36671","1220261"
"10476590000",150.8781868000,-33.9229483000,"7087","54647","222",MILLER,"2997","40572","1519021"
"10476600000",150.8787125000,-33.9121753000,"3700","49148","152",BUSBY,"2073","38217","1173714"
"10476610000",150.8789669000,-33.9132444000,"3038","48989","100",BUSBY,"2033","37251","1181493"
"10476620000",150.8796021000,-33.9193745000,"5303","65089","224",MILLER,"3074","40179","1338553"
"10476630000",150.8803897000,-33.9223381000,"5877","42968","248",MILLER,"2988","40788","1508553"
"10476640000",150.8812204000,-33.9540552000,"471","52859","180",CASULA,"471","27791","1331069"
"10476650000",150.8843635000,-33.9261262000,"648","71258","119",CARTWRIGHT,"628","47708","1478778"
"10476660000",150.8866862000,-33.9236505000,"3161","66594","0",CARTWRIGHT,"1505","58850","1485127"
"10476670000",150.8858211000,-33.9563636000,"2509","62953","122",CASULA,"866","28681","1465562"
"10476680000",150.8876746000,-33.9076071000,"2707","62891","128",HECKENBERG,"1368","54343","1309332"
"10476690000",150.8871747000,-33.9175812000,"4347","64274","140",SADLEIR,"2232","50462","1227798"
"10476700000",150.8883482000,-33.9552635000,"2887","65924","87",CASULA,"1314","30973","1441489"
"10476710000",150.8894591000,-33.9093788000,"3423","61811","144",HECKENBERG,"1506","54679","1210722"
"10476720000",150.8893410000,-33.9062155000,"2776","70608","128",HECKENBERG,"1171","70643","1339743"
"10476730000",150.8920014000,-33.9170295000,"3241","58219","157",SADLEIR,"1422","74860","1236540"
"10476740000",150.8921947000,-33.9178712000,"1722","59823","149",SADLEIR,"1418","75658","1254696"
"10476750000",150.8908144000,-33.9251108000,"9169","84833","0",CARTWRIGHT,"1839","78688","1459535"
"10476760000",150.8910274000,-33.9508087000,"1958","60912","191",CASULA,"1174","27854","1265786"
"10476770000",150.8923731000,-33.9197332000,"2417","62564","193",SADLEIR,"2000","78173","1328784"
"10476780000",150.8915164000,-33.9344491000,"6324","67935","109",LURNEA,"3615","59751","1279867"
"10476790000",150.8917741000,-33.9068803000,"1981","60594","113",HECKENBERG,"988","73420","1395830"
"10476820000",150.8930914000,-33.9413368000,"2447","56474","118",LURNEA,"1115","44341","1292638"
"10476830000",150.8939631000,-33.9385111000,"3265","58790","161",LURNEA,"1486","57741","1303959"
"10476840000",150.8943199000,-33.9348392000,"5854","72989","76",LURNEA,"1794","74623","1315542"
"10476850000",150.8955422000,-33.9439498000,"890","36203","122",LURNEA,"840","41546","1357169"
"10476860000",150.8951881000,-33.9356590000,"3074","59588","121",LURNEA,"1308","73134","1278684"
"10476870000",150.8961135000,-33.9113436000,"1651","56483","153",ASHCROFT,"1544","78179","1272842"
"10476880000",150.8966060000,-33.9567772000,"808","39267","90",CASULA,"808","24064","1329669"
"10476890000",150.8986617000,-33.9364516000,"1588","38771","166",LURNEA,"1272","73442","1424840"
"10476900000",150.8985482000,-33.9185191000,"2236","58762","86",ASHCROFT,"1197","76129","1433426"
"10476910000",150.8987446000,-33.9124498000,"2260","56070","97",ASHCROFT,"1036","77045","1437616"
"10476920000",150.8994143000,-33.9301590000,"3443","87368","137",LURNEA,"1399","78395","1492942"
"10476930000",150.8992653000,-33.9193771000,"1545","57433","85",ASHCROFT,"988","75008","1291574"
"10476940000",150.9000650000,-33.9199585000,"991","56339","96",ASHCROFT,"773","72849","1267749"
"10476950000",150.8997837000,-33.9117739000,"1250","56650","117",ASHCROFT,"928","77466","1536681"
"10476960000",150.9017430000,-33.9572778000,"493","47014","149",CASULA,"439","19749","1183426"
"10476970000",150.9047595000,-33.9420454000,"1110","61326","134",CASULA,"771","48520","1639038"
"10476980000",150.9052023000,-33.9546348000,"1137","64310","89",CASULA,"892","26455","1365191"
"10476990000",150.9074542000,-33.9358761000,"1747","59808","244",LIVERPOOL,"1427","68713","1492662"
"10477000000",150.9069314000,-33.9423061000,"1961","62706","65",CASULA,"828","66347","1605556"
"10477010000",150.9085852000,-33.9481946000,"3595","79508","96",CASULA,"365","26843","1462940"
"10477020000",150.9088007000,-33.9406804000,"2049","67522","122",CASULA,"732","64769","1687495"
"10477030000",150.9088820000,-33.9418739000,"2231","65621","91",CASULA,"789","66464","1587627"
"10477040000",150.9088905000,-33.9427932000,"1905","64136","121",CASULA,"957","67603","1640134"
"10477050000",150.9123621000,-33.9118792000,"6954","56008","238",LIVERPOOL,"814","64963","1404192"
"10477060000",150.9137543000,-33.9124375000,"2649","58481","217",LIVERPOOL,"1020","66556","1472944"
"10477070000",150.9145741000,-33.9428170000,"2367","62926","166",CASULA,"487","62493","1639517"
"10477080000",150.9160160000,-33.9111833000,"845","52578","242",LIVERPOOL,"845","64019","1530011"
"10477090000",150.9179878000,-33.9365952000,"1274","59924","189",LIVERPOOL,"712","66747","1777418"
"10477100000",150.9196911000,-33.9304014000,"4230","60709","221",LIVERPOOL,"4230","68790","1672783"
"10477110000",150.9200584000,-33.9252573000,"25344","105547","98",LIVERPOOL,"23667","73673","1645086"
"10477120000",150.9217680000,-33.9179307000,"24904","99833","207",LIVERPOOL,"23140","79499","1569390"
"10477130000",150.9241188000,-33.9235736000,"51714","152896","0",LIVERPOOL,"37427","78569","1474982"
"10477140000",150.9265918000,-33.9190846000,"39474","112620","8",LIVERPOOL,"37534","79404","1485698"
"10477150000",150.9281388000,-33.9216547000,"43776","142032","6",LIVERPOOL,"39252","79364","1491917"
"10477160000",150.9285363000,-33.9340247000,"5751","71239","338",MOOREBANK,"3422","68854","1806680"
"10477180000",150.9296603000,-33.9324449000,"10502","80271","243",MOOREBANK,"3413","69640","1791161"
"10477190000",150.9310838000,-33.9304468000,"15220","78064","228",MOOREBANK,"3448","72355","1781486"
"10477200000",150.9315080000,-33.9333542000,"3602","55452","253",MOOREBANK,"3413","69001","1720069"
"10477210000",150.9323841000,-33.9335247000,"6770","63515","243",MOOREBANK,"4803","68985","1721484"
"10477220000",150.9320270000,-33.9150051000,"20597","99579","209",WARWICK FARM,"18644","79567","1397521"
"10477230000",150.9328298000,-33.9142286000,"7352","108450","121",WARWICK FARM,"4238","79329","1425672"
"10477240000",150.9334616000,-33.9142518000,"25816","123137","168",WARWICK FARM,"17611","80025","1407844"
"10477250000",150.9372718000,-33.9361414000,"4646","62461","8",MOOREBANK,"3704","69742","1708425"
"10477260000",150.9361700000,-33.9583581000,"686","4010","88",WATTLE GROVE,"686","15458","1293512"
"10477270000",150.9388015000,-33.9630719000,"333","3922","100",WATTLE GROVE,"333","12371","1102080"
"10477290000",150.9450466000,-33.9252548000,"1478","65044","128",CHIPPING NORTON,"878","26596","1333067"
"10477300000",150.9459244000,-33.9268059000,"4089","82460","118",CHIPPING NORTON,"860","28584","1551814"
"10477310000",150.9474989000,-33.9389405000,"2048","45554","383",MOOREBANK,"1757","65624","1581679"
"10477320000",150.9474040000,-33.9275682000,"2332","71099","126",CHIPPING NORTON,"896","25682","1515161"
"10477330000",150.9464952000,-33.9322695000,"2028","72649","220",MOOREBANK,"1002","30648","1453080"
"10477340000",150.9469896000,-33.9536251000,"1439","7228","156",HOLSWORTHY,"1439","17199","1478967"
"10477350000",150.9481706000,-33.9504660000,"1616","7168","119",HOLSWORTHY,"1616","23550","1596245"
"10477360000",150.9476785000,-33.9575719000,"1291","6667","159",HOLSWORTHY,"1291","16233","1231585"
"10477370000",150.9488025000,-33.9574577000,"1154","7066","134",HOLSWORTHY,"1154","16108","1282991"
"10477390000",150.9499115000,-33.9461776000,"1564","9930","188",HAMMONDVILLE,"1564","53267","1660907"
"10477400000",150.9506012000,-33.9352450000,"1835","75906","306",MOOREBANK,"1623","56653","1489494"
"10477410000",150.9513899000,-33.9362101000,"1337","44430","333",MOOREBANK,"1252","62493","1491125"
"10477420000",150.9507618000,-33.9304640000,"2360","88200","190",MOOREBANK,"1096","34027","1498738"
"10477430000",150.9499869000,-33.9575454000,"1004","6460","0",HOLSWORTHY,"1004","13702","1201459"
"10477440000",150.9512157000,-33.9400980000,"1239","15794","248",MOOREBANK,"937","56997","1680225"
"10477450000",150.9504555000,-33.9258537000,"2622","75802","178",CHIPPING NORTON,"1014","25644","1561583"
"10477460000",150.9502658000,-33.9401285000,"1081","11947","288",MOOREBANK,"952","56817","1681357"
"10477470000",150.9535989000,-33.9507075000,"1802","6958","173",HAMMONDVILLE,"1968","23994","1504655"
"10477480000",150.9525143000,-33.9129327000,"831","51314","100",CHIPPING NORTON,"392","45297","1198121"
"10477490000",150.9534373000,-33.9030510000,"938","51855","0",CHIPPING NORTON,"849","16420","1147745"
"10477500000",150.9533211000,-33.9095867000,"839","32147","99",CHIPPING NORTON,"310","33195","1092902"
"10477510000",150.9547592000,-33.9509483000,"2242","5848","165",HAMMONDVILLE,"2242","16686","1487876"
"10477520000",150.9556517000,-33.9504863000,"2337","5566","164",HAMMONDVILLE,"2337","17493","1349564"
"10477530000",150.9557533000,-33.9255249000,"3527","77691","119",CHIPPING NORTON,"1789","26951","1363543"
"10477540000",150.9568060000,-33.9504876000,"2390","5641","189",HAMMONDVILLE,"2390","17548","1309482"
"10477560000",150.9578793000,-33.9100466000,"1101","50657","156",CHIPPING NORTON,"453","37728","1073815"
"10477570000",150.9591561000,-33.9302413000,"1225","52812","358",MOOREBANK,"1077","24306","1529654"
"10477580000",150.9589860000,-33.9138958000,"1864","49078","115",CHIPPING NORTON,"1256","33543","1187118"
"10477590000",150.9585178000,-33.9508248000,"1632","4339","215",HAMMONDVILLE,"1632","15493","1259777"
"10477600000",150.9586528000,-33.9169003000,"1259","49834","106",CHIPPING NORTON,"1016","46026","1287602"
"10477610000",150.9589581000,-33.9194936000,"3932","50811","93",CHIPPING NORTON,"3729","37065","1335272"
"10477620000",150.9589943000,-33.9202233000,"2401","42214","97",CHIPPING NORTON,"2223","36135","1335222"
"10477630000",150.9606686000,-33.9260712000,"2488","68410","117",CHIPPING NORTON,"1977","23779","1498630"
"10477640000",150.9613204000,-33.9011690000,"1818","51643","0",CHIPPING NORTON,"1566","17445","919560"
"10477650000",150.9617011000,-33.9268692000,"5264","84868","107",CHIPPING NORTON,"3216","25415","1575430"
"10477660000",150.9649065000,-33.9135363000,"1451","9086","155",CHIPPING NORTON,"1478","16836","1243204"
"10477670000",150.9655548000,-33.9012420000,"787","2914","0",CHIPPING NORTON,"787","13457","1089462"
"10477680000",150.8765120000,-33.9051934000,"2759","50749","151",BUSBY,"2000","34477","1323727"
"10477690000",150.8772356000,-33.9085503000,"3111","71095","104",BUSBY,"2074","38496","1316371"
"10477700000",150.8759854000,-33.9094700000,"3194","81859","130",BUSBY,"1675","36000","1404466"
"10477710000",150.8769858000,-33.9112771000,"4131","86315","128",BUSBY,"1961","37706","1323080"
"10477720000",150.8747129000,-33.9199200000,"3510","46189","234",MILLER,"2287","40214","1546832"
"10477730000",150.8743192000,-33.9209222000,"5561","69962","156",MILLER,"2202","40529","1586225"
"10477740000",150.8908840000,-33.9357261000,"8259","68753","95",LURNEA,"5267","57761","1276916"
"10477750000",150.8904067000,-33.9407184000,"6343","67807","121",LURNEA,"3437","45307","1259394"
"10477760000",150.8787583000,-33.9063077000,"2521","46398","237",BUSBY,"1623","35724","1261537"
"10477780000",150.8799655000,-33.9067564000,"1852","30149","0",BUSBY,"1774","32929","1265188"
"10477800000",150.8826384000,-33.9059052000,"1624","56607","5",BUSBY,"1397","36044","1324425"
"10477810000",150.8853426000,-33.9072340000,"2100","58106","90",HECKENBERG,"1469","43096","1394127"
"10477820000",150.8789825000,-33.9096984000,"2013","48608","201",BUSBY,"1622","35114","1209540"
"10477830000",150.8791481000,-33.9082814000,"2342","46336","131",BUSBY,"1805","36228","1209490"
"10477840000",150.8806209000,-33.9096893000,"2267","40518","145",BUSBY,"1511","34990","1206921"
"10477850000",150.8816281000,-33.9088452000,"1574","28581","130",BUSBY,"1574","35480","1276687"
"10477860000",150.9635466000,-33.9122972000,"1091","10649","95",CHIPPING NORTON,"906","32171","1272151"
"10477870000",150.9636132000,-33.9118972000,"1010","9235","93",CHIPPING NORTON,"912","30680","1177008"
