MB_ID,lon,lat,T15,T30,pop,NSW_LOCA_2,W15_value
"10028336",150.6999821000,-33.9317558000,"505","1696","12",BRINGELLY,"505"
"10028337",150.7007847000,-33.9318532000,"560","1804","12",BRINGELLY,"560"
"10028338",150.6949328000,-33.9325092000,"357","831","12",BRINGELLY,"357"
"10028339",150.7108829000,-33.9303456000,"910","1861","12",BRINGELLY,"910"
"10028340",150.7100804000,-33.9302483000,"910","1871","12",BRINGELLY,"910"
"10028341",150.6993625000,-33.9330390000,"455","1577","12",BRINGELLY,"455"
"10028342",150.6989285000,-33.9316084000,"395","1506","12",BRINGELLY,"395"
"10028343",150.7042287000,-33.9309047000,"765","1893","12",BRINGELLY,"765"
"10028344",150.7225861000,-33.9290317000,"351","1381","12",BRINGELLY,"351"
"10028345",150.7167346000,-33.9296888000,"670","1781","12",BRINGELLY,"670"
"10028346",150.7058338000,-33.9310995000,"810","1938","12",BRINGELLY,"810"
"10028347",150.6933277000,-33.9323143000,"363","767","12",BRINGELLY,"363"
"10028348",150.6941302000,-33.9324117000,"356","760","12",BRINGELLY,"356"
"10028349",150.7175372000,-33.9297861000,"633","1729","12",BRINGELLY,"633"
"10028350",150.7173037000,-33.9311242000,"748","1808","12",BRINGELLY,"748"
"10028351",150.7170703000,-33.9324622000,"781","1763","12",BRINGELLY,"781"
"10028352",150.7150127000,-33.9301632000,"884","1865","12",BRINGELLY,"884"
"10028353",150.7098468000,-33.9315863000,"885","1906","12",BRINGELLY,"885"
"10028354",150.7178729000,-33.9325595000,"730","1741","12",BRINGELLY,"730"
"10028355",150.7122546000,-33.9318783000,"870","1903","12",BRINGELLY,"870"
"10028356",150.7215501000,-33.9302725000,"521","1523","12",BRINGELLY,"521"
"10028357",150.7181063000,-33.9312215000,"716","1727","12",BRINGELLY,"716"
"10028358",150.6997863000,-33.9338602000,"486","1627","12",BRINGELLY,"486"
"10028359",150.7199449000,-33.9300780000,"589","1656","12",BRINGELLY,"589"
"10028360",150.7183397000,-33.9298834000,"671","1765","12",BRINGELLY,"671"
"10028361",150.7191423000,-33.9299807000,"632","1697","12",BRINGELLY,"632"
"10028362",150.7023898000,-33.9320480000,"656","1856","12",BRINGELLY,"656"
"10028363",150.7015872000,-33.9319506000,"600","1825","12",BRINGELLY,"600"
"10028364",150.7140933000,-33.9307349000,"884","1890","12",BRINGELLY,"884"
"10028365",150.7132907000,-33.9306376000,"875","1877","12",BRINGELLY,"875"
"10028366",150.7074390000,-33.9312942000,"790","1874","12",BRINGELLY,"790"
"10028367",150.6424227000,-33.9561837000,"119","418","0",GREENDALE,"119"
"10028368",150.6432254000,-33.9562815000,"119","416","0",GREENDALE,"119"
"10028369",150.6440282000,-33.9563793000,"122","423","0",GREENDALE,"122"
"10028370",150.6416200000,-33.9560859000,"114","413","0",GREENDALE,"114"
"10028371",150.6373716000,-33.9569347000,"83","362","0",GREENDALE,"83"
