Sum of W15-A,Sum of B15A,Sum of T30A,Sum of A30A,Sum of Person,,,
263291289,1780891768,2983682027,1.21502E+11,204265,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,263291289,1780891768,2983682027,1.21502E+11,204265
,,,1288.969177,8718.536059,14606.91762,594826.0898,1
